,AHAS,Hang Seng Index
2018/5/24,2.116121504,1.480524337
2018/5/25,2.097320597,1.472228024
2018/5/28,2.103147662,1.482057304
2018/5/29,2.08576136,1.467248408
2018/5/30,2.06630128,1.446658515
2018/5/31,2.129980529,1.466477352
2018/6/1,2.090590558,1.467649337
2018/6/4,2.118602559,1.49195878
2018/6/5,2.122745185,1.496553831
2018/6/6,2.123751442,1.504526705
2018/6/7,2.131112662,1.516729317
2018/6/8,2.107880169,1.490044616
2018/6/11,2.127220435,1.495121939
2018/6/12,2.135594751,1.497016368
2018/6/13,2.116572964,1.478827243
2018/6/14,2.089678371,1.465110917
2018/6/15,2.068707678,1.458821179
2018/6/19,2.006847135,1.418326779
2018/6/20,2.034783954,1.429301573
2018/6/21,2.021419554,1.410043462
2018/6/22,2.024487771,1.412096242
2018/6/25,1.981508907,1.408040737
2018/6/26,1.96311893,1.390086009
2018/6/27,1.908877697,1.364810581
2018/6/28,1.892903994,1.371599917
2018/6/29,1.944102885,1.393633733
2018/7/3,1.897107256,1.37392223
2018/7/4,1.873125015,1.359295268
2018/7/5,1.860051374,1.356427632
2018/7/6,1.863823456,1.362854543
2018/7/9,1.899976266,1.38080157
2018/7/10,1.91208646,1.380500752
2018/7/11,1.897000544,1.362665389
2018/7/12,1.913805939,1.370806239
2018/7/13,1.919206256,1.372953356
2018/7/16,1.924735868,1.373637776
2018/7/17,1.911919179,1.356407898
2018/7/18,1.919876867,1.353315011
2018/7/19,1.921584881,1.348186189
2018/7/20,1.916856504,1.358467899
2018/7/23,1.91626122,1.359990759
2018/7/24,1.941347351,1.379553538
2018/7/25,1.953999783,1.391987177
2018/7/26,1.951638424,1.385260411
2018/7/27,1.95293794,1.386374159
2018/7/30,1.943871063,1.38294965
2018/7/31,1.93935336,1.375724248
2018/8/1,1.926500034,1.364063589
2018/8/2,1.890870298,1.333925022
2018/8/3,1.883200022,1.332084498
2018/8/6,1.868908886,1.33897876
2018/8/7,1.896594935,1.359642291
2018/8/8,1.896484464,1.364949197
2018/8/9,1.904404787,1.376893346
2018/8/10,1.899097518,1.365309216
2018/8/13,1.869090809,1.344610548
2018/8/14,1.865960711,1.335771801
2018/8/15,1.821421103,1.315107307
2018/8/16,1.824231496,1.304348621
2018/8/17,1.817564122,1.309804251
2018/8/20,1.83187588,1.328315853
2018/8/21,1.856185451,1.335765063
2018/8/22,1.845226238,1.344177853
2018/8/23,1.848783341,1.337578152
2018/8/24,1.845833372,1.331870316
2018/8/27,1.876585334,1.360719941
2018/8/28,1.864186426,1.364587254
2018/8/29,1.857174307,1.367707094
2018/8/30,1.849951188,1.355559352
2018/8/31,1.836605229,1.342299306
2018/9/3,1.818168042,1.333827797
2018/9/4,1.831274825,1.346380319
2018/9/5,1.800567106,1.311269354
