,AQM_HUABAO_Enhanced_50,AQM_HUABAO_50,Benchmark_50
2017/8/7,1.152724912,1.137043144,1.106198271
2017/8/8,1.150540199,1.13433677,1.104377905
2017/8/9,1.149237079,1.132799792,1.103411388
2017/8/10,1.140390022,1.124111094,1.097250181
2017/8/11,1.140164999,1.125132876,1.096104294
2017/8/14,1.145318027,1.130428602,1.100397947
2017/8/15,1.144354945,1.12917505,1.098424647
2017/8/16,1.147407808,1.131971795,1.10126344
2017/8/17,1.140508388,1.124029943,1.097429652
2017/8/18,1.141939659,1.12408155,1.095619942
2017/8/21,1.14285495,1.124766985,1.096764865
2017/8/22,1.146836139,1.129338808,1.10004218
2017/8/23,1.147321471,1.129325593,1.100511977
2017/8/24,1.146433936,1.128663265,1.099790395
2017/8/25,1.149431614,1.131177877,1.101853485
2017/8/28,1.150715797,1.131743783,1.102610564
2017/8/29,1.150230554,1.130972619,1.102420429
2017/8/30,1.151687703,1.132773188,1.10337209
2017/8/31,1.15571762,1.137981582,1.107290844
2017/9/1,1.157357525,1.138930948,1.108179175
2017/9/5,1.155212057,1.135547273,1.107128994
2017/9/6,1.158433126,1.137532734,1.107193241
2017/9/7,1.161074115,1.140150881,1.11029956
2017/9/8,1.159874933,1.1391001,1.110190947
2017/9/11,1.164713285,1.143801535,1.113804851
2017/9/12,1.166338386,1.145748044,1.11479144
2017/9/13,1.165085073,1.144216136,1.113795713
2017/9/14,1.165492335,1.144903258,1.113112572
2017/9/15,1.166953421,1.145773194,1.114387515
2017/9/18,1.167847475,1.146671443,1.115315366
2017/9/19,1.168144214,1.14785659,1.116507762
2017/9/20,1.168431189,1.14743406,1.11662133
2017/9/21,1.165499346,1.145698379,1.114243712
2017/9/22,1.166269128,1.147101139,1.115423779
2017/9/25,1.163503088,1.146223687,1.114249413
2017/9/26,1.163237114,1.145757912,1.112065297
2017/9/27,1.163992453,1.147159045,1.111300428
2017/9/28,1.165182854,1.148456348,1.112459699
