,AQM_HUABAO_50,Benchmark_50
2018/10/15,1.195948,1.112573964
2018/10/16,1.209570107,1.123193592
2018/10/17,1.207837694,1.122139652
2018/10/18,1.197455831,1.114590699
2018/10/19,1.196791205,1.113185862
2018/10/22,1.195425487,1.11183238
2018/10/23,1.191969269,1.105835911
2018/10/24,1.172861417,1.094343308
2018/10/25,1.183804791,1.098487225
2018/10/26,1.17410874,1.092723524
2018/10/29,1.169358604,1.090466663
2018/10/30,1.178071029,1.095347457
2018/10/31,1.18470562,1.102014336
2018/11/1,1.192754217,1.108450543
2018/11/2,1.18925648,1.107195042
2018/11/5,1.190939897,1.108456477
2018/11/6,1.194594105,1.111075739
2018/11/7,1.20740166,1.120706021
2018/11/8,1.203888752,1.119355321
2018/11/9,1.196766412,1.114005416
2018/11/12,1.196766412,1.104308499
2018/11/13,1.184095899,1.10454854
2018/11/14,1.180924822,1.102131163
2018/11/15,1.187094075,1.10559674
2018/11/16,1.187770202,1.108843094
2018/11/19,1.17682939,1.103474366
2018/11/20,1.166297286,1.093571303
2018/11/21,1.171455062,1.095726624
2018/11/23,1.167581373,1.09299713
2018/11/26,1.176727471,1.099600033
2018/11/27,1.177122851,1.100245956
2018/11/28,1.19165409,1.109217246
2018/11/29,1.190360113,1.111015606
2018/11/30,1.192581758,1.112756223
2018/12/3,1.201702012,1.121802361
2018/12/4,1.183095807,1.110258849
2018/12/5,1.183095807,1.107255379
2018/12/6,1.181486225,1.101869421
2018/12/7,1.169588125,1.096306211
2018/12/10,1.16992733,1.091871159
2018/12/11,1.170558266,1.092191698
2018/12/12,1.175576514,1.098510554
2018/12/13,1.17444603,1.098678189
2018/12/14,1.164315569,1.090028224
2018/12/17,1.153585159,1.083278698
2018/12/18,1.154680879,1.082598331
2018/12/19,1.144924363,1.080175544
2018/12/20,1.136263161,1.070904567
2018/12/21,1.124076874,1.063249727
2018/12/24,1.112069144,1.055518752
2018/12/26,1.136770182,1.06658645
2018/12/27,1.140465655,1.070948093
2018/12/28,1.141805924,1.074074708
2018/12/31,1.146528136,1.078992101
2019/1/1,1.146528136,1.07901662
2019/1/2,1.146335533,1.078258222
2019/1/3,1.136347921,1.073403671
2019/1/4,1.156127061,1.085350154
2019/1/7,1.161949216,1.090167594
2019/1/8,1.167925492,1.093537627
2019/1/9,1.172678976,1.098829364
2019/1/10,1.175385731,1.100561783
2019/1/11,1.17417591,1.10149106
2019/1/14,1.17006141,1.098263644
2019/1/15,1.176794702,1.103167723
2019/1/16,1.178591923,1.104044466
2019/1/17,1.182815808,1.106283782
2019/1/18,1.189682718,1.113057757
2019/1/21,1.189682718,1.113082275
2019/1/22,1.180403776,1.108221484
2019/1/23,1.181872062,1.108252251
2019/1/24,1.184196803,1.110864486
2019/1/25,1.190832581,1.115858794
2019/1/28,1.186525501,1.112602984
2019/1/29,1.186199281,1.113782258
2019/1/30,1.197089268,1.120506973
2019/1/31,1.202507078,1.128076445
2019/2/1,1.201973853,1.127058612
2019/2/4,1.206231142,1.128469467
2019/2/5,1.210624686,1.133268161
2019/2/6,1.208594355,1.131990861
2019/2/7,1.202644448,1.127300317
2019/2/8,1.203468341,1.125747708
2019/2/11,1.203412559,1.125367832
2019/2/12,1.211781193,1.131586427
2019/2/13,1.212383897,1.133051135
2019/2/14,1.21235291,1.132561727
2019/2/15,1.219228518,1.136919958
2019/2/18,1.219228518,1.138918185
2019/2/19,1.221100862,1.140523428
2019/2/20,1.222459499,1.143214057
2019/2/21,1.219760032,1.140658586
2019/2/22,1.224219813,1.144729549
2019/2/25,1.225337932,1.146378428
2019/2/26,1.225808723,1.147050264
2019/2/27,1.225112914,1.145529625
2019/2/28,1.222957651,1.142837702
2019/3/1,1.226767876,1.144585616
2019/3/4,1.22454914,1.144154776
2019/3/5,1.224094512,1.143578785
2019/3/6,1.220366155,1.142022824
2019/3/7,1.215214319,1.138142488
2019/3/8,1.214553991,1.134866792
2019/3/11,1.223448411,1.141508829
2019/3/12,1.22616703,1.145819719
2019/3/13,1.230751869,1.148790672
2019/3/14,1.229380529,1.148161708
2019/3/15,1.233858046,1.153009438
2019/3/18,1.236294336,1.156408565
