,SECUCODE
862,600547.SH
863,600548.SH
864,600549.SH
865,600557.SH
866,600559.SH
867,600563.SH
868,600565.SH
869,600566.SH
870,600567.SH
871,600570.SH
872,600572.SH
873,600577.SH
874,600580.SH
875,600582.SH
876,600583.SH
877,600585.SH
878,600587.SH
879,600588.SH
880,600596.SH
881,600597.SH
882,600598.SH
883,600600.SH
884,600604.SH
885,600606.SH
886,600611.SH
887,600612.SH
888,600621.SH
889,600622.SH
890,600626.SH
891,600635.SH
892,600637.SH
893,600639.SH
894,600641.SH
895,600642.SH
896,600643.SH
897,600648.SH
898,600655.SH
899,600657.SH
900,600660.SH
901,600663.SH
902,600667.SH
903,600668.SH
904,600673.SH
905,600674.SH
906,600675.SH
907,600681.SH
908,600682.SH
909,600685.SH
910,600688.SH
911,600690.SH
912,600694.SH
913,600699.SH
914,600702.SH
915,600703.SH
916,600704.SH
917,600705.SH
918,600708.SH
919,600711.SH
920,600720.SH
921,600728.SH
922,600729.SH
923,600733.SH
924,600736.SH
925,600737.SH
926,600738.SH
927,600739.SH
928,600740.SH
929,600741.SH
930,600742.SH
931,600745.SH
932,600748.SH
933,600750.SH
934,600754.SH
935,600755.SH
936,600756.SH
937,600760.SH
938,600763.SH
939,600764.SH
940,600765.SH
941,600775.SH
942,600776.SH
943,600777.SH
944,600779.SH
945,600782.SH
946,600787.SH
947,600795.SH
948,600801.SH
949,600802.SH
950,600803.SH
951,600808.SH
952,600809.SH
953,600811.SH
954,600820.SH
955,600823.SH
956,600828.SH
957,600835.SH
958,600837.SH
959,600845.SH
960,600846.SH
961,600848.SH
962,600850.SH
963,600859.SH
964,600863.SH
965,600867.SH
966,600871.SH
967,600872.SH
968,600874.SH
969,600875.SH
970,600876.SH
971,600879.SH
972,600885.SH
973,600886.SH
974,600887.SH
975,600893.SH
976,600895.SH
977,600897.SH
978,600900.SH
979,600909.SH
980,600917.SH
981,600919.SH
982,600926.SH
983,600958.SH
984,600967.SH
985,600970.SH
986,600971.SH
987,600973.SH
988,600975.SH
989,600977.SH
990,600984.SH
991,600985.SH
992,600987.SH
993,600988.SH
994,600990.SH
995,600993.SH
996,600996.SH
997,600998.SH
998,600999.SH
999,601000.SH
1000,601001.SH
1001,601003.SH
1002,601005.SH
1003,601006.SH
1004,601009.SH
1005,601012.SH
1006,601016.SH
1007,601018.SH
1008,601021.SH
1009,601038.SH
1010,601058.SH
1011,601069.SH
1012,601088.SH
1013,601098.SH
1014,601099.SH
1015,601100.SH
1016,601107.SH
1017,601111.SH
1018,601117.SH
1019,601128.SH
1020,601139.SH
1021,601155.SH
1022,601158.SH
1023,601166.SH
1024,601169.SH
1025,601186.SH
1026,601198.SH
1027,601211.SH
1028,601216.SH
1029,601225.SH
1030,601229.SH
1031,601231.SH
1032,601233.SH
1033,601238.SH
1034,601288.SH
1035,601311.SH
1036,601318.SH
1037,601328.SH
1038,601333.SH
1039,601336.SH
1040,601375.SH
1041,601377.SH
1042,601390.SH
1043,601398.SH
1044,601519.SH
1045,601555.SH
1046,601567.SH
1047,601588.SH
1048,601600.SH
1049,601607.SH
1050,601618.SH
1051,601628.SH
1052,601633.SH
1053,601636.SH
1054,601666.SH
1055,601668.SH
1056,601669.SH
1057,601678.SH
1058,601688.SH
1059,601689.SH
1060,601699.SH
1061,601717.SH
1062,601727.SH
1063,601766.SH
1064,601788.SH
1065,601789.SH
1066,601799.SH
1067,601800.SH
1068,601801.SH
1069,601808.SH
1070,601811.SH
1071,601818.SH
1072,601857.SH
1073,601858.SH
1074,601866.SH
1075,601872.SH
1076,601877.SH
1077,601880.SH
1078,601881.SH
1079,601888.SH
1080,601898.SH
1081,601899.SH
1082,601901.SH
1083,601919.SH
1084,601933.SH
1085,601939.SH
1086,601958.SH
1087,601966.SH
1088,601985.SH
1089,601988.SH
1090,601989.SH
1091,601991.SH
1092,601992.SH
1093,601998.SH
1094,603000.SH
1095,603008.SH
1096,603012.SH
1097,603018.SH
1098,603019.SH
1099,603025.SH
1100,603027.SH
1101,603039.SH
1102,603060.SH
1103,603077.SH
1104,603098.SH
1105,603108.SH
1106,603118.SH
1107,603128.SH
1108,603160.SH
1109,603198.SH
1110,603218.SH
1111,603228.SH
1112,603288.SH
1113,603298.SH
1114,603328.SH
1115,603337.SH
1116,603338.SH
1117,603355.SH
1118,603360.SH
1119,603368.SH
1120,603369.SH
1121,603393.SH
1122,603421.SH
1123,603429.SH
1124,603444.SH
1125,603508.SH
1126,603515.SH
1127,603520.SH
1128,603556.SH
1129,603568.SH
1130,603569.SH
1131,603579.SH
1132,603585.SH
1133,603588.SH
1134,603589.SH
1135,603599.SH
1136,603600.SH
1137,603601.SH
1138,603606.SH
1139,603609.SH
1140,603626.SH
1141,603638.SH
1142,603639.SH
1143,603658.SH
1144,603660.SH
1145,603669.SH
1146,603678.SH
1147,603686.SH
1148,603690.SH
1149,603708.SH
1150,603737.SH
1151,603766.SH
1152,603799.SH
1153,603806.SH
1154,603808.SH
1155,603816.SH
1156,603858.SH
1157,603866.SH
1158,603868.SH
1159,603881.SH
1160,603883.SH
1161,603885.SH
1162,603888.SH
1163,603899.SH
1164,603929.SH
1165,603939.SH
1166,603986.SH
1167,603989.SH
1168,603993.SH
1169,603997.SH
