datetime,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol,US_Lowvol
2018-12-08,-0.04316836724789286,-0.043168367247892636,-0.04316836724789286,0.10163345019500825,0.10163345019500802,0.10163345019500802,-0.04316836724789286,-0.04316836724789286,-0.04316836724789286,0.10163345019500802,0.10163345019500825,0.10163345019500802,-0.043168367247892636,-0.043168367247892636,-0.043168367247892636,0.10163345019500825
2018-12-09,-0.04316836724789286,-0.043168367247892636,-0.04316836724789286,0.10163345019500825,0.10163345019500802,0.10163345019500802,-0.04316836724789286,-0.04316836724789286,-0.04316836724789286,0.10163345019500802,0.10163345019500825,0.10163345019500802,-0.043168367247892636,-0.043168367247892636,-0.043168367247892636,0.10163345019500825
2018-12-10,-0.04284065488272515,-0.04284065488272504,-0.04284065488272504,0.10436627770896068,0.10436627770896045,0.10436627770896023,-0.04284065488272504,-0.04284065488272515,-0.04284065488272504,0.10436627770896023,0.10436627770896045,0.10436627770896023,-0.04284065488272504,-0.04284065488272504,-0.04284065488272504,0.10436627770896068
2018-12-11,-0.04402317793903954,-0.044023177939039315,-0.044023177939039315,0.10858203248991605,0.10858203248991605,0.10858203248991583,-0.044023177939039315,-0.04402317793903954,-0.044023177939039315,0.1085820324899156,0.10858203248991605,0.10858203248991583,-0.044023177939039315,-0.044023177939039315,-0.044023177939039315,0.10858203248991605
2018-12-12,-0.04208659791948377,-0.04208659791948355,-0.04208659791948355,0.09940921338453035,0.0994092133845299,0.0994092133845299,-0.04208659791948355,-0.04208659791948377,-0.04208659791948377,0.09940921338452968,0.09940921338453013,0.0994092133845299,-0.04208659791948355,-0.04208659791948355,-0.04208659791948355,0.09940921338453035
2018-12-13,-0.040804634093133396,-0.040804634093133285,-0.040804634093133285,0.10059862668270081,0.10059862668270081,0.10059862668270081,-0.040804634093133285,-0.040804634093133396,-0.040804634093133396,0.10059862668270059,0.10059862668270081,0.10059862668270081,-0.040804634093133285,-0.040804634093133285,-0.040804634093133285,0.10059862668270081
2018-12-14,-0.043916613187610753,-0.04391661318761053,-0.04391661318761053,0.09905435961069098,0.09905435961069098,0.09905435961069098,-0.043916613187610753,-0.043916613187610753,-0.043916613187610753,0.09905435961069076,0.09905435961069098,0.09905435961069098,-0.04391661318761053,-0.04391661318761053,-0.04391661318761053,0.09905435961069098
2018-12-15,-0.043916613187610753,-0.04391661318761053,-0.04391661318761053,0.09905435961069098,0.09905435961069098,0.09905435961069098,-0.043916613187610753,-0.043916613187610753,-0.043916613187610753,0.09905435961069076,0.09905435961069098,0.09905435961069098,-0.04391661318761053,-0.04391661318761053,-0.04391661318761053,0.09905435961069098
2018-12-16,-0.043916613187610753,-0.04391661318761053,-0.04391661318761053,0.09905435961069098,0.09905435961069098,0.09905435961069098,-0.043916613187610753,-0.043916613187610753,-0.043916613187610753,0.09905435961069076,0.09905435961069098,0.09905435961069098,-0.04391661318761053,-0.04391661318761053,-0.04391661318761053,0.09905435961069098
2018-12-17,-0.04842712298504426,-0.04842712298504426,-0.04842712298504426,0.08476796586172508,0.08476796586172508,0.08476796586172486,-0.04842712298504426,-0.04842712298504426,-0.04842712298504426,0.08476796586172486,0.08476796586172508,0.08476796586172486,-0.04842712298504426,-0.04842712298504426,-0.048427122985044146,0.0847679658617253
2018-12-18,-0.04909412202074892,-0.0490941220207487,-0.0490941220207487,0.08230681552544183,0.08230681552544183,0.08230681552544183,-0.0490941220207487,-0.04909412202074892,-0.04909412202074892,0.08230681552544161,0.08230681552544183,0.08230681552544183,-0.0490941220207487,-0.0490941220207487,-0.0490941220207487,0.08230681552544183
2018-12-19,-0.04990106905533376,-0.049901069055333536,-0.049901069055333536,0.08186872109845567,0.08186872109845567,0.08186872109845544,-0.049901069055333536,-0.04990106905533376,-0.04990106905533376,0.08186872109845544,0.08186872109845567,0.08186872109845544,-0.049901069055333536,-0.049901069055333536,-0.049901069055333536,0.08186872109845589
2018-12-20,-0.05560340593636104,-0.05560340593636082,-0.05560340593636082,0.07294431575356786,0.07294431575356786,0.07294431575356786,-0.05560340593636082,-0.05560340593636104,-0.05560340593636104,0.07294431575356763,0.07294431575356786,0.07294431575356786,-0.05560340593636082,-0.05560340593636082,-0.05560340593636082,0.07294431575356786
2018-12-21,-0.06854971274888189,-0.06854971274888177,-0.06854971274888177,0.06906764839300772,0.0690676483930075,0.0690676483930075,-0.06854971274888177,-0.06854971274888189,-0.06854971274888177,0.0690676483930075,0.06906764839300772,0.0690676483930075,-0.06854971274888177,-0.06854971274888177,-0.06854971274888177,0.06906764839300772
2018-12-22,-0.06854971274888189,-0.06854971274888177,-0.06854971274888177,0.06906764839300772,0.0690676483930075,0.0690676483930075,-0.06854971274888177,-0.06854971274888189,-0.06854971274888177,0.0690676483930075,0.06906764839300772,0.0690676483930075,-0.06854971274888177,-0.06854971274888177,-0.06854971274888177,0.06906764839300772
2018-12-23,-0.06854971274888189,-0.06854971274888177,-0.06854971274888177,0.06906764839300772,0.0690676483930075,0.0690676483930075,-0.06854971274888177,-0.06854971274888189,-0.06854971274888177,0.0690676483930075,0.06906764839300772,0.0690676483930075,-0.06854971274888177,-0.06854971274888177,-0.06854971274888177,0.06906764839300772
2018-12-24,-0.07462757691883448,-0.07462757691883437,-0.07462757691883437,0.05156789361611036,0.05156789361611036,0.05156789361611036,-0.07462757691883437,-0.07462757691883448,-0.07462757691883448,0.05156789361611014,0.05156789361611036,0.05156789361611036,-0.07462757691883437,-0.07462757691883437,-0.07462757691883437,0.05156789361611058
2018-12-25,-0.07462757691883448,-0.07462757691883437,-0.07462757691883437,0.05156789361611036,0.05156789361611036,0.05156789361611036,-0.07462757691883437,-0.07462757691883448,-0.07462757691883448,0.05156789361611014,0.05156789361611036,0.05156789361611036,-0.07462757691883437,-0.07462757691883437,-0.07462757691883437,0.05156789361611058
