datetime,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest
2016-05-26,0.15286142396688063,-0.04445479691049514,-0.03906331660958817,-0.005207918033423464,-0.048618647936807036,-0.11374881224218647,-0.08094774677120675,-0.07414895106054786,0.04063477486324474,-0.055865557531804,0.036277546880068234,-0.07091698030933369,-0.007485447607980533,-0.023765978858328762,-0.07135652045107543,-0.023802244506606396,0.08411212088281594,0.07097530657775786,0.10722149593770935,0.17298306333172886,-0.01158269801972256,0.060144667026488685,0.0810589248331417,0.1588361459056553,0.30956926839659427,0.2367705068638497,-0.13695338244954347,-0.0403356201595898,0.06706090658048769,-0.26084716424668175,0.05405907842445812
2016-05-27,0.1627822930594185,-0.03925941147842893,-0.03136810591407013,-0.014119915403295824,-0.04273365250955852,-0.10421303059466336,-0.0744658139202522,-0.06947090127879241,0.04674988323379137,-0.050039885013405505,0.0427472540617555,-0.06479207850449642,-0.0010236554525346886,-0.015551086352467602,-0.06550366258207596,-0.015704427460881187,0.0878129634426914,0.07500621253250928,0.11559923366337443,0.17913889222985535,-0.010150414471133296,0.06494349124785637,0.08724482782151699,0.1627040605804948,0.3146033876792964,0.2389068594618653,-0.1304433076145578,-0.0359707371901592,0.07557322811266176,-0.2567072940008166,0.059110619052243685
2016-05-28,0.1627822930594185,-0.03925941147842893,-0.03136810591407013,-0.014119915403295824,-0.04273365250955852,-0.10421303059466336,-0.0744658139202522,-0.06947090127879241,0.04674988323379137,-0.050039885013405505,0.0427472540617555,-0.06479207850449642,-0.0010236554525346886,-0.015551086352467602,-0.06550366258207596,-0.015704427460881187,0.0878129634426914,0.07500621253250928,0.11559923366337443,0.17913889222985535,-0.010150414471133296,0.06494349124785637,0.08724482782151699,0.1627040605804948,0.3146033876792964,0.2389068594618653,-0.1304433076145578,-0.0359707371901592,0.07557322811266176,-0.2567072940008166,0.059110619052243685
2016-05-29,0.1627822930594185,-0.03925941147842893,-0.03136810591407013,-0.014119915403295824,-0.04273365250955852,-0.10421303059466336,-0.0744658139202522,-0.06947090127879241,0.04674988323379137,-0.050039885013405505,0.0427472540617555,-0.06479207850449642,-0.0010236554525346886,-0.015551086352467602,-0.06550366258207596,-0.015704427460881187,0.0878129634426914,0.07500621253250928,0.11559923366337443,0.17913889222985535,-0.010150414471133296,0.06494349124785637,0.08724482782151699,0.1627040605804948,0.3146033876792964,0.2389068594618653,-0.1304433076145578,-0.0359707371901592,0.07557322811266176,-0.2567072940008166,0.059110619052243685
2016-05-30,0.1627822930594185,-0.03925941147842893,-0.03136810591407013,-0.014119915403295824,-0.04273365250955852,-0.10421303059466336,-0.0744658139202522,-0.06947090127879241,0.04674988323379137,-0.050039885013405505,0.0427472540617555,-0.06479207850449642,-0.0010236554525346886,-0.015551086352467602,-0.06550366258207596,-0.015704427460881187,0.0878129634426914,0.07500621253250928,0.11559923366337443,0.17913889222985535,-0.010150414471133296,0.06494349124785637,0.08724482782151699,0.1627040605804948,0.3146033876792964,0.2389068594618653,-0.1304433076145578,-0.0359707371901592,0.07557322811266176,-0.2567072940008166,0.059110619052243685
2016-05-31,0.16401638549561692,-0.03913081498422255,-0.03110968563739902,-0.007798291463537721,-0.03858739672659284,-0.10435232907960779,-0.07327193078102956,-0.06951881538171933,0.04521104145716581,-0.04914018372004625,0.04123080950536395,-0.06394023459711184,-0.0018049792988112934,-0.014709903269463531,-0.0565813775752706,-0.015086840314896821,0.08593068526869363,0.07440098802474493,0.11530520803662658,0.17862783211779232,-0.010457752460211078,0.06602423815283553,0.08708032221553386,0.16650833594873626,0.32283300329620546,0.24521560096613548,-0.1313960565335952,-0.034876629582640484,0.08166320116986081,-0.25737134856338706,0.061105845155955185
2016-06-01,0.17304765326331406,-0.03492948594239842,-0.03246074027636092,0.00034853852038430055,-0.0347846159376215,-0.09791278508623436,-0.06931322983067278,-0.06783727614676804,0.049428354779233796,-0.04773409670273632,0.04531824330104528,-0.06249023105073881,-0.002765369077774471,-0.01564071131865674,-0.05978006492471455,-0.01409498968216416,0.08987586614881193,0.0737453646412709,0.12047256131892436,0.1825731043999821,-0.009226387373013845,0.07080768366359291,0.09264356249899142,0.17120072743363735,0.3265150043493903,0.24925539540503605,-0.1294966593735195,-0.04324598896356857,0.07999320910752972,-0.26396912969590425,0.06448672450381432
2016-06-02,0.1896390408282056,-0.032374287545888,-0.03361232048959151,0.010016324538087318,-0.030921805591581863,-0.09346083488574364,-0.06553073179445879,-0.06427211152231993,0.05717987719161566,-0.043632726834895386,0.05260956461104649,-0.05873795955547534,0.0026716113175895284,-0.00836744637782827,-0.05635239216220178,-0.013514991789757902,0.0971257820759941,0.07534349027064091,0.12299491289509246,0.18101033557717927,-0.007332813209974254,0.07614864540326893,0.09660178869559943,0.17785341276513678,0.3374531101298113,0.26621349755644697,-0.12755789589847188,-0.043868402849555954,0.08866490440242658,-0.26352962286481574,0.07260061156508324
2016-06-03,0.18811770659001725,-0.031891158424924515,-0.048143669435034675,0.006818112299407986,-0.03255813939001362,-0.09843519387661637,-0.07833388020482268,-0.07059084805387772,0.05830309450714477,-0.051559096140350036,0.05348903568769248,-0.06627864842992348,0.0006249303194161282,-0.010662811669500893,-0.06284519214275264,-0.01732207520700635,0.09343363619768663,0.0736454627388261,0.12395575307039297,0.17893566928249793,-0.008269371904668144,0.07760628075204656,0.0988655698812615,0.17391609272697717,0.33306255754869274,0.26157376135818255,-0.13921503218905873,-0.05243352617342356,0.08063676743726789,-0.2703761226680246,0.06917838680203015
2016-06-04,0.18811770659001725,-0.031891158424924515,-0.048143669435034675,0.006818112299407986,-0.03255813939001362,-0.09843519387661637,-0.07833388020482268,-0.07059084805387772,0.05830309450714477,-0.051559096140350036,0.05348903568769248,-0.06627864842992348,0.0006249303194161282,-0.010662811669500893,-0.06284519214275264,-0.01732207520700635,0.09343363619768663,0.0736454627388261,0.12395575307039297,0.17893566928249793,-0.008269371904668144,0.07760628075204656,0.0988655698812615,0.17391609272697717,0.33306255754869274,0.26157376135818255,-0.13921503218905873,-0.05243352617342356,0.08063676743726789,-0.2703761226680246,0.06917838680203015
2016-06-05,0.18811770659001725,-0.031891158424924515,-0.048143669435034675,0.006818112299407986,-0.03255813939001362,-0.09843519387661637,-0.07833388020482268,-0.07059084805387772,0.05830309450714477,-0.051559096140350036,0.05348903568769248,-0.06627864842992348,0.0006249303194161282,-0.010662811669500893,-0.06284519214275264,-0.01732207520700635,0.09343363619768663,0.0736454627388261,0.12395575307039297,0.17893566928249793,-0.008269371904668144,0.07760628075204656,0.0988655698812615,0.17391609272697717,0.33306255754869274,0.26157376135818255,-0.13921503218905873,-0.05243352617342356,0.08063676743726789,-0.2703761226680246,0.06917838680203015
2016-06-06,0.19008733826967594,-0.027550503762717726,-0.04131685104714966,0.007154383122092822,-0.033564444736159715,-0.09363111097418308,-0.06874521724305993,-0.0644939362364344,0.05858494360185085,-0.04435215928187941,0.05359368071054349,-0.05931605049505628,0.0007908832969307777,-0.010424670822253068,-0.05824806250420822,-0.006731253375929724,0.10360915771577628,0.08220402969790408,0.12963514820207633,0.18452513896173217,-0.0018828196008900955,0.07763793050749035,0.09980534553513021,0.17943391859664515,0.3393209140641982,0.26972716940149066,-0.1325571155389238,-0.04398362272500689,0.08913014925173002,-0.26029624632990367,0.07269970680611282
