datetime,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest
2019-08-30,0.19373186891089422,0.9552170329493106,-0.029812526258495953,0.02319677794383357,-0.019434338099042936,0.6862771984674938,0.8119698438447776,0.7542360332023499,0.5314322567831944,0.7482639029114009,0.5408638168976536,0.6763756213572636,0.6480480189238627,0.46528634520018564,0.2982031287967273,0.5372823239754623,0.07923073336643505,0.2503249577814324,0.029988254948125403,0.2615117978796009,0.11591055429913966
2019-08-31,0.19373186891089422,0.9552170329493106,-0.029812526258495953,0.02319677794383357,-0.019434338099042936,0.6862771984674938,0.8119698438447776,0.7542360332023499,0.5314322567831944,0.7482639029114009,0.5408638168976536,0.6763756213572636,0.6480480189238627,0.46528634520018564,0.2982031287967273,0.5372823239754623,0.07923073336643505,0.2503249577814324,0.029988254948125403,0.2615117978796009,0.11591055429913966
2019-09-01,0.19373186891089422,0.9552170329493106,-0.029812526258495953,0.02319677794383357,-0.019434338099042936,0.6862771984674938,0.8119698438447776,0.7542360332023499,0.5314322567831944,0.7482639029114009,0.5408638168976536,0.6763756213572636,0.6480480189238627,0.46528634520018564,0.2982031287967273,0.5372823239754623,0.07923073336643505,0.2503249577814324,0.029988254948125403,0.2615117978796009,0.11591055429913966
2019-09-02,0.19373186891089422,0.9552170329493106,-0.029812526258495953,0.02319677794383357,-0.019434338099042936,0.6862771984674938,0.8119698438447776,0.7542360332023499,0.5314322567831944,0.7482639029114009,0.5408638168976536,0.6763756213572636,0.6480480189238627,0.46528634520018564,0.2982031287967273,0.5372823239754623,0.07923073336643505,0.2503249577814324,0.029988254948125403,0.2615117978796009,0.11591055429913966
2019-09-03,0.18591056028352315,0.9314354761606105,-0.03705400029692696,0.01848911783490892,-0.017479873030843973,0.6782984652004849,0.8006582405416851,0.744216220392472,0.5278929603779099,0.7390070810810383,0.539157931284211,0.6668866595534666,0.6367644139366304,0.455574465497252,0.3016982078624242,0.5186242222771444,0.07769676362851885,0.2513018060546477,0.03260375570711638,0.26056193240247216,0.10689118447484658
2019-09-04,0.2022595774550635,0.9448401699351248,-0.025186710489605857,0.04221222113900347,-0.012437641321342952,0.7034304353705805,0.8148467839711107,0.722703828978851,0.5412616467718785,0.7308648046184076,0.5385552061311707,0.6520182221210744,0.6451587419700415,0.46402512392466244,0.30697832590880436,0.5275778618511306,0.06961429457497759,0.26340124371175033,0.04420885860395041,0.27428916641246626,0.11812180842378694
2019-09-05,0.22563911515365187,0.9693933831387236,-0.007097210420704547,0.05729549426905445,0.001612139061994533,0.7220190852230444,0.8387449625885386,0.7379591696079795,0.5447471778467388,0.7460958362132537,0.543447990307317,0.6676185360258584,0.658211905756886,0.4729510709013045,0.3141117721159372,0.5493669355447894,0.08457434484883164,0.27057790081340927,0.04841702719289387,0.27853087854646064,0.12489539380198877
2019-09-06,0.22565440259330205,0.9816797103900772,-0.005158420540376407,0.06153209705104157,0.005613460680631288,0.7178845062353092,0.8458644878915293,0.7291952140765039,0.5568525779767308,0.7417224782619123,0.557101396113429,0.668657522429188,0.6682861134265714,0.4799034900213619,0.3145492689069338,0.5406088388641748,0.09237046630245649,0.27475149841428914,0.0487127163565364,0.2743337050894141,0.12450695990690797
2019-09-07,0.22565440259330205,0.9816797103900772,-0.005158420540376407,0.06153209705104157,0.005613460680631288,0.7178845062353092,0.8458644878915293,0.7291952140765039,0.5568525779767308,0.7417224782619123,0.557101396113429,0.668657522429188,0.6682861134265714,0.4799034900213619,0.3145492689069338,0.5406088388641748,0.09237046630245649,0.27475149841428914,0.0487127163565364,0.2743337050894141,0.12450695990690797
2019-09-08,0.22565440259330205,0.9816797103900772,-0.005158420540376407,0.06153209705104157,0.005613460680631288,0.7178845062353092,0.8458644878915293,0.7291952140765039,0.5568525779767308,0.7417224782619123,0.557101396113429,0.668657522429188,0.6682861134265714,0.4799034900213619,0.3145492689069338,0.5406088388641748,0.09237046630245649,0.27475149841428914,0.0487127163565364,0.2743337050894141,0.12450695990690797
2019-09-09,0.23824863697576704,0.9746329408442644,0.005570171061828333,0.07803299817931109,0.010792861800172693,0.7364996469478182,0.8415986008547129,0.7048172221849041,0.5546492502552569,0.7134425974090799,0.5506310214471202,0.6459423078245461,0.6635258917437465,0.4755572274210018,0.31858190782686324,0.5570917189876421,0.09611220529338316,0.28390098716588064,0.04679756862762918,0.2847053798392325,0.12467596900688105
