,SmartGlobal Max-Growth,Benchmark-Growth
2018/8/27,1.236416824,1.199101312
2018/8/28,1.234698694,1.199329648
2018/8/29,1.238090799,1.201983198
2018/8/30,1.230809021,1.19836694
2018/8/31,1.230752899,1.196406976
2018/9/4,1.225671827,1.18989645
2018/9/5,1.220930522,1.185132773
2018/9/6,1.219141247,1.18271982
2018/9/7,1.215064188,1.179656255
2018/9/10,1.215122172,1.180591462
2018/9/11,1.215990195,1.18073903
2018/9/12,1.219362482,1.182954542
2018/9/13,1.224570811,1.187421627
2018/9/14,1.223496982,1.18900027
2018/9/17,1.219560865,1.185980885
2018/9/18,1.2248242,1.189009201
2018/9/19,1.227593712,1.191000205
2018/9/20,1.233972755,1.19767679
2018/9/21,1.234617415,1.200594712
2018/9/24,1.23070674,1.197479722
2018/9/25,1.232499525,1.197319171
2018/9/26,1.232469793,1.197034455
2018/9/27,1.23288436,1.197545696
2018/9/28,1.231517864,1.195839601
2018/10/1,1.233053803,1.196666719
2018/10/2,1.229647356,1.194587489
2018/10/3,1.227479459,1.192501998
2018/10/4,1.21686081,1.183648934
2018/10/5,1.212581621,1.17760586
2018/10/8,1.212581621,1.17463795
2018/10/9,1.209089362,1.173477224
2018/10/10,1.188814512,1.156446356
2018/10/11,1.178506665,1.141481158
2018/10/12,1.187538573,1.149338517
2018/10/15,1.183849111,1.145473861
2018/10/16,1.197565265,1.158394956
2018/10/17,1.193096077,1.157334735
2018/10/18,1.180637868,1.148115235
2018/10/19,1.182742878,1.146776756
2018/10/22,1.183367107,1.145024742
2018/10/23,1.177938212,1.137378378
2018/10/24,1.158090919,1.122877882
2018/10/25,1.169931049,1.128055822
2018/10/26,1.161288731,1.12042837
2018/10/29,1.153715433,1.11778897
2018/10/30,1.163840782,1.124155142
2018/10/31,1.170792591,1.132851525
2018/11/1,1.182998339,1.140579386
2018/11/2,1.181341066,1.139845652
2018/11/5,1.183392173,1.141171955
2018/11/6,1.185503043,1.14438198
2018/11/7,1.198317085,1.156042897
2018/11/8,1.190810491,1.154619086
2018/11/9,1.18299239,1.147656456
2018/11/12,1.18299239,1.135739617
2018/11/13,1.173993913,1.13567879
2018/11/14,1.17140471,1.132527318
2018/11/15,1.179608684,1.136921507
2018/11/16,1.181660889,1.140281434
2018/11/19,1.17208599,1.133555055
2018/11/20,1.158309468,1.12150681
2018/11/21,1.165932216,1.124183263
2018/11/23,1.15933311,1.120746877
2018/11/26,1.168331995,1.128948956
2018/11/27,1.167961884,1.129669592
2018/11/28,1.183650139,1.140514002
2018/11/29,1.18139047,1.142709652
2018/11/30,1.183668837,1.144731251
2018/12/3,1.19510207,1.155442624
2018/12/4,1.176291025,1.140543695
2018/12/5,1.176291025,1.136852639
2018/12/6,1.172799887,1.129866763
2018/12/7,1.160715314,1.122612067
2018/12/10,1.157574311,1.117128441
2018/12/11,1.160061174,1.117649836
2018/12/12,1.166535614,1.125498408
2018/12/13,1.166551919,1.125663407
2018/12/14,1.155373836,1.114763838
2018/12/17,1.145796312,1.106076737
2018/12/18,1.147434194,1.104687482
2018/12/19,1.137128676,1.101146937
2018/12/20,1.13114431,1.090150384
2018/12/21,1.118463448,1.08083623
2018/12/24,1.107966272,1.070921934
2018/12/26,1.130245419,1.085058763
2018/12/27,1.133111082,1.089912345
2018/12/28,1.135630031,1.093658301
2018/12/31,1.13940273,1.099144979
2019/1/1,1.13940273,1.09917511
