,SmartXray Onshore-Growth,Benchmark-Growth
2017/5/10,1.011392544,0.918571912
2017/5/11,1.016286239,0.920008419
2017/5/12,1.020619983,0.923703859
2017/5/15,1.025881178,0.92504185
2017/5/16,1.034017017,0.92880549
2017/5/17,1.028638986,0.927064677
2017/5/18,1.026821247,0.92448463
2017/5/19,1.029305937,0.924150744
2017/5/22,1.030079774,0.92138815
2017/5/23,1.031940619,0.91893603
2017/5/24,1.031026941,0.919499312
2017/5/25,1.036769535,0.927183689
2017/5/26,1.03709614,0.927577978
2017/5/31,1.038507261,0.929572406
2017/6/1,1.039345465,0.927305152
2017/6/2,1.036483106,0.927678797
2017/6/5,1.034809845,0.925516805
2017/6/6,1.041620585,0.92734508
2017/6/7,1.051341926,0.933647301
2017/6/8,1.058204249,0.935229271
2017/6/9,1.061693537,0.936788355
2017/6/12,1.064946344,0.934477735
2017/6/13,1.067057911,0.937475159
2017/6/14,1.059019589,0.933843342
2017/6/15,1.057771079,0.934305434
2017/6/16,1.056536246,0.932870112
2017/6/19,1.064686979,0.936878887
2017/6/20,1.062461237,0.936648858
2017/6/21,1.071858647,0.939218873
2017/6/22,1.068516004,0.937331698
2017/6/23,1.074495188,0.938876269
2017/6/26,1.083980748,0.944055217
2017/6/27,1.086465047,0.945453835
2017/6/28,1.07834927,0.942282445
2017/6/29,1.081937569,0.944698865
2017/6/30,1.084400337,0.945316958
2017/7/3,1.07993653,0.945563045
2017/7/4,1.072546822,0.943157574
2017/7/5,1.080855799,0.947430646
2017/7/6,1.08059278,0.94886894
2017/7/7,1.078085283,0.949781804
2017/7/10,1.076824526,0.948902242
2017/7/11,1.080920302,0.947403533
2017/7/12,1.077447742,0.946568439
2017/7/13,1.080159296,0.950140504
2017/7/14,1.083124834,0.950970643
2017/7/17,1.073197153,0.943449308
2017/7/18,1.073200545,0.94504134
2017/7/19,1.081501085,0.952330791
2017/7/20,1.086240158,0.954950398
2017/7/21,1.08435575,0.953623843
2017/7/24,1.087878155,0.955764052
2017/7/25,1.085295421,0.9541028
2017/7/26,1.079115425,0.954208007
2017/7/27,1.080256723,0.954507252
2017/7/28,1.085302244,0.955169637
2017/7/31,1.087945011,0.958434808
2017/8/1,1.092790931,0.961502184
2017/8/2,1.089310902,0.960338935
2017/8/3,1.082728346,0.958478447
2017/8/4,1.078565246,0.956691046
2017/8/7,1.08518467,0.959257351
2017/8/8,1.086169135,0.959641645
2017/8/9,1.091917307,0.958394905
2017/8/10,1.090462311,0.956253748
2017/8/11,1.080852644,0.947662921
2017/8/14,1.091876483,0.952959858
2017/8/15,1.093184437,0.955437672
2017/8/16,1.090698676,0.954384079
2017/8/17,1.091570652,0.957885085
2017/8/18,1.093595768,0.957923193
2017/8/21,1.096945304,0.960397879
2017/8/22,1.098213332,0.960760075
2017/8/23,1.097989232,0.960443434
2017/8/24,1.093496981,0.957511499
2017/8/25,1.101355201,0.967547137
2017/8/28,1.10818249,0.972599951
2017/8/29,1.106961153,0.973103254
2017/8/30,1.107525349,0.972951726
2017/8/31,1.105825665,0.972625992
2017/9/1,1.10703512,0.97373417
2017/9/4,1.10795925,0.975707237
2017/9/5,1.110241878,0.976289096
2017/9/6,1.108666916,0.976521692
2017/9/7,1.105883595,0.973542406
2017/9/8,1.106167562,0.974030576
2017/9/11,1.106018039,0.975933727
2017/9/12,1.108316356,0.976402193
2017/9/13,1.111914247,0.977044662
2017/9/14,1.110347935,0.975227364
2017/9/15,1.111242898,0.972291365
2017/9/18,1.11629985,0.973613166
2017/9/19,1.114525128,0.972504347
2017/9/20,1.116521244,0.973937584
2017/9/21,1.115312301,0.972547801
2017/9/22,1.116566402,0.971826335
2017/9/25,1.117485582,0.97050506
2017/9/26,1.116525925,0.970918611
2017/9/27,1.116826024,0.971088947
2017/9/28,1.120705298,0.970187862
2017/9/29,1.12467637,0.971852706
2017/10/9,1.133654754,0.976307993
2017/10/10,1.137001853,0.977765206
2017/10/11,1.142577939,0.978721877
2017/10/12,1.145115097,0.978044848
2017/10/13,1.146757569,0.978752282
2017/10/16,1.144191372,0.976344731
2017/10/17,1.145027883,0.974653144
2017/10/18,1.152529818,0.976395821
2017/10/19,1.15621632,0.974592755
2017/10/20,1.153028407,0.976134861
2017/10/23,1.158301522,0.9766087
2017/10/24,1.16191625,0.97790315
2017/10/25,1.167317146,0.979105682
2017/10/26,1.170479162,0.980469732
2017/10/27,1.17851647,0.981518511
2017/10/30,1.174346638,0.97590469
2017/10/31,1.17331931,0.976287431
2017/11/1,1.171660931,0.977131132
2017/11/2,1.171441807,0.974974999
2017/11/3,1.171728909,0.97285391
2017/11/6,1.184989403,0.975954084
2017/11/7,1.18827786,0.979973236
2017/11/8,1.184097538,0.980361612
2017/11/9,1.189564982,0.98240419
2017/11/10,1.202022472,0.983077118
2017/11/13,1.203161314,0.985155128
2017/11/14,1.192769181,0.981722202
2017/11/15,1.191024518,0.977415101
2017/11/16,1.204161174,0.977176238
2017/11/17,1.20058893,0.974535881
2017/11/20,1.206666567,0.97627399
2017/11/21,1.215120612,0.979252341
2017/11/22,1.209859199,0.982148619
2017/11/23,1.180260223,0.968666215
2017/11/24,1.181243347,0.96938094
2017/11/27,1.170968659,0.964328503
2017/11/28,1.175542379,0.966251774
2017/11/29,1.171230845,0.967057513
2017/11/30,1.162595865,0.964013639
2017/12/1,1.163087222,0.964315027
2017/12/4,1.170351201,0.963306022
2017/12/5,1.170797297,0.962541116
2017/12/6,1.166603818,0.960924107
2017/12/7,1.158933144,0.95724408
2017/12/8,1.169503019,0.960180474
2017/12/11,1.189131844,0.965196818
2017/12/12,1.180163321,0.958123411
2017/12/13,1.190848635,0.961830469
2017/12/14,1.189708523,0.960112519
2017/12/15,1.18019034,0.955948131
2017/12/18,1.183502085,0.956521664
2017/12/19,1.194027514,0.961440008
2017/12/20,1.198031062,0.959902003
2017/12/21,1.20650438,0.96198698
2017/12/22,1.2043908,0.961823451
2017/12/25,1.203662962,0.958968863
2017/12/26,1.202811453,0.963198789
2017/12/27,1.187599021,0.957884875
2017/12/28,1.196088286,0.961162861
2017/12/29,1.198697904,0.963208978
2018/1/2,1.206489999,0.970464157
2018/1/3,1.20944388,0.973986947
