,SmartXray Offshore-Growth,Benchmark Offshore-Growth
2017/5/15,1.332577122,1.105333624
2017/5/16,1.337336661,1.108758762
2017/5/17,1.33004304,1.103502809
2017/5/18,1.314114301,1.10275852
2017/5/19,1.321290604,1.108215144
2017/5/22,1.323008804,1.112703662
2017/5/23,1.324237286,1.112858872
2017/5/24,1.32309492,1.112332881
2017/5/25,1.325891053,1.115662367
2017/5/26,1.32340438,1.11495366
2017/5/29,1.323460729,1.114725392
2017/5/31,1.317375321,1.116553947
2017/6/1,1.321045159,1.119639718
2017/6/2,1.31938299,1.125656774
2017/6/5,1.320157736,1.124207717
2017/6/6,1.327243642,1.123659513
2017/6/7,1.326925759,1.123828635
2017/6/8,1.324697793,1.121558179
2017/6/9,1.323460171,1.120080001
2017/6/12,1.319129779,1.119310021
2017/6/13,1.32483078,1.123049827
2017/6/14,1.319107976,1.126563564
2017/6/15,1.310373918,1.118257769
2017/6/16,1.312442973,1.121360145
2017/6/19,1.316344478,1.125250731
2017/6/20,1.309453144,1.119758638
2017/6/21,1.306723096,1.119194128
2017/6/22,1.309166183,1.120251391
2017/6/23,1.312960665,1.122181029
2017/6/26,1.320225693,1.123256591
2017/6/27,1.315192135,1.118906525
2017/6/28,1.31652782,1.124755891
2017/6/29,1.314425255,1.119707164
2017/6/30,1.313007317,1.117871824
2017/7/3,1.313205035,1.117810948
2017/7/4,1.310684872,1.11717833
2017/7/5,1.30763268,1.117410785
2017/7/6,1.301772091,1.113077017
2017/7/7,1.299432642,1.113533251
2017/7/10,1.30422139,1.115421979
2017/7/11,1.309952258,1.114837503
2017/7/12,1.318564619,1.12309257
2017/7/13,1.321579875,1.124173147
2017/7/14,1.326340389,1.129818748
2017/7/17,1.327464656,1.130587861
2017/7/18,1.331215951,1.13352604
2017/7/19,1.340001758,1.136507443
2017/7/20,1.34036691,1.139307803
2017/7/21,1.338630472,1.139038145
2017/7/24,1.337026205,1.137521704
2017/7/25,1.338322007,1.138121766
2017/7/26,1.340477855,1.138519465
2017/7/27,1.344193906,1.13987192
2017/7/28,1.344745945,1.140094764
2017/7/31,1.346392364,1.1411587
2017/8/1,1.348701469,1.145924323
2017/8/2,1.346150841,1.146012365
2017/8/3,1.340817162,1.146403572
2017/8/4,1.340127059,1.143513478
2017/8/7,1.339301838,1.145593036
2017/8/8,1.338104816,1.142759139
2017/8/9,1.337927506,1.142260906
2017/8/10,1.330322693,1.135264639
2017/8/11,1.330077407,1.135144442
2017/8/14,1.334538576,1.140060232
2017/8/15,1.33326824,1.136557714
2017/8/16,1.33341405,1.138457736
2017/8/17,1.329988902,1.133472928
2017/8/18,1.331338644,1.132367131
2017/8/21,1.332267841,1.134130226
2017/8/22,1.337535335,1.137326239
2017/8/24,1.34184044,1.136169191
2017/8/25,1.343454762,1.139140827
2017/8/28,1.346971383,1.139993799
2017/8/29,1.351826714,1.142047595
2017/8/30,1.353827892,1.140365144
2017/8/31,1.35863912,1.144962699
2017/9/1,1.362735655,1.146812121
2017/9/4,1.3646545,1.146717081
2017/9/5,1.361621662,1.145607743
2017/9/6,1.363031297,1.147127558
2017/9/7,1.364188039,1.151045891
2017/9/8,1.365523824,1.15149106
2017/9/11,1.370956382,1.155921835
2017/9/12,1.373167981,1.156282921
2017/9/13,1.374252585,1.154531385
2017/9/14,1.372553819,1.152759633
2017/9/15,1.374066535,1.155179219
2017/9/18,1.376963578,1.155423309
2017/9/19,1.375442281,1.157553573
2017/9/20,1.377322238,1.158741816
2017/9/21,1.375533434,1.153904203
2017/9/22,1.376038681,1.15650225
2017/9/25,1.373092258,1.154287476
2017/9/26,1.37179116,1.150420416
2017/9/27,1.37307165,1.150230173
2017/9/28,1.373912223,1.152115828
2017/9/29,1.378693365,1.155744838
2017/10/3,1.384475226,1.157861333
2017/10/4,1.386697677,1.158655374
2017/10/6,1.388798689,1.158440558
2017/10/9,1.390036968,1.158561371
2017/10/10,1.391613518,1.163361265
2017/10/11,1.393607388,1.164447061
