Date,Portfolio-80,202015.OF,110023.OF
2016/7/25,1.577735168,1.315193781,1.374085684
2016/7/26,1.597353324,1.330284669,1.393939394
2016/7/27,1.569488186,1.310163485,1.350052247
2016/7/28,1.576483128,1.311306734,1.359456635
2016/7/29,1.572573876,1.305590488,1.354231975
2016/8/1,1.556811037,1.295072596,1.333333333
2016/8/2,1.560501556,1.299759918,1.338557994
2016/8/3,1.562477836,1.301589116,1.338557994
2016/8/4,1.564733616,1.304561564,1.339602926
2016/8/5,1.560085639,1.306505087,1.331243469
2016/8/8,1.571486736,1.317708929,1.342737722
2016/8/9,1.581477766,1.326626272,1.352142111
2016/8/10,1.578210607,1.321481651,1.351097179
2016/8/11,1.571234068,1.317937579,1.334378265
2016/8/12,1.583359251,1.34171716,1.340647858
2016/8/15,1.613995274,1.38013033,1.369905956
2016/8/16,1.612821627,1.37475706,1.369905956
2016/8/17,1.614437071,1.372927861,1.370950888
2016/8/18,1.60929927,1.369955413,1.36677116
2016/8/19,1.609049412,1.370984337,1.374085684
2016/8/22,1.599462677,1.360123471,1.373040752
2016/8/23,1.60215475,1.362409969,1.376175549
2016/8/24,1.600368758,1.358408597,1.381400209
2016/8/25,1.594100951,1.350405853,1.377220481
2016/8/26,1.594931105,1.350062879,1.383490073
2016/8/29,1.593472044,1.350405853,1.384535005
2016/8/30,1.593468878,1.352120727,1.387669801
2016/8/31,1.596118906,1.358408597,1.383490073
2016/9/1,1.58858805,1.348348005,1.37199582
2016/9/2,1.585135906,1.352006402,1.362591432
2016/9/5,1.590467099,1.353492626,1.36677116
2016/9/6,1.603064858,1.362409969,1.379310345
2016/9/7,1.602261225,1.361838345,1.377220481
2016/9/8,1.603318197,1.36149537,1.375130617
2016/9/9,1.595775099,1.353263976,1.370950888
2016/9/12,1.570293235,1.331656568,1.343782654
2016/9/13,1.57365746,1.330856294,1.345872518
2016/9/14,1.566314466,1.3226249,1.339602926
2016/9/19,1.578675373,1.332342517,1.358411703
2016/9/20,1.577207021,1.330284669,1.353187043
2016/9/21,1.579917418,1.334057391,1.357366771
2016/9/22,1.587260481,1.343660684,1.362591432
2016/9/23,1.584434075,1.337830113,1.360501567
2016/9/26,1.564775859,1.316794329,1.34169279
2016/9/27,1.571589628,1.324682748,1.34691745
2016/9/28,1.570804962,1.320910026,1.343782654
2016/9/29,1.57741524,1.326397622,1.351097179
2016/9/30,1.584617721,1.329941694,1.355276907
2016/10/10,1.602807418,1.345604207,1.385579937
2016/10/11,1.606816027,1.350634503,1.390804598
2016/10/12,1.604025164,1.34823368,1.388714734
2016/10/13,1.602500348,1.349376929,1.385579937
2016/10/14,1.603134447,1.350405853,1.386624869
2016/10/17,1.594994606,1.339087687,1.385579937
2016/10/18,1.611435515,1.356007774,1.399164054
2016/10/19,1.609374885,1.354064251,1.398119122
2016/10/20,1.609534803,1.355093175,1.392894462
2016/10/21,1.608697576,1.358751572,1.387669801
2016/10/24,1.618534562,1.374414085,1.394984326
2016/10/25,1.622916113,1.374414085,1.394984326
2016/10/26,1.620915665,1.369612439,1.393939394
2016/10/27,1.619375797,1.366297016,1.39184953
2016/10/28,1.615525469,1.364353493,1.384535005
2016/10/31,1.615126479,1.362867269,1.385579937
2016/11/1,1.625009031,1.371898937,1.394984326
2016/11/2,1.616905801,1.362066994,1.394984326
2016/11/3,1.624466249,1.374414085,1.399164054
2016/11/4,1.619418792,1.370298388,1.392894462
2016/11/7,1.618822447,1.371327312,1.382445141
2016/11/8,1.625742528,1.377157883,1.388714734
2016/11/9,1.618195742,1.370412713,1.381400209
2016/11/10,1.630389781,1.385160627,1.392894462
2016/11/11,1.630134262,1.395792843,1.387669801
2016/11/14,1.630884391,1.401051789,1.390804598
2016/11/15,1.635323182,1.401051789,1.400208986
2016/11/16,1.635929938,1.401623414,1.403343783
2016/11/17,1.63710941,1.404595861,1.402298851
2016/11/18,1.63158289,1.397622042,1.39707419
2016/11/21,1.636458196,1.40688236,1.399164054
2016/11/22,1.644496254,1.417743226,1.404388715
2016/11/23,1.645624382,1.420258374,1.39707419
2016/11/24,1.648121667,1.42597462,1.393939394
2016/11/25,1.655908375,1.438893335,1.398119122
2016/11/28,1.662054918,1.444495256,1.399164054
2016/11/29,1.67023895,1.455813422,1.389759666
2016/11/30,1.661546575,1.44575283,1.390804598
2016/12/1,1.668674385,1.456385046,1.393939394
2016/12/2,1.651582461,1.442437407,1.381400209
2016/12/5,1.63630738,1.419115125,1.388714734
2016/12/6,1.639318633,1.415228078,1.393939394
2016/12/7,1.645805646,1.421858923,1.402298851
2016/12/8,1.646172299,1.419801075,1.394984326
2016/12/9,1.649963664,1.428947068,1.39184953
2016/12/12,1.611420741,1.396135818,1.343782654
2016/12/13,1.61253218,1.394649594,1.34691745
2016/12/14,1.602124318,1.384589002,1.335423197
2016/12/15,1.589879194,1.369612439,1.329153605
2016/12/16,1.597157222,1.371898937,1.34169279
2016/12/19,1.592263649,1.365268092,1.34169279
2016/12/20,1.586825575,1.357493998,1.33646813
2016/12/21,1.597154585,1.369040814,1.345872518
2016/12/22,1.596304229,1.36801189,1.342737722
2016/12/23,1.585638867,1.357151023,1.332288401
2016/12/26,1.589592179,1.362981594,1.334378265
2016/12/27,1.590831668,1.360695095,1.334378265
2016/12/28,1.586532,1.355093175,1.334378265
2016/12/29,1.58427284,1.353721276,1.326018809
2016/12/30,1.591170988,1.358637247,1.332288401
2017/1/3,1.601392561,1.371212987,1.344827586
2017/1/4,1.614896089,1.381502229,1.352142111
2017/1/5,1.612522029,1.381387904,1.350052247
2017/1/6,1.604953825,1.373728135,1.340647858
2017/1/9,1.610973813,1.38013033,1.354231975
2017/1/10,1.60888599,1.378072482,1.352142111
2017/1/11,1.59829543,1.368812164,1.340647858
2017/1/12,1.589304829,1.362295644,1.32183908
2017/1/13,1.584387135,1.363210244,1.310344828
2017/1/16,1.578578709,1.362981594,1.299895507
2017/1/17,1.585062363,1.365839716,1.304075235
2017/1/18,1.591325342,1.370984337,1.306165099
2017/1/19,1.588292751,1.367211615,1.307210031
2017/1/20,1.60004239,1.377272208,1.319749216
2017/1/23,1.601578567,1.38104493,1.323928945
2017/1/24,1.600218215,1.381387904,1.32183908
2017/1/25,1.603962992,1.385960901,1.331243469
2017/1/26,1.608157803,1.390762547,1.340647858
2017/2/3,1.601248181,1.381502229,1.340647858
2017/2/6,1.607880425,1.384931977,1.349007315
2017/2/7,1.605651815,1.382073854,1.347962382
2017/2/8,1.612293786,1.389161998,1.353187043
2017/2/9,1.617218367,1.394306619,1.356321839
2017/2/10,1.618426669,1.401166114,1.352142111
2017/2/13,1.630550437,1.410197782,1.362591432
2017/2/14,1.62956056,1.410197782,1.362591432
2017/2/15,1.624172528,1.404824511,1.349007315
2017/2/16,1.629810944,1.41248428,1.352142111
2017/2/17,1.625189705,1.405053161,1.344827586
2017/2/20,1.646493522,1.424488396,1.356321839
2017/2/21,1.653151864,1.429061392,1.365726228
2017/2/22,1.65747901,1.43180519,1.365726228
2017/2/23,1.656439853,1.42551732,1.399164054
2017/2/24,1.656850708,1.42574597,1.393939394
