,NAME,HKSE,SEHKENG,GICS,GICSCODE,GICSENG,LOTSIZE
00150.HK,HYPEBEAST,非必需性消费,Consumer Discretionary,工业,20,Industrials,2500
00151.HK,中国旺旺,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
00152.HK,深圳国际,工业,Industrials,工业,20,Industrials,500
00153.HK,中国赛特,地产建筑业,Properties & Construction,工业,20,Industrials,2000
00154.HK,北京控股环境集团,工业,Industrials,工业,20,Industrials,1000
00155.HK,中国源畅,工业,Industrials,工业,20,Industrials,10000
00156.HK,力宝华润,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
00157.HK,自然美,非必需性消费,Consumer Discretionary,日常消费品,30,Consumer Staples,10000
00158.HK,万邦投资,地产建筑业,Properties & Construction,房地产,60,Real Estate,500
00159.HK,布莱克万矿业,原材料业,Materials,原材料,15,Materials,4000
00160.HK,汉国置业,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00162.HK,世纪金花,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00163.HK,英皇国际,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00164.HK,中国宝力科技,资讯科技业,Information Technology,非日常生活消费品,25,Consumer Discretionary,5000
00165.HK,中国光大控股,金融业,Financials,金融,40,Financials,2000
00166.HK,新时代能源,原材料业,Materials,原材料,15,Materials,2000
00167.HK,IDT INT'L,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00168.HK,青岛啤酒股份,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
00169.HK,万达酒店发展,非必需性消费,Consumer Discretionary,房地产,60,Real Estate,1000
00171.HK,银建国际,地产建筑业,Properties & Construction,能源,10,Energy,2000
00172.HK,金榜集团,金融业,Financials,金融,40,Financials,10000
00173.HK,嘉华国际,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00174.HK,盛洋投资,金融业,Financials,金融,40,Financials,2000
00175.HK,吉利汽车,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00176.HK,先机企业集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00177.HK,江苏宁沪高速公路,工业,Industrials,工业,20,Industrials,2000
00178.HK,莎莎国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00179.HK,德昌电机控股,非必需性消费,Consumer Discretionary,工业,20,Industrials,500
00180.HK,开达集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00181.HK,闽港控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,20000
00182.HK,协合新能源,公用事业,Utilities,公用事业,55,Utilities,10000
00183.HK,宏辉集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,8000
00184.HK,激成投资,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00185.HK,正商实业,地产建筑业,Properties & Construction,房地产,60,Real Estate,10000
00186.HK,敏捷控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,30000
00187.HK,京城机电股份,工业,Industrials,工业,20,Industrials,2000
00188.HK,新华汇富金融,金融业,Financials,金融,40,Financials,10000
00189.HK,东岳集团,原材料业,Materials,原材料,15,Materials,1000
00190.HK,香港建设(控股),地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00191.HK,丽新国际,综合企业,Conglomerates,房地产,60,Real Estate,1000
00193.HK,冠中地产,地产建筑业,Properties & Construction,非日常生活消费品,25,Consumer Discretionary,3000
00194.HK,廖创兴企业,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00195.HK,绿科科技国际,原材料业,Materials,原材料,15,Materials,10000
00196.HK,宏华集团,能源业,Energy,能源,10,Energy,1000
00197.HK,亨泰,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,5000
00198.HK,星美控股,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,4000
00199.HK,德祥地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00200.HK,新濠国际发展,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00201.HK,华大酒店,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00202.HK,润中国际控股,综合企业,Conglomerates,房地产,60,Real Estate,5000
00204.HK,中国投资开发,金融业,Financials,金融,40,Financials,20000
00205.HK,财讯传媒,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,10000
00206.HK,华商国际海洋控股,能源业,Energy,能源,10,Energy,1000
00207.HK,大悦城地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00208.HK,保利达资产,地产建筑业,Properties & Construction,房地产,60,Real Estate,5000
00209.HK,瀛晟科学,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
00210.HK,达芙妮国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00211.HK,STYLAND HOLD,金融业,Financials,金融,40,Financials,10000
00212.HK,NANYANG HOLD,地产建筑业,Properties & Construction,房地产,60,Real Estate,500
00213.HK,NATIONAL ELEC H,工业,Industrials,工业,20,Industrials,2000
00214.HK,汇汉控股,金融业,Financials,房地产,60,Real Estate,2000
00215.HK,和记电讯香港,电讯业,Telecommunications,通讯服务,50,Communication Services,2000
00216.HK,建业实业,地产建筑业,Properties & Construction,房地产,60,Real Estate,4000
00217.HK,中国诚通发展集团,原材料业,Materials,房地产,60,Real Estate,2000
00218.HK,申万宏源香港,金融业,Financials,金融,40,Financials,5000
00219.HK,顺豪物业,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00220.HK,统一企业中国,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
00221.HK,易易壹金融,金融业,Financials,金融,40,Financials,10000
00222.HK,闽信集团,金融业,Financials,非日常生活消费品,25,Consumer Discretionary,2000
00223.HK,易生活控股,资讯科技业,Information Technology,能源,10,Energy,20000
00224.HK,建生国际,地产建筑业,Properties & Construction,房地产,60,Real Estate,4000
00225.HK,博富临置业,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00226.HK,力宝,非必需性消费,Consumer Discretionary,房地产,60,Real Estate,1000
00227.HK,第一上海,金融业,Financials,金融,40,Financials,8000
00228.HK,中能控股,能源业,Energy,能源,10,Energy,2000
00229.HK,利民实业,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00230.HK,五矿地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00231.HK,平安证券集团控股,金融业,Financials,房地产,60,Real Estate,40000
00232.HK,中国航空工业国际,工业,Industrials,工业,20,Industrials,2000
00234.HK,新世纪集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,24000
00235.HK,中策集团,原材料业,Materials,原材料,15,Materials,5000
00236.HK,香港生力啤,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
00237.HK,安全货仓,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00238.HK,长兴国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00239.HK,白花油,医疗保健业,Healthcare,医疗保健,35,Health Care,2500
00240.HK,利基控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
00241.HK,阿里健康,医疗保健业,Healthcare,医疗保健,35,Health Care,2000
00242.HK,信德集团,综合企业,Conglomerates,工业,20,Industrials,2000
00243.HK,QPL INT'L-NEW,资讯科技业,Information Technology,信息技术,45,Information Technology,9000
00244.HK,先施,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00245.HK,中薇金融,金融业,Financials,金融,40,Financials,10000
00247.HK,TST PROPERTIES,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00248.HK,香港通讯国际控股,资讯科技业,Information Technology,非日常生活消费品,25,Consumer Discretionary,4000
00250.HK,中国数码信息,资讯科技业,Information Technology,信息技术,45,Information Technology,50000
00251.HK,爪哇控股,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00252.HK,华信地产财务,工业,Industrials,原材料,15,Materials,2000
00253.HK,顺豪控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00254.HK,国家联合资源,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
00255.HK,龙记集团,工业,Industrials,工业,20,Industrials,2000
00256.HK,冠城钟表珠宝,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00257.HK,光大环境,公用事业,Utilities,工业,20,Industrials,1000
00258.HK,汤臣集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00259.HK,亿都(国际控股),非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00260.HK,幸福控股,金融业,Financials,能源,10,Energy,10000
00261.HK,GBA集团,资讯科技业,Information Technology,信息技术,45,Information Technology,80000
00262.HK,迪臣发展国际,地产建筑业,Properties & Construction,房地产,60,Real Estate,5000
00263.HK,高富集团控股,金融业,Financials,金融,40,Financials,4000
00264.HK,中联发展控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
00265.HK,东胜旅游,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
00266.HK,天德地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00267.HK,中信股份,综合企业,Conglomerates,工业,20,Industrials,1000
00268.HK,金蝶国际,资讯科技业,Information Technology,信息技术,45,Information Technology,1000
00269.HK,中国资源交通,工业,Industrials,工业,20,Industrials,5000
00270.HK,粤海投资,公用事业,Utilities,公用事业,55,Utilities,2000
00271.HK,亚证地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00272.HK,瑞安房地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,500
00273.HK,茂宸集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,20000
00274.HK,中富资源,原材料业,Materials,原材料,15,Materials,10000
00275.HK,凯华集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,10000
00276.HK,蒙古能源,能源业,Energy,能源,10,Energy,3000
00277.HK,太兴置业,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00278.HK,华厦置业,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00279.HK,民众金融科技,金融业,Financials,金融,40,Financials,6000
00280.HK,景福集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00281.HK,川河集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
