,NAME,HKSE,SEHKENG,GICS,GICSCODE,GICSENG,LOTSIZE
06119.HK,天源集团,工业,Industrials,工业,20,Industrials,3000
06122.HK,九台农商银行,金融业,Financials,金融,40,Financials,1000
06123.HK,圆通速递国际,工业,Industrials,工业,20,Industrials,2000
06128.HK,泛亚国际,地产建筑业,Properties & Construction,工业,20,Industrials,2000
06133.HK,维太创科,资讯科技业,Information Technology,信息技术,45,Information Technology,1000
06136.HK,康达环保,公用事业,Utilities,公用事业,55,Utilities,1000
06138.HK,哈尔滨银行,金融业,Financials,金融,40,Financials,1000
06139.HK,金茂酒店-SS,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,500
06158.HK,正荣地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
06160.HK,百济神州,医疗保健业,Healthcare,医疗保健,35,Health Care,100
06161.HK,泰加保险,金融业,Financials,金融,40,Financials,2000
06162.HK,天瑞汽车内饰,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,8000
06163.HK,彭顺国际,工业,Industrials,非日常生活消费品,25,Consumer Discretionary,2000
06166.HK,中国宏泰发展,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
06168.HK,优通未来,资讯科技业,Information Technology,通讯服务,50,Communication Services,5000
06169.HK,宇华教育,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
06178.HK,光大证券,金融业,Financials,金融,40,Financials,200
06182.HK,乙德投资控股,地产建筑业,Properties & Construction,原材料,15,Materials,8000
06183.HK,中国绿宝,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
06185.HK,康希诺生物-B,医疗保健业,Healthcare,医疗保健,35,Health Care,200
06186.HK,中国飞鹤,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
06188.HK,迪信通,资讯科技业,Information Technology,非日常生活消费品,25,Consumer Discretionary,500
06189.HK,爱得威建设集团,地产建筑业,Properties & Construction,工业,20,Industrials,500
06190.HK,九江银行,金融业,Financials,金融,40,Financials,200
06193.HK,泰林科建,地产建筑业,Properties & Construction,信息技术,45,Information Technology,2000
06196.HK,郑州银行,金融业,Financials,金融,40,Financials,1000
06198.HK,青岛港,工业,Industrials,工业,20,Industrials,1000
06199.HK,贵州银行,金融业,Financials,金融,40,Financials,1000
06288.HK,FAST RETAIL-DRS,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,300
06805.HK,金茂源环保,工业,Industrials,工业,20,Industrials,2000
06806.HK,申万宏源,金融业,Financials,金融,40,Financials,800
06808.HK,高鑫零售,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,500
06811.HK,太兴集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
06812.HK,永顺控股香港,非必需性消费,Consumer Discretionary,工业,20,Industrials,5000
06816.HK,瑞港建设,地产建筑业,Properties & Construction,工业,20,Industrials,2000
06818.HK,中国光大银行,金融业,Financials,金融,40,Financials,1000
06819.HK,中智全球,非必需性消费,Consumer Discretionary,医疗保健,35,Health Care,500
06820.HK,友谊时光,资讯科技业,Information Technology,通讯服务,50,Communication Services,2000
06822.HK,科劲国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
06823.HK,香港电讯-SS,电讯业,Telecommunications,通讯服务,50,Communication Services,1000
06826.HK,昊海生物科技,医疗保健业,Healthcare,医疗保健,35,Health Care,100
06828.HK,北京燃气蓝天,公用事业,Utilities,能源,10,Energy,8000
06829.HK,龙昇集团控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
06830.HK,华众车载,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
06833.HK,兴科蓉医药,医疗保健业,Healthcare,医疗保健,35,Health Care,4000
06836.HK,天韵国际控股,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
06837.HK,海通证券,金融业,Financials,金融,40,Financials,400
06838.HK,盈利时,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
06839.HK,云南水务,公用事业,Utilities,公用事业,55,Utilities,1000
06855.HK,亚盛医药-B,医疗保健业,Healthcare,医疗保健,35,Health Care,100
06858.HK,本间高尔夫,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,500
06860.HK,指尖悦动,资讯科技业,Information Technology,通讯服务,50,Communication Services,1000
06862.HK,海底捞,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
06865.HK,福莱特玻璃,工业,Industrials,原材料,15,Materials,1000
06866.HK,佐力小贷,金融业,Financials,金融,40,Financials,2000
06868.HK,天福,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1000
06869.HK,长飞光纤光缆,资讯科技业,Information Technology,信息技术,45,Information Technology,500
06877.HK,CLSA PREMIUM,金融业,Financials,金融,40,Financials,5000
06878.HK,鼎丰集团控股,地产建筑业,Properties & Construction,金融,40,Financials,2000
06880.HK,腾邦控股,工业,Industrials,工业,20,Industrials,2000
06881.HK,中国银河,金融业,Financials,金融,40,Financials,500
06882.HK,东瀛游,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
06885.HK,金马能源,能源业,Energy,能源,10,Energy,1000
06886.HK,HTSC,金融业,Financials,金融,40,Financials,200
06888.HK,英达公路再生科技,地产建筑业,Properties & Construction,工业,20,Industrials,1000
06889.HK,DYNAM JAPAN,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,200
06890.HK,康利国际控股,原材料业,Materials,原材料,15,Materials,2000
06893.HK,衍生集团,医疗保健业,Healthcare,医疗保健,35,Health Care,2000
06896.HK,金嗓子,医疗保健业,Healthcare,医疗保健,35,Health Care,500
06898.HK,中国铝罐,工业,Industrials,医疗保健,35,Health Care,2000
06899.HK,联众,资讯科技业,Information Technology,通讯服务,50,Communication Services,1000
06908.HK,宏光照明,非必需性消费,Consumer Discretionary,信息技术,45,Information Technology,5000
06918.HK,奇士达,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
06919.HK,人瑞人才,非必需性消费,Consumer Discretionary,工业,20,Industrials,100
06928.HK,TOMO HOLDINGS,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
06933.HK,新娱科控股,资讯科技业,Information Technology,通讯服务,50,Communication Services,2000
06958.HK,正荣服务,地产建筑业,Properties & Construction,工业,20,Industrials,1000
06966.HK,中国万桐园,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
06968.HK,港龙中国地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
06969.HK,思摩尔国际,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
06978.HK,永泰生物-B,医疗保健业,Healthcare,医疗保健,35,Health Care,1000
06988.HK,乐享互动,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,1000
08001.HK,东方汇财证券,金融业,Financials,金融,40,Financials,4000
08003.HK,世大控股,非必需性消费,Consumer Discretionary,原材料,15,Materials,2000
08005.HK,裕兴科技,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
08006.HK,华泰瑞银,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,10000
08007.HK,环球战略集团-新,原材料业,Materials,工业,20,Industrials,10000
08009.HK,华夏能源控股,能源业,Energy,能源,10,Energy,5000
08011.HK,百田石油,能源业,Energy,能源,10,Energy,20000
08013.HK,ECI TECH,资讯科技业,Information Technology,信息技术,45,Information Technology,20000
08017.HK,捷利交易宝,资讯科技业,Information Technology,金融,40,Financials,4000
08018.HK,汇财金融投资,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
08019.HK,皓文控股,金融业,Financials,金融,40,Financials,20000
08020.HK,宏海控股集团,工业,Industrials,工业,20,Industrials,10000
08021.HK,汇隆控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
08022.HK,永耀集团控股,地产建筑业,Properties & Construction,工业,20,Industrials,3000
08023.HK,邝文记,地产建筑业,Properties & Construction,工业,20,Industrials,6000
08025.HK,亚洲资产,金融业,Financials,金融,40,Financials,3000
08026.HK,朗华国际集团,医疗保健业,Healthcare,日常消费品,30,Consumer Staples,1000
08027.HK,吉辉控股,非必需性消费,Consumer Discretionary,工业,20,Industrials,5000
08028.HK,天时软件,原材料业,Materials,原材料,15,Materials,20000
08029.HK,太阳国际,金融业,Financials,金融,40,Financials,5000
08030.HK,汇联金融服务,地产建筑业,Properties & Construction,房地产,60,Real Estate,5000
08031.HK,易通讯集团,非必需性消费,Consumer Discretionary,工业,20,Industrials,2000
08032.HK,非凡中国,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,8000
08033.HK,爱达利网络,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
08035.HK,骏高控股,工业,Industrials,工业,20,Industrials,10000
08036.HK,电子交易集团,资讯科技业,Information Technology,金融,40,Financials,10000
08037.HK,中国生物科技服务,医疗保健业,Healthcare,医疗保健,35,Health Care,5000
08039.HK,中国卓银,地产建筑业,Properties & Construction,工业,20,Industrials,8000
08040.HK,DCB控股,地产建筑业,Properties & Construction,非日常生活消费品,25,Consumer Discretionary,5000
08041.HK,荟萃国际(控股),资讯科技业,Information Technology,非日常生活消费品,25,Consumer Discretionary,20000
08042.HK,高奥士国际,非必需性消费,Consumer Discretionary,金融,40,Financials,10000
08043.HK,ATLINKS,资讯科技业,Information Technology,工业,20,Industrials,5000
08045.HK,南大苏富特,资讯科技业,Information Technology,信息技术,45,Information Technology,6000
08047.HK,中国海洋发展,工业,Industrials,工业,20,Industrials,4000
08048.HK,御德国际控股,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
08049.HK,吉林长龙药业,医疗保健业,Healthcare,医疗保健,35,Health Care,4000
08050.HK,量子思维,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
08051.HK,讯智海,资讯科技业,Information Technology,信息技术,45,Information Technology,200
08052.HK,陆庆娱乐,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
08053.HK,比优集团,地产建筑业,Properties & Construction,工业,20,Industrials,20000
08055.HK,中国网络信息科技,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,8000
08056.HK,生活概念,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
08057.HK,麦迪森控股,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,4000
08059.HK,朝威控股,地产建筑业,Properties & Construction,工业,20,Industrials,5000
08060.HK,国联通信,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
08062.HK,俊盟国际,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
08063.HK,环球大通集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,50000
08065.HK,高萌科技,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
08066.HK,品创控股,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
08067.HK,东方大学城控股,非必需性消费,Consumer Discretionary,工业,20,Industrials,1000
08069.HK,纵横游控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
08070.HK,侨洋国际控股,工业,Industrials,信息技术,45,Information Technology,5000
08071.HK,中彩网通控股,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
08072.HK,罗马集团,金融业,Financials,金融,40,Financials,10000
08073.HK,兴业新材料,工业,Industrials,信息技术,45,Information Technology,4000
08075.HK,寰亚传媒,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,4000
08076.HK,新利软件,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
08078.HK,中国创意数码,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,8000
08079.HK,易还财务投资,工业,Industrials,金融,40,Financials,5000
08080.HK,北亚策略,工业,Industrials,工业,20,Industrials,4000
08081.HK,恒泰裕集团,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
08082.HK,太阳娱乐集团,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,5000
08083.HK,中国有赞,资讯科技业,Information Technology,非日常生活消费品,25,Consumer Discretionary,4000
08086.HK,新维国际控股,资讯科技业,Information Technology,信息技术,45,Information Technology,8000
08087.HK,中国三三传媒,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,20000
08088.HK,汇友生命科学,金融业,Financials,通讯服务,50,Communication Services,8000
08089.HK,华人策略控股,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,1800
08090.HK,中国融保金融集团,金融业,Financials,金融,40,Financials,2000
08091.HK,奥传思维控股,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,10000
08092.HK,ITE HOLDINGS,资讯科技业,Information Technology,信息技术,45,Information Technology,4000
08093.HK,万星控股,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,5000
08095.HK,北大青鸟环宇,非必需性消费,Consumer Discretionary,信息技术,45,Information Technology,1000
08096.HK,赏之味,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
08098.HK,昌利控股,金融业,Financials,金融,40,Financials,10000
08100.HK,智易控股,资讯科技业,Information Technology,信息技术,45,Information Technology,6000
08101.HK,壹家壹品(新),非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
08103.HK,HMVOD(新),非必需性消费,Consumer Discretionary,信息技术,45,Information Technology,6000
08106.HK,升华兰德,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
08107.HK,威诚国际控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
08108.HK,福泽集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
08109.HK,麒麟集团控股,金融业,Financials,信息技术,45,Information Technology,15000
08111.HK,中国科技产业集团,工业,Industrials,公用事业,55,Utilities,5000
08112.HK,基石金融,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,24000
08113.HK,扬宇科技,工业,Industrials,非日常生活消费品,25,Consumer Discretionary,10000
08115.HK,上海青浦消防,工业,Industrials,工业,20,Industrials,4000
08116.HK,中国幸福投资,必需性消费,Consumer Staples,非日常生活消费品,25,Consumer Discretionary,20000
08117.HK,中国基础能源,公用事业,Utilities,能源,10,Energy,10000
08118.HK,濠亮环球,非必需性消费,Consumer Discretionary,信息技术,45,Information Technology,8000
08119.HK,即时科研,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
08120.HK,国农金融投资,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
08121.HK,超凡网络,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,10000
08123.HK,华亿金控,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,6000
08125.HK,仁德资源,地产建筑业,Properties & Construction,工业,20,Industrials,4000
08126.HK,G.A.控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
08128.HK,中国地热能,工业,Industrials,工业,20,Industrials,8000
08130.HK,大地国际集团,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,20000
08131.HK,辰罡科技,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
08132.HK,中油港燃,能源业,Energy,能源,10,Energy,10000
08133.HK,铸能控股,工业,Industrials,原材料,15,Materials,20000
08135.HK,正美丰业,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
08136.HK,英马斯集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
08137.HK,洪桥集团,工业,Industrials,非日常生活消费品,25,Consumer Discretionary,2000
08139.HK,长安仁恒,原材料业,Materials,原材料,15,Materials,500
08140.HK,人和科技,地产建筑业,Properties & Construction,工业,20,Industrials,10000
08142.HK,德利机械,工业,Industrials,工业,20,Industrials,10000
08143.HK,金威医疗,医疗保健业,Healthcare,医疗保健,35,Health Care,4000
08146.HK,怡园酒业,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,10000
08147.HK,汇思太平洋,电讯业,Telecommunications,信息技术,45,Information Technology,8000
08148.HK,奥栢中国,资讯科技业,Information Technology,信息技术,45,Information Technology,20000
08149.HK,浩德控股,金融业,Financials,金融,40,Financials,10000
08150.HK,无缝绿色,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
08151.HK,宝申控股,工业,Industrials,工业,20,Industrials,5000
08152.HK,明梁控股,工业,Industrials,工业,20,Industrials,10000
08153.HK,法诺集团,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,5000
08155.HK,南华资产控股,地产建筑业,Properties & Construction,房地产,60,Real Estate,8000
08156.HK,国药科技股份,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
08158.HK,中国再生医学,医疗保健业,Healthcare,医疗保健,35,Health Care,5000
08159.HK,辉煌科技,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
08160.HK,GOLDWAY EDU,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,12000
08161.HK,医汇集团,医疗保健业,Healthcare,医疗保健,35,Health Care,10000
08162.HK,港银控股,原材料业,Materials,原材料,15,Materials,10000
08163.HK,领智金融,必需性消费,Consumer Staples,金融,40,Financials,20000
08165.HK,华普智通,资讯科技业,Information Technology,工业,20,Industrials,10000
08166.HK,中国农业生态,工业,Industrials,日常消费品,30,Consumer Staples,10000
08167.HK,中国新电信,资讯科技业,Information Technology,信息技术,45,Information Technology,4000
08168.HK,宝积资本,金融业,Financials,金融,40,Financials,10000
08169.HK,环康集团,工业,Industrials,工业,20,Industrials,10000
08170.HK,全民国际,地产建筑业,Properties & Construction,工业,20,Industrials,1000
08171.HK,中国趋势,资讯科技业,Information Technology,信息技术,45,Information Technology,160000
08172.HK,拉近网娱,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,20000
08173.HK,万亚企业控股,地产建筑业,Properties & Construction,非日常生活消费品,25,Consumer Discretionary,40000
08175.HK,中国数码文化,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
08176.HK,超人智能,医疗保健业,Healthcare,医疗保健,35,Health Care,5000
08178.HK,中国信息科技,资讯科技业,Information Technology,信息技术,45,Information Technology,24000
08179.HK,新煮意控股,必需性消费,Consumer Staples,非日常生活消费品,25,Consumer Discretionary,12000
08181.HK,时时服务,地产建筑业,Properties & Construction,非日常生活消费品,25,Consumer Discretionary,8000
08186.HK,同仁资源,原材料业,Materials,原材料,15,Materials,20000
08187.HK,积木集团,金融业,Financials,非日常生活消费品,25,Consumer Discretionary,5000
08188.HK,骏杰集团控股,地产建筑业,Properties & Construction,工业,20,Industrials,4000
08189.HK,泰达生物,原材料业,Materials,原材料,15,Materials,5000
08190.HK,康佰控股,金融业,Financials,金融,40,Financials,10000
08191.HK,鸿伟亚洲,原材料业,Materials,原材料,15,Materials,6000
08192.HK,环球通证,资讯科技业,Information Technology,原材料,15,Materials,12000
08193.HK,亚太金融投资,金融业,Financials,金融,40,Financials,10000
08195.HK,L&A INTL HOLD,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,24000
08196.HK,建禹集团,公用事业,Utilities,公用事业,55,Utilities,4000
08198.HK,乐透互娱,资讯科技业,Information Technology,非日常生活消费品,25,Consumer Discretionary,4000
08200.HK,修身堂,非必需性消费,Consumer Discretionary,医疗保健,35,Health Care,40000
08201.HK,宝联控股,非必需性消费,Consumer Discretionary,工业,20,Industrials,20000
08202.HK,汇创控股,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,10000
08203.HK,凯顺控股,工业,Industrials,工业,20,Industrials,10000
08205.HK,交大慧谷,资讯科技业,Information Technology,信息技术,45,Information Technology,4000
08206.HK,神通机器人教育,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
08207.HK,中新控股,金融业,Financials,金融,40,Financials,4000
08208.HK,WMCH Global,地产建筑业,Properties & Construction,工业,20,Industrials,6000
08210.HK,衍汇亚洲,金融业,Financials,金融,40,Financials,10000
08211.HK,浙江永安,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
08213.HK,荣晖控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
08215.HK,FIRST CREDIT,金融业,Financials,金融,40,Financials,20000
08216.HK,丰城控股,地产建筑业,Properties & Construction,工业,20,Industrials,5000
08217.HK,联旺集团,地产建筑业,Properties & Construction,工业,20,Industrials,10000
08218.HK,毅高国际控股,工业,Industrials,信息技术,45,Information Technology,12000
08219.HK,恒伟集团控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
08220.HK,比高集团,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,20000
08221.HK,PF GROUP,金融业,Financials,金融,40,Financials,20000
08222.HK,壹照明,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
08223.HK,紫元元,金融业,Financials,金融,40,Financials,4000
08225.HK,中国医疗集团,医疗保健业,Healthcare,医疗保健,35,Health Care,20000
08226.HK,树熊金融集团,金融业,Financials,金融,40,Financials,4000
08227.HK,海天天线,地产建筑业,Properties & Construction,原材料,15,Materials,1000
08228.HK,国艺娱乐,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,20000
08229.HK,FUTURE DATA,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
08230.HK,中国宇天,资讯科技业,Information Technology,工业,20,Industrials,5000
08231.HK,节能元件,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
08232.HK,CLASSIFIED GP,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
08235.HK,赛迪顾问,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
08236.HK,宝德科技集团,资讯科技业,Information Technology,信息技术,45,Information Technology,1000
08237.HK,华星控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
08238.HK,惠陶集团,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,8000
08239.HK,首都金融控股,金融业,Financials,金融,40,Financials,10000
08241.HK,英记茶庄集团,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,5000
08242.HK,新威斯顿,地产建筑业,Properties & Construction,工业,20,Industrials,10000
08245.HK,安悦国际控股,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
08246.HK,中华燃气,工业,Industrials,公用事业,55,Utilities,8000
08247.HK,中生北控生物科技,医疗保健业,Healthcare,医疗保健,35,Health Care,2000
08249.HK,瑞远智控,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
08250.HK,丝路能源,能源业,Energy,能源,10,Energy,20000
08255.HK,神州数字,资讯科技业,Information Technology,信息技术,45,Information Technology,6000
08256.HK,金利通,资讯科技业,Information Technology,通讯服务,50,Communication Services,4000
08257.HK,靖洋集团,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
08258.HK,西北实业,工业,Industrials,原材料,15,Materials,10000
08259.HK,HON CORP,地产建筑业,Properties & Construction,工业,20,Industrials,4000
08260.HK,银合控股,非必需性消费,Consumer Discretionary,工业,20,Industrials,10000
08262.HK,宏强控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
08265.HK,中国之信集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
08266.HK,卓信国际控股,资讯科技业,Information Technology,信息技术,45,Information Technology,3200
08267.HK,蓝港互动,资讯科技业,Information Technology,通讯服务,50,Communication Services,500
08268.HK,迪臣建设,地产建筑业,Properties & Construction,工业,20,Industrials,8000
08269.HK,富誉控股,非必需性消费,Consumer Discretionary,日常消费品,30,Consumer Staples,10000
08270.HK,中国煤层气,能源业,Energy,能源,10,Energy,40000
08271.HK,环球数码创意,地产建筑业,Properties & Construction,通讯服务,50,Communication Services,2000
08272.HK,华人饮食集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
08275.HK,永勤集团控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
08277.HK,骏东控股,原材料业,Materials,原材料,15,Materials,2000
08279.HK,亚博科技控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
08280.HK,中国数字视频,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,2000
08281.HK,中国金典集团,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,8000
08282.HK,智傲控股,资讯科技业,Information Technology,通讯服务,50,Communication Services,4000
08283.HK,正力控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
08285.HK,森浩集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
08286.HK,长城微光,资讯科技业,Information Technology,信息技术,45,Information Technology,5000
08287.HK,百家淘客,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
08290.HK,亚势备份,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
08291.HK,万成金属包装,工业,Industrials,原材料,15,Materials,10000
08292.HK,盛良物流,工业,Industrials,工业,20,Industrials,10000
08293.HK,星亚控股,非必需性消费,Consumer Discretionary,工业,20,Industrials,5000
08295.HK,中植资本国际,金融业,Financials,金融,40,Financials,20000
08296.HK,中国生命集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
08297.HK,芭迪贝伊,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
08299.HK,大唐潼金,原材料业,Materials,原材料,15,Materials,24000
08300.HK,皇玺餐饮集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,20000
08301.HK,明华科技,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,8000
08305.HK,棠记控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
08307.HK,密迪斯肌,医疗保健业,Healthcare,医疗保健,35,Health Care,4000
08308.HK,古兜控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
08309.HK,万成环球控股,非必需性消费,Consumer Discretionary,工业,20,Industrials,10000
08310.HK,大丰港,工业,Industrials,工业,20,Industrials,10000
08311.HK,圆美光电,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
08313.HK,杰地集团,地产建筑业,Properties & Construction,金融,40,Financials,10000
08315.HK,长城汇理,非必需性消费,Consumer Discretionary,工业,20,Industrials,10000
08316.HK,柏荣集团控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
08317.HK,财华社集团,非必需性消费,Consumer Discretionary,信息技术,45,Information Technology,2000
08319.HK,思博系统,资讯科技业,Information Technology,信息技术,45,Information Technology,10000
08320.HK,沛然环保,非必需性消费,Consumer Discretionary,工业,20,Industrials,10000
08321.HK,泰锦控股,地产建筑业,Properties & Construction,工业,20,Industrials,10000
08325.HK,中国支付通,资讯科技业,Information Technology,金融,40,Financials,10000
08326.HK,同景新能源,公用事业,Utilities,非日常生活消费品,25,Consumer Discretionary,1000
08328.HK,信义香港,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,4000
08329.HK,海王英特龙,医疗保健业,Healthcare,医疗保健,35,Health Care,10000
08331.HK,恒勤集团,原材料业,Materials,原材料,15,Materials,10000
08333.HK,阿仕特朗金融,金融业,Financials,金融,40,Financials,5000
08337.HK,直通电讯,电讯业,Telecommunications,通讯服务,50,Communication Services,10000
08340.HK,域高金融,金融业,Financials,金融,40,Financials,10000
08341.HK,艾硕控股,地产建筑业,Properties & Construction,工业,20,Industrials,5000
08346.HK,创新电子控股,工业,Industrials,信息技术,45,Information Technology,10000
08347.HK,F8企业,能源业,Energy,能源,10,Energy,8000
08348.HK,滨海泰达物流,工业,Industrials,工业,20,Industrials,2000
08349.HK,美固科技控股,地产建筑业,Properties & Construction,原材料,15,Materials,10000
