,SmartDeposit,Benchmark
2017/9/8,1.023401485,1.006941777
2017/9/11,1.023370692,1.006960288
2017/9/12,1.02364584,1.006992683
2017/9/13,1.023702459,1.007015823
2017/9/14,1.023763051,1.007048217
2017/9/15,1.02383159,1.007136147
2017/9/18,1.02380775,1.007177797
2017/9/19,1.023679613,1.007205564
2017/9/20,1.023764044,1.007233331
2017/9/21,1.023994493,1.007270354
2017/9/22,1.024099784,1.007358283
2017/9/25,1.024330233,1.007395306
2017/9/26,1.0243203,1.007413817
2017/9/27,1.024382879,1.007436957
2017/9/28,1.024489163,1.00747398
2017/9/29,1.024710672,1.007548025
2017/10/2,1.0246769,1.007598932
2017/10/3,1.0246471,1.007631327
2017/10/4,1.024747425,1.00764521
2017/10/5,1.02485669,1.007659094
2017/10/6,1.024883509,1.007756279
2017/10/9,1.025011647,1.007756279
2017/10/10,1.025031513,1.007756279
2017/10/11,1.025179517,1.007802557
2017/10/12,1.025228189,1.007885858
2017/10/13,1.025653327,1.007964532
2017/10/16,1.025614588,1.007987671
2017/10/17,1.025541083,1.00801081
2017/10/18,1.025563929,1.008038577
2017/10/19,1.025700013,1.008061717
2017/10/20,1.025771532,1.00814039
2017/10/23,1.025842057,1.008158901
2017/10/24,1.025948342,1.008186669
2017/10/25,1.025974168,1.00822832
2017/10/26,1.025942382,1.008256087
2017/10/27,1.026203623,1.008339388
2017/10/30,1.026207597,1.008357899
2017/10/31,1.026234416,1.008376411
2017/11/1,1.026234416,1.008381039
2017/11/2,1.026362554,1.008404178
2017/11/3,1.026155944,1.008487479
2017/11/6,1.026445992,1.008501363
2017/11/7,1.026434072,1.008510618
2017/11/8,1.026424139,1.008519874
2017/11/9,1.026525457,1.008538386
2017/11/10,1.02653837,1.00863557
2017/11/13,1.026560223,1.008667965
2017/11/14,1.026644655,1.008663337
2017/11/15,1.026401293,1.00870036
2017/11/16,1.026483738,1.0087235
2017/11/17,1.026519497,1.008816056
2017/11/20,1.026632735,1.008834568
2017/11/21,1.026555257,1.008862335
2017/11/22,1.026663528,1.008927125
2017/11/23,1.026592009,1.008927125
2017/11/24,1.026572143,1.009038194
2017/11/27,1.026637702,1.009079844
2017/11/28,1.02670922,1.009116867
2017/11/29,1.02670326,1.009158518
2017/11/30,1.026639688,1.009200169
2017/12/1,1.026818485,1.009278842
2017/12/4,1.026870137,1.009283469
2017/12/5,1.026762859,1.009283469
2017/12/6,1.026819478,1.009334376
2017/12/7,1.02704198,1.009362143
2017/12/8,1.026966489,1.009482467
2017/12/11,1.026992315,1.009473212
2017/12/12,1.026895963,1.009482467
2017/12/13,1.026984368,1.009533373
2017/12/14,1.026989335,1.009556512
2017/12/15,1.027354874,1.009644442
2017/12/18,1.027276403,1.009662954
2017/12/19,1.027237663,1.00969072
2017/12/20,1.02741646,1.009741627
2017/12/21,1.027390634,1.009811045
2017/12/22,1.027677701,1.009963764
2017/12/27,1.027710481,1.010028553
2017/12/28,1.027977682,1.010051693
2017/12/29,1.028138599,1.010162761
2018/1/1,1.028138599,1.010162761
2018/1/2,1.02762453,1.010181272
2018/1/3,1.027919605,1.010236807
2018/1/4,1.027599854,1.01027383
2018/1/5,1.027721175,1.010384898
2018/1/8,1.027908296,1.010408038
2018/1/9,1.027956619,1.010435805
2018/1/10,1.028065601,1.010463571
2018/1/11,1.028202344,1.010486711
2018/1/12,1.028085136,1.01061629
2018/1/15,1.0282044,1.01061629
2018/1/16,1.028429563,1.010634802
2018/1/17,1.028954941,1.010681081
2018/1/18,1.02839255,1.010750499
2018/1/19,1.028619768,1.010856939
2018/1/22,1.028612571,1.010903218
2018/1/23,1.028654725,1.010954124
2018/1/24,1.028687626,1.01100503
2018/1/25,1.028764736,1.011065192
2018/1/26,1.0289169,1.011162377
2018/1/29,1.02896111,1.011185517
2018/1/30,1.028799692,1.0111994
2018/1/31,1.029081402,1.011254934
2018/2/1,1.028657809,1.011254934
2018/2/2,1.029015601,1.011356747
2018/2/5,1.029031023,1.011366003
2018/2/6,1.028842874,1.011393769
2018/2/7,1.029023827,1.011426164
2018/2/8,1.029173934,1.011481699
2018/2/9,1.028865493,1.011588139
2018/2/12,1.028891196,1.011597395
2018/2/13,1.029243848,1.011639046
2018/2/14,1.029151315,1.011685324
2018/2/15,1.029325071,1.011722347
2018/2/16,1.029366196,1.011856554
2018/2/19,1.029254129,1.011856554
2018/2/20,1.029243848,1.011879694
2018/2/21,1.028880916,1.011944484
2018/2/22,1.029338437,1.012000018
