,open,high,low,close
2018-05-24 08:00:00 UTC,6.97,7.06,6.97,6.98
2018-05-25 08:00:00 UTC,7.02,7.05,6.95,6.99
2018-05-26 08:00:00 UTC,7.02,7.05,6.95,6.99
2018-05-27 08:00:00 UTC,7.02,7.05,6.95,6.99
2018-05-28 08:00:00 UTC,6.96,7.07,6.9,6.91
2018-05-29 08:00:00 UTC,6.96,7.03,6.86,6.87
2018-05-30 08:00:00 UTC,6.8,6.8,6.51,6.53
2018-05-31 08:00:00 UTC,6.58,6.64,6.53,6.59
2018-06-01 08:00:00 UTC,6.63,6.68,6.54,6.58
2018-06-02 08:00:00 UTC,6.63,6.68,6.54,6.58
2018-06-03 08:00:00 UTC,6.63,6.68,6.54,6.58
2018-06-04 08:00:00 UTC,6.6,6.6,6.53,6.57
2018-06-05 08:00:00 UTC,6.52,6.64,6.5,6.62
2018-06-06 08:00:00 UTC,6.66,6.66,6.57,6.58
2018-06-07 08:00:00 UTC,6.64,6.79,6.61,6.69
2018-06-08 08:00:00 UTC,6.69,6.69,6.49,6.52
2018-06-09 08:00:00 UTC,6.69,6.69,6.49,6.52
2018-06-10 08:00:00 UTC,6.69,6.69,6.49,6.52
2018-06-11 08:00:00 UTC,6.6,7.17,6.59,7.17
2018-06-12 08:00:00 UTC,7.0,7.09,6.87,6.91
2018-06-13 08:00:00 UTC,6.84,6.91,6.76,6.77
2018-06-14 08:00:00 UTC,6.79,7.02,6.77,6.81
2018-06-15 08:00:00 UTC,6.8,7.05,6.78,6.88
2018-06-16 08:00:00 UTC,6.8,7.05,6.78,6.88
2018-06-17 08:00:00 UTC,6.8,7.05,6.78,6.88
2018-06-18 08:00:00 UTC,6.8,7.05,6.78,6.88
2018-06-19 08:00:00 UTC,6.6,6.6,6.19,6.19
2018-06-20 08:00:00 UTC,6.11,6.25,5.96,6.06
2018-06-21 08:00:00 UTC,6.09,6.14,5.73,5.77
2018-06-22 08:00:00 UTC,5.75,5.91,5.66,5.86
2018-06-23 08:00:00 UTC,5.75,5.91,5.66,5.86
2018-06-24 08:00:00 UTC,5.75,5.91,5.66,5.86
2018-06-25 08:00:00 UTC,5.89,5.94,5.73,5.76
2018-06-26 08:00:00 UTC,5.7,5.86,5.64,5.8
2018-06-27 08:00:00 UTC,5.8,5.86,5.69,5.72
2018-06-28 08:00:00 UTC,5.77,5.79,5.58,5.6
