,AQUMON_CCBI,Benchmark
2018/6/27,1.250218286,1.196272715
2018/6/28,1.243063638,1.196606943
2018/6/29,1.256237983,1.201457981
2018/7/3,1.252380137,1.198041836
2018/7/4,1.247737661,1.197541733
2018/7/5,1.248805726,1.20309468
2018/7/6,1.254729363,1.210158433
2018/7/9,1.263767069,1.217042631
2018/7/10,1.266784664,1.21839358
2018/7/11,1.259646347,1.21215827
2018/7/12,1.266958137,1.216950507
2018/7/13,1.271912838,1.219255012
2018/7/16,1.270965385,1.217719438
2018/7/17,1.27026715,1.219374388
2018/7/18,1.271444016,1.220644505
2018/7/19,1.270334809,1.218215268
2018/7/20,1.272909427,1.219415742
2018/7/23,1.268878395,1.217604653
2018/7/24,1.276283954,1.222628128
2018/7/25,1.277311284,1.226982207
2018/7/26,1.278634174,1.227062642
2018/7/27,1.278102553,1.225631951
2018/7/30,1.272337545,1.222738461
2018/7/31,1.274414394,1.224681163
2018/8/1,1.270234845,1.222618011
2018/8/2,1.263197115,1.220868168
2018/8/3,1.266814141,1.224684447
2018/8/6,1.266849831,1.225473425
2018/8/7,1.273238163,1.228853854
2018/8/8,1.272626757,1.228629394
2018/8/9,1.274234963,1.228432826
2018/8/10,1.266248334,1.220649815
2018/8/13,1.262284747,1.214470764
2018/8/14,1.263075664,1.217392773
2018/8/15,1.253395237,1.209508916
2018/8/16,1.258662686,1.214113461
2018/8/17,1.257882731,1.216616953
2018/8/20,1.26388148,1.22108553
2018/8/21,1.268392852,1.22370248
2018/8/22,1.268768346,1.225964951
2018/8/23,1.267197651,1.223702995
2018/8/24,1.270580659,1.227856562
2018/8/27,1.274136109,1.235163575
2018/8/28,1.279723844,1.235289624
2018/8/29,1.280805743,1.237791128
2018/8/30,1.277386111,1.234283761
2018/8/31,1.273226305,1.232194773
2018/9/3,1.274278102,1.230767872
2018/9/4,1.272095205,1.225601631
2018/9/5,1.264795893,1.220732663
2018/9/6,1.262780363,1.218370623
2018/9/7,1.263111227,1.215214233
2018/9/10,1.261160502,1.216177161
2018/9/11,1.26080684,1.216228308
2018/9/12,1.263638622,1.218352239
2018/9/13,1.268566586,1.222777179
2018/9/14,1.270197597,1.224040952
2018/9/17,1.267057424,1.220406425
2018/9/18,1.268733696,1.223066579
2018/9/19,1.272151695,1.22548225
