Currency,Country,Event Short Name,Bloomber Ticker,BBG FREQ,BBG TRANSFORM,BBG INDX UNITS,BBG QUOTE UNITS,BBG UPDATE TIME
JPY,Japan,Exports YoY,JNTBEXPY Index,Monthly,YoY% NSA,Rate,% CHANGE,7:50:00 AM
JPY,Japan,Labor Cash Earnings YoY,JNLSUCTL Index,Monthly,YoY% NSA,Percent,%,7:30:00 AM
JPY,Japan,Real Cash Earnings YoY,JNLSUCRE Index,Monthly,YoY% NSA,Percent,%,7:30:00 AM
JPY,Japan,"Japan CPI ex fresh food, energy",JCPNEFFE Index,Monthly,YoY% NSA,Percent,2015=100 (%),7:30:00 AM
JPY,Japan,Japan Weekly Net Securities Investment Abroad,JSIABOND Index,Weekly,Value NSA,Value,BILLIONS,7:50:00 AM
JPY,Japan,Japan Real GDP Annualized QoQ,JGDPAGDP Index,Quarterly,QoQ% SAAR,Rate,% CHANGE,7:50:00 AM
MYR,Malaysia,Malaysia GDP YoY,MAGDHIY Index,Quarterly,YoY% NSA,Rate,% CHANGE,12:00:00 PM
MYR,Malaysia,Malaysia GDP QoQ,MAGSGDPQ Index,Quarterly,QoQ% SA,Percent,%,12:00:00 PM
MYR,Malaysia,Malaysia CPI YoY,MACPIYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,12:00:00 PM
MYR,Malaysia,Malaysia Exports YoY,MAETEYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,12:00:00 PM
MYR,Malaysia,Malaysia Imports YoY,MAETIYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,12:00:00 PM
MYR,Malaysia,Malaysia Trade Balance,MAETTRBL Index,Monthly,#N/A N/A,Value,BILLIONS,12:00:00 PM
MYR,Malaysia,MY Industrial Production,MAIPINDY Index,Monthly,YoY% NSA,Percent,%,12:00:00 PM
NZD,New Zealand,Building Permits MoM,NZBAUNIM Index,Monthly,MoM% SA,Rate,% CHANGE,5:45:00 AM
NZD,New Zealand,ANZ Commodity Price,ANZCWMOM Index,Monthly,MoM% NSA,Rate,% CHANGE,8:00:00 AM
NZD,New Zealand,Unemployment Rate,NZLFUNER Index,Quarterly,Percent SA,Rate,% RATIO,5:45:00 AM
NZD,New Zealand,Employment Change QoQ,NZLFQOQ Index,Quarterly,QoQ% SA,Rate,% CHANGE,5:45:00 AM
NZD,New Zealand,Employment Change YoY,NZLFYOY Index,Quarterly,YoY% SA,Rate,% CHANGE,5:45:00 AM
NZD,New Zealand,Participation Rate,NZLFPART Index,Quarterly,Percent SA,Rate,%,5:45:00 AM
NZD,New Zealand,Food Prices MoM,NZFPCHGE Index,Monthly,MoM% NSA,Rate,% CHANGE,5:45:00 AM
NZD,New Zealand,BusinessNZ Manufacturing PMI,NZPMISA Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,5:30:00 AM
NZD,New Zealand,Net Migration,NZMILTS Index,Monthly,Units/Persons SA,Volume,Passenger,5:45:00 AM
NZD,New Zealand,ANZ Consumer Confidence Index,NZANCCT Index,Monthly,% Balance/Diffusion Index NSA,Value,#N/A Field Not Applicable,5:00:00 AM
