,25%,50%,75%,count,diff_stat_p,end,freq_day,max,mean,min,missing_pct,raw_stat_p,start,std
BISBUSN Index,100.55,110.7,118.13499999999999,6139.0,0.0,2019-10-22,1.4001303356142065,128.99,110.06647173806854,92.12,0.0,0.5412520753166454,1996-04-11,9.744583377949805
BISBUSR Index,101.22,109.64,115.86,309.0,5.319612644246847e-21,2019-09-30,30.431818181818183,129.03,109.31504854368934,93.06,0.0,0.5442476630264594,1994-01-31,9.032377030387094
CAD3M Curncy,-20.200000000000003,7.495,24.2125,7728.0,,2019-10-23,1.4088261938656659,190.0,11.249690734989679,-90.2,0.0,0.010675968546491844,1990-01-02,43.38320143124895
CADI1M Curncy,1.111425,3.1831,5.017675,7778.0,2.0653677485417725e-30,2019-10-23,1.3998971325704,20.3466,3.634648161481101,0.1227,0.0,0.18105662101387265,1990-01-01,2.865176657441257
CANPAC CDS USD SR 5Y D14 Corp,40.31675,42.7945,45.62799999999999,300.0,1.1459823195406185e-29,2019-10-23,1.4013377926421404,52.716,43.04343666666665,37.586999999999996,0.0,0.24498081097390734,2018-08-30,3.7882671225722846
CDBR1U5 Curncy,22.0,26.0,34.5,585.0,,2014-11-19,1.470890410958904,85.001,30.78091452991453,17.0,0.0,0.004166254641716232,2012-07-13,12.930554488749435
CESIAUD Index,-15.7,9.7,40.2,4332.0,,2019-10-23,1.4174555529900716,177.8,11.061357340720221,-127.5,0.0,1.2969126154086107e-07,2003-01-01,43.20882738604823
CESICAD Index,-18.924999999999997,11.05,45.5,4332.0,,2019-10-23,1.4174555529900716,150.7,12.540674053554927,-218.0,0.0,1.578524638747377e-11,2003-01-01,50.751464926216244
CESICHF Index,-31.125000000000004,3.45,38.025,4328.0,,2019-10-23,1.4187658886064247,231.5,4.084958410351199,-267.3,0.0,5.594495600491342e-09,2003-01-01,64.28527093984107
CESICNY Index,-20.4,6.7,32.5,4096.0,,2019-10-23,1.41001221001221,186.2,7.058715820312518,-142.2,0.0,1.4322321534675856e-06,2004-01-01,48.05572916880059
CESIEUR Index,-31.3,4.9,43.3,4329.0,,2019-10-23,1.418438077634011,162.5,3.3489720489720654,-188.6,0.0,1.1264147442868853e-07,2003-01-01,55.58718871672031
CESIGBP Index,-21.8,4.65,34.2,4330.0,,2019-10-23,1.418110418110418,168.8,8.189122401847555,-88.5,0.0,1.1139881701562514e-11,2003-01-01,40.946904748340216
CESIJPY Index,-26.35,-0.6,23.1,4331.0,,2019-10-23,1.417782909930716,106.5,-1.18566151004387,-99.4,0.0,2.1574795543500716e-11,2003-01-01,36.13460369505331
CESINOK Index,-31.075000000000003,0.0,32.975,4330.0,,2019-10-23,1.418110418110418,182.1,1.6294919168591246,-157.1,0.0,8.280965024299215e-10,2003-01-01,54.76590793296009
CESINZD Index,-18.9,3.8499999999999996,29.9,4330.0,,2019-10-23,1.418110418110418,104.8,4.120069284064663,-115.4,0.0,3.55340081045208e-08,2003-01-01,37.917973090526374
CESISEK Index,-33.3,-2.5,34.975,4330.0,,2019-10-23,1.418110418110418,98.4,-0.2806004618937645,-133.9,0.0,2.4469140210765502e-09,2003-01-01,44.1652482687522
CESIUSD Index,-27.4,0.0,31.0,4332.0,,2019-10-23,1.4174555529900716,97.5,-0.7521468144044342,-140.6,0.0,9.100775424426047e-12,2003-01-01,41.62408302535163
CHFI1M Curncy,-0.0628,1.0996000000000001,2.657775,7778.0,,2019-10-23,1.3998971325704,10.0039,1.8068370017999438,-3.487,0.0,0.03790573717325122,1990-01-01,2.721972981721616
CHFI3M Curncy,-0.07222500000000001,1.1036,2.756525,7778.0,,2019-10-23,1.3998971325704,10.0626,1.8064540241707383,-2.5216,0.0,0.03447666988955614,1990-01-01,2.727223604790373
CHINAGOV CDS USD SR 5Y D14 Corp,32.5,66.082,88.6445,4059.0,1.0569294647304187e-22,2019-10-23,1.5071463775258749,276.298,68.6127745750184,10.0,0.0,0.07833938019471474,2003-01-24,41.733645577264625
CKREA1U5 Curncy,40.4055,60.0,93.46099999999998,4051.0,,2019-10-23,1.5916049382716049,674.875,77.4366516909406,13.75,0.0,0.033491498953619046,2002-02-28,67.56584608368593
CNHI1M Curncy,1.9739,2.8647,3.77475,2263.0,,2019-10-23,1.400972590627763,15.8213,2.9353303137428246,-1.3399,0.0,0.0005413507745535747,2011-02-18,1.7588060387379776
CNHI3M Curncy,2.1675750000000003,2.9072,3.7998250000000002,2264.0,,2019-10-23,1.4631020768890852,9.9112,2.8907831713780903,-1.3737,0.0,0.003046190100123775,2010-09-29,1.5216159084403487
CSIIAUD Index,-18.4,-6.18,3.04,261.0,,2019-09-30,30.43076923076923,31.3,-7.697509578544063,-67.8,0.0,2.6926838866099817e-06,1998-01-31,16.36753107189142
CSIICAD Index,-20.75,-6.89,5.48,261.0,,2019-09-30,30.43076923076923,48.03,-7.986206896551728,-65.12,0.0,6.884587711233667e-07,1998-01-31,19.92597033105169
CSIICHF Index,-28.33,-13.79,2.08,261.0,,2019-09-30,30.43076923076923,44.6,-15.01758620689654,-92.07,0.0,0.00021098675152645462,1998-01-31,24.397091297254644
CSIICNY Index,-12.7125,-2.5250000000000004,12.4575,220.0,,2019-09-30,30.438356164383563,51.1,-1.0981363636363646,-62.65,0.0,0.00013426143677943745,2001-06-30,20.379975772623855
CSIIEUR Index,-14.21,-1.55,15.6,261.0,,2019-09-30,30.43076923076923,78.5,1.7955172413793126,-57.87,0.0,0.00017169150947215874,1998-01-31,26.032631789823107
