,25%,50%,75%,count,end,freq_day,max,mean,min,missing_pct,start,std
MAIPINDY Index,2.875,4.0,5.2,80.0,2019-09-30,30.43946188340807,10.8,4.0375,-4.4,0.6428571428571428,2001-02-28,2.0487337861670265
MAOPRATE Index,3.0,3.0,3.25,3870.0,2019-10-23,1.462015503875969,3.5,3.013204134366927,2.0,0.00025833118057350113,2004-04-26,0.3827149509916599
MPMICNCA Index,51.475,52.05,52.625,36.0,2019-09-30,30.439393939393938,53.7,52.01111111111112,50.5,0.4626865671641791,2014-03-31,0.8393118874676112
MPMICNMA Index,50.2,50.849999999999994,51.125,36.0,2019-09-30,30.43225806451613,51.9,50.677777777777784,48.3,0.7692307692307692,2006-10-31,0.7597409750739721
MPMICNSA Index,51.6,52.7,53.449999999999996,36.0,2019-09-30,30.436363636363637,54.7,52.62777777777777,50.6,0.6756756756756757,2010-07-31,1.1101122494366082
MPMIDEMA Index,51.05,56.15,58.55,36.0,2019-09-30,30.437837837837836,63.3,54.2888888888889,41.7,0.8064516129032258,2004-04-30,6.262166570663077
MPMIEZCA Index,52.12500000000001,54.4,56.075,36.0,2019-09-30,30.4421768707483,58.8,54.347222222222214,50.1,0.7567567567567568,2007-06-30,2.2683519645153467
MPMIEZMA Index,51.175,55.0,56.775000000000006,36.0,2019-09-30,30.437837837837836,60.6,53.90277777777778,45.7,0.8064516129032258,2004-04-30,4.231277153437996
MPMIEZRA Index,49.150000000000006,50.7,51.824999999999996,36.0,2018-11-30,30.446428571428573,54.2,50.60833333333332,47.9,0.368421052631579,2014-03-31,1.5936256954325425
MPMIEZSA Index,53.375,54.3,55.425,36.0,2019-09-30,30.437837837837836,58.0,54.35000000000001,51.2,0.8064516129032258,2004-04-30,1.5732586745805206
MPMIGBMA Index,53.050000000000004,54.150000000000006,55.349999999999994,36.0,2019-09-30,30.437837837837836,58.2,53.74444444444444,47.4,0.8064516129032258,2004-04-30,2.695546002940454
MPMIGBSA Index,51.27499999999999,53.45,54.349999999999994,36.0,2019-09-30,30.437837837837836,56.2,52.94166666666668,48.9,0.8064516129032258,2004-04-30,1.9429543042931887
MPMIGBXA Index,50.075,52.2,52.949999999999996,36.0,2019-09-30,32.177142857142854,56.0,51.11388888888889,43.1,0.7954545454545454,2004-04-30,3.1504333287232344
MPMIINCA Index,50.62500000000001,51.8,53.0,36.0,2019-09-30,30.420289855072465,55.4,51.655555555555544,46.0,0.48571428571428577,2013-12-31,1.9811172092598148
MPMIINMA Index,51.2,52.150000000000006,52.625,36.0,2019-09-30,30.443037974683545,54.7,52.03888888888889,47.9,0.55,2013-02-28,1.38487292408835
MPMIINSA Index,49.6,51.2,52.25000000000001,36.0,2019-09-30,30.443037974683545,54.5,50.85277777777779,45.9,0.55,2013-02-28,2.188082802182392
MPMIJPCA Index,51.3,52.0,52.425,36.0,2019-09-30,30.420289855072465,53.4,51.902777777777786,50.4,0.48571428571428577,2013-12-31,0.8265197642131253
MPMIJPMA Index,51.05,52.45,52.925,36.0,2019-09-30,30.435064935064936,54.8,51.97777777777778,48.9,0.7677419354838709,2006-11-30,1.627989313954243
MPMIJPSA Index,51.3,51.8,52.3,36.0,2019-09-30,30.420289855072465,53.4,51.855555555555554,50.2,0.48571428571428577,2013-12-31,0.7773377440044751
MPMIKRMA Index,48.4,49.150000000000006,49.949999999999996,36.0,2019-09-30,30.442477876106196,51.3,49.233333333333334,47.2,0.6842105263157895,2010-04-30,1.0846987731953186
MPMIUSCA Index,53.74999999999999,54.45,54.9,36.0,2019-09-30,30.439393939393938,56.6,54.16666666666668,50.7,0.4626865671641791,2014-03-31,1.4356680873874912
MPMIUSMA Index,52.77499999999999,54.0,55.3,36.0,2019-09-30,30.431818181818183,56.5,53.763888888888886,50.3,0.5955056179775281,2012-05-31,1.7440761414862564
MPMIUSSA Index,53.45,54.45,55.3,36.0,2019-09-30,30.439393939393938,56.8,54.18611111111111,50.7,0.4626865671641791,2014-03-31,1.5291739652089997
NABSCOND Index,0.2,7.5,12.149999999999999,271.0,2019-09-30,30.437037037037037,21.5,5.757195571955721,-16.6,0.0,1997-03-31,8.245183435426542
