symbol,symbol1,SEHKENG,GICSCODE,GICSENG,LOTSIZE
247 HK Equity,00247.HK,Properties & Construction,60,Real Estate,2000
248 HK Equity,00248.HK,Information Technology,25,Consumer Discretionary,4000
250 HK Equity,00250.HK,Information Technology,45,Information Technology,50000
251 HK Equity,00251.HK,Properties & Construction,60,Real Estate,2000
252 HK Equity,00252.HK,Industrials,15,Materials,2000
253 HK Equity,00253.HK,Consumer Discretionary,25,Consumer Discretionary,2000
254 HK Equity,00254.HK,Consumer Discretionary,25,Consumer Discretionary,10000
255 HK Equity,00255.HK,Industrials,20,Industrials,2000
256 HK Equity,00256.HK,Consumer Discretionary,25,Consumer Discretionary,2000
257 HK Equity,00257.HK,Utilities,20,Industrials,1000
258 HK Equity,00258.HK,Properties & Construction,60,Real Estate,2000
259 HK Equity,00259.HK,Consumer Discretionary,25,Consumer Discretionary,2000
260 HK Equity,00260.HK,Financials,10,Energy,10000
261 HK Equity,00261.HK,Information Technology,45,Information Technology,80000
262 HK Equity,00262.HK,Properties & Construction,60,Real Estate,5000
263 HK Equity,00263.HK,Financials,40,Financials,4000
264 HK Equity,00264.HK,Consumer Discretionary,25,Consumer Discretionary,4000
265 HK Equity,00265.HK,Consumer Discretionary,25,Consumer Discretionary,10000
266 HK Equity,00266.HK,Properties & Construction,60,Real Estate,2000
267 HK Equity,00267.HK,Conglomerates,20,Industrials,1000
268 HK Equity,00268.HK,Information Technology,45,Information Technology,1000
269 HK Equity,00269.HK,Industrials,20,Industrials,5000
270 HK Equity,00270.HK,Utilities,55,Utilities,2000
271 HK Equity,00271.HK,Properties & Construction,60,Real Estate,1000
272 HK Equity,00272.HK,Properties & Construction,60,Real Estate,500
273 HK Equity,00273.HK,Consumer Discretionary,25,Consumer Discretionary,20000
274 HK Equity,00274.HK,Materials,15,Materials,10000
275 HK Equity,00275.HK,Properties & Construction,60,Real Estate,10000
276 HK Equity,00276.HK,Energy,10,Energy,3000
277 HK Equity,00277.HK,Properties & Construction,60,Real Estate,2000
278 HK Equity,00278.HK,Properties & Construction,60,Real Estate,2000
279 HK Equity,00279.HK,Financials,40,Financials,6000
280 HK Equity,00280.HK,Consumer Discretionary,25,Consumer Discretionary,2000
281 HK Equity,00281.HK,Properties & Construction,60,Real Estate,2000
282 HK Equity,00282.HK,Consumer Discretionary,50,Communication Services,10000
283 HK Equity,00283.HK,#N/A,#N/A,#N/A,#N/A
285 HK Equity,00285.HK,Information Technology,45,Information Technology,500
286 HK Equity,00286.HK,Healthcare,35,Health Care,2000
287 HK Equity,00287.HK,Properties & Construction,60,Real Estate,2000
288 HK Equity,00288.HK,Consumer Staples,30,Consumer Staples,500
289 HK Equity,00289.HK,Consumer Discretionary,25,Consumer Discretionary,1000
290 HK Equity,00290.HK,Financials,40,Financials,2000
291 HK Equity,00291.HK,Consumer Staples,30,Consumer Staples,2000
292 HK Equity,00292.HK,Consumer Discretionary,25,Consumer Discretionary,10000
293 HK Equity,00293.HK,Consumer Discretionary,20,Industrials,1000
294 HK Equity,00294.HK,Consumer Discretionary,25,Consumer Discretionary,1000
295 HK Equity,00295.HK,Utilities,55,Utilities,25000
296 HK Equity,00296.HK,Consumer Discretionary,25,Consumer Discretionary,5000
297 HK Equity,00297.HK,Materials,15,Materials,2000
298 HK Equity,00298.HK,Properties & Construction,60,Real Estate,10000
299 HK Equity,00299.HK,Properties & Construction,60,Real Estate,5000
300 HK Equity,00300.HK,#N/A,#N/A,#N/A,#N/A
301 HK Equity,00301.HK,Materials,15,Materials,2000
302 HK Equity,00302.HK,Information Technology,45,Information Technology,2000
303 HK Equity,00303.HK,Information Technology,45,Information Technology,100
304 HK Equity,00304.HK,#N/A,#N/A,#N/A,#N/A
305 HK Equity,00305.HK,Consumer Discretionary,25,Consumer Discretionary,10000
306 HK Equity,00306.HK,Consumer Discretionary,20,Industrials,2000
307 HK Equity,00307.HK,Energy,10,Energy,2000
308 HK Equity,00308.HK,Consumer Discretionary,25,Consumer Discretionary,2000
309 HK Equity,00309.HK,Consumer Discretionary,20,Industrials,1000
310 HK Equity,00310.HK,Financials,40,Financials,15000
311 HK Equity,00311.HK,Consumer Discretionary,25,Consumer Discretionary,1000
312 HK Equity,00312.HK,Consumer Discretionary,25,Consumer Discretionary,2000
313 HK Equity,00313.HK,Properties & Construction,20,Industrials,50000
315 HK Equity,00315.HK,Telecommunications,50,Communication Services,500
316 HK Equity,00316.HK,Industrials,20,Industrials,500
317 HK Equity,00317.HK,Industrials,20,Industrials,2000
318 HK Equity,00318.HK,Conglomerates,40,Financials,5000
319 HK Equity,00319.HK,#N/A,#N/A,#N/A,#N/A
320 HK Equity,00320.HK,Industrials,20,Industrials,2000
321 HK Equity,00321.HK,Consumer Discretionary,25,Consumer Discretionary,2000
322 HK Equity,00322.HK,Consumer Staples,30,Consumer Staples,2000
323 HK Equity,00323.HK,Materials,15,Materials,2000
325 HK Equity,00325.HK,#N/A,#N/A,#N/A,#N/A
326 HK Equity,00326.HK,Consumer Discretionary,50,Communication Services,10000
327 HK Equity,00327.HK,Information Technology,45,Information Technology,1000
328 HK Equity,00328.HK,Consumer Discretionary,25,Consumer Discretionary,2000
329 HK Equity,00329.HK,Financials,40,Financials,4000
330 HK Equity,00330.HK,Consumer Discretionary,25,Consumer Discretionary,100
331 HK Equity,00331.HK,Properties & Construction,20,Industrials,1000
332 HK Equity,00332.HK,Energy,10,Energy,4000
333 HK Equity,00333.HK,Consumer Discretionary,25,Consumer Discretionary,2000
334 HK Equity,00334.HK,Information Technology,45,Information Technology,8000
335 HK Equity,00335.HK,Financials,40,Financials,2000
336 HK Equity,00336.HK,Consumer Staples,15,Materials,1000
337 HK Equity,00337.HK,Properties & Construction,60,Real Estate,1000
338 HK Equity,00338.HK,Materials,10,Energy,2000
339 HK Equity,00339.HK,Financials,40,Financials,10000
340 HK Equity,00340.HK,Materials,15,Materials,2000
341 HK Equity,00341.HK,Consumer Discretionary,25,Consumer Discretionary,2000
342 HK Equity,00342.HK,Energy,10,Energy,2000
343 HK Equity,00343.HK,Consumer Discretionary,50,Communication Services,5000
345 HK Equity,00345.HK,Consumer Staples,30,Consumer Staples,2000
346 HK Equity,00346.HK,Energy,10,Energy,10000
347 HK Equity,00347.HK,Materials,15,Materials,2000
348 HK Equity,00348.HK,Consumer Discretionary,25,Consumer Discretionary,50000
349 HK Equity,00349.HK,#N/A,#N/A,#N/A,#N/A
350 HK Equity,00350.HK,#N/A,#N/A,#N/A,#N/A
351 HK Equity,00351.HK,Industrials,20,Industrials,10000
352 HK Equity,00352.HK,Properties & Construction,60,Real Estate,2000
353 HK Equity,00353.HK,Energy,10,Energy,20000
354 HK Equity,00354.HK,Information Technology,45,Information Technology,2000
355 HK Equity,00355.HK,Consumer Discretionary,25,Consumer Discretionary,4000
356 HK Equity,00356.HK,Financials,40,Financials,30000
357 HK Equity,00357.HK,Consumer Discretionary,20,Industrials,1000
358 HK Equity,00358.HK,Materials,15,Materials,1000
359 HK Equity,00359.HK,Consumer Staples,30,Consumer Staples,4000
360 HK Equity,00360.HK,Consumer Discretionary,25,Consumer Discretionary,4000
361 HK Equity,00361.HK,Consumer Discretionary,25,Consumer Discretionary,20000
362 HK Equity,00362.HK,Materials,15,Materials,10000
363 HK Equity,00363.HK,Conglomerates,20,Industrials,1000
364 HK Equity,00364.HK,Consumer Staples,30,Consumer Staples,8000
365 HK Equity,00365.HK,Industrials,20,Industrials,2000
366 HK Equity,00366.HK,Properties & Construction,15,Materials,2000
367 HK Equity,00367.HK,Properties & Construction,60,Real Estate,4000
368 HK Equity,00368.HK,Properties & Construction,25,Consumer Discretionary,4000
369 HK Equity,00369.HK,Properties & Construction,60,Real Estate,2000
370 HK Equity,00370.HK,Consumer Discretionary,25,Consumer Discretionary,6000
371 HK Equity,00371.HK,Utilities,55,Utilities,2000
372 HK Equity,00372.HK,Financials,40,Financials,2000
373 HK Equity,00373.HK,Financials,40,Financials,2000
374 HK Equity,00374.HK,Consumer Staples,30,Consumer Staples,2000
375 HK Equity,00375.HK,Consumer Discretionary,25,Consumer Discretionary,1000
376 HK Equity,00376.HK,Financials,40,Financials,2000
377 HK Equity,00377.HK,Industrials,15,Materials,80
378 HK Equity,00378.HK,Materials,40,Financials,2000
379 HK Equity,00379.HK,Financials,40,Financials,10000
380 HK Equity,00380.HK,Properties & Construction,25,Consumer Discretionary,4000
381 HK Equity,00381.HK,Consumer Discretionary,25,Consumer Discretionary,10000
382 HK Equity,00382.HK,Consumer Discretionary,25,Consumer Discretionary,2000
383 HK Equity,00383.HK,Healthcare,35,Health Care,10000
384 HK Equity,00384.HK,Utilities,55,Utilities,200
385 HK Equity,00385.HK,Properties & Construction,20,Industrials,2000
386 HK Equity,00386.HK,Energy,10,Energy,2000
387 HK Equity,00387.HK,Industrials,20,Industrials,4000
388 HK Equity,00388.HK,Financials,40,Financials,100
389 HK Equity,00389.HK,Consumer Staples,30,Consumer Staples,2000
390 HK Equity,00390.HK,Properties & Construction,20,Industrials,1000
391 HK Equity,00391.HK,Consumer Discretionary,50,Communication Services,20000
392 HK Equity,00392.HK,Utilities,55,Utilities,500
393 HK Equity,00393.HK,Consumer Discretionary,25,Consumer Discretionary,4000
395 HK Equity,00395.HK,Information Technology,45,Information Technology,8000
396 HK Equity,00396.HK,Consumer Discretionary,25,Consumer Discretionary,2000
397 HK Equity,00397.HK,Financials,40,Financials,10000
398 HK Equity,00398.HK,Consumer Discretionary,25,Consumer Discretionary,2000
399 HK Equity,00399.HK,Consumer Staples,30,Consumer Staples,5000
400 HK Equity,00400.HK,Information Technology,45,Information Technology,1000
401 HK Equity,00401.HK,Healthcare,35,Health Care,20000
402 HK Equity,00402.HK,#N/A,#N/A,#N/A,#N/A
403 HK Equity,00403.HK,Industrials,15,Materials,2000
404 HK Equity,00404.HK,#N/A,#N/A,#N/A,#N/A
405 HK Equity,00405.HK,#N/A,#N/A,#N/A,#N/A
406 HK Equity,00406.HK,Properties & Construction,20,Industrials,2000
408 HK Equity,00408.HK,Materials,15,Materials,2000
409 HK Equity,00409.HK,#N/A,#N/A,#N/A,#N/A
410 HK Equity,00410.HK,Properties & Construction,60,Real Estate,500
411 HK Equity,00411.HK,Consumer Staples,30,Consumer Staples,1000
412 HK Equity,00412.HK,Financials,40,Financials,6000
413 HK Equity,00413.HK,Consumer Discretionary,25,Consumer Discretionary,8000
416 HK Equity,00416.HK,Financials,40,Financials,1000
417 HK Equity,00417.HK,Consumer Discretionary,25,Consumer Discretionary,2000
418 HK Equity,00418.HK,Information Technology,45,Information Technology,2000
419 HK Equity,00419.HK,Consumer Discretionary,25,Consumer Discretionary,10000
420 HK Equity,00420.HK,Consumer Discretionary,25,Consumer Discretionary,2000
421 HK Equity,00421.HK,#N/A,#N/A,#N/A,#N/A
422 HK Equity,00422.HK,Consumer Discretionary,25,Consumer Discretionary,1000
423 HK Equity,00423.HK,Consumer Discretionary,50,Communication Services,2000
425 HK Equity,00425.HK,Consumer Discretionary,25,Consumer Discretionary,2000
426 HK Equity,00426.HK,Consumer Discretionary,50,Communication Services,2000
428 HK Equity,00428.HK,Financials,40,Financials,2000
430 HK Equity,00430.HK,Financials,40,Financials,2000
431 HK Equity,00431.HK,Financials,40,Financials,4000
432 HK Equity,00432.HK,Properties & Construction,60,Real Estate,1000
433 HK Equity,00433.HK,Materials,15,Materials,10000
434 HK Equity,00434.HK,Information Technology,50,Communication Services,1000
435 HK Equity,00435.HK,#N/A,#N/A,#N/A,#N/A
436 HK Equity,00436.HK,Industrials,20,Industrials,20000
438 HK Equity,00438.HK,Industrials,45,Information Technology,2000
439 HK Equity,00439.HK,Industrials,50,Communication Services,1000
440 HK Equity,00440.HK,Financials,40,Financials,400
