symbol,gicsector,gicgroup,gicind,gicsubind,standard_ind,LOTSIZE
EOP,40,4040,404020,40402040,6798,1
EOP.PB,40,4040,404020,40402060,6798,1
EOP.PG,40,4040,404020,40402060,6798,1
EOPN,45,4510,451010,45101010,7370,1
EOX,10,1010,101020,10102020,1311,1
EP,10,1010,101020,10102040,4922,1
EP.PC,60,6010,601010,60101070,6798,1
EPAC,20,2010,201060,20106020,3533,1
EPAM,45,4510,451020,45102010,7370,1
EPAY,45,4510,451030,45103010,7370,1
EPB,10,1010,101020,10102040,4922,1
EPC,30,3030,303020,30302010,3420,1
EPD,10,1010,101020,10102040,1311,1
EPE.1,10,1010,101020,10102040,4922,1
EPEN,40,4010,401010,40101015,6020,1
EPHC,40,4020,402030,40203010,6282,1
EPIC,45,4510,451030,45103010,7372,1
EPIE,30,3020,302020,30202030,2080,1
EPIQ,45,4510,451030,45103010,7372,1
EPIX,35,3520,352010,35201010,2836,1
EPL,10,1010,101020,10102020,1311,1
EPM,10,1010,101020,10102020,1311,1
EPM.PA,60,6010,601010,60101060,6798,1
EPMD,35,3510,351010,35101010,3845,1
EPMN,35,3520,352010,35201010,2834,1
EPNY,45,4510,451030,45103010,7372,1
EPOC,35,3510,351030,35103010,7370,1
EPR,60,6010,601010,60101080,6798,1
EPR.PA,60,6010,601010,60101070,6798,1
EPR.PC,20,2010,201010,20101010,3728,1
EPR.PD,20,2010,201010,20101010,3728,1
EPR.PE,40,4030,403010,40301050,6311,1
EPR.PF,40,4030,403010,40301050,6311,1
EPRE,45,4510,451020,45102010,7370,1
EPRS.,45,4510,451010,45101010,7372,1
EPRT,60,6010,601010,60101010,6798,1
EPSN,10,1010,101020,10102020,1311,1
EPZM,35,3520,352010,35201010,2836,1
EQ.2,50,5010,501010,50101020,4813,1
EQ,35,3520,352010,35201010,2836,1
EQBK,40,4010,401010,40101015,6020,1
EQC,60,6010,601010,60101040,6798,1
EQC.PD,40,4020,402010,40201030,3600,1
EQGP,10,1010,101020,10102040,4922,1
EQH,40,4020,402010,40201020,6311,1
EQIX,60,6010,601010,60101080,6798,1
EQM,10,1010,101020,10102040,4922,1
EQNR,10,1010,101020,10102010,2911,1
EQNX.,45,4520,452020,45202020,3576,1
EQR,60,6010,601010,60101060,6798,1
EQR.PH,45,4510,451030,45103010,7372,1
EQS,40,4020,402030,40203010,6797,1
EQSB,40,4010,401010,40101010,6035,1
EQT,10,1010,101020,10102020,4923,1
EQTY,10,1010,101020,10102020,1311,1
EQU,10,1010,101020,10102020,1311,1
EQX,15,1510,151040,15104030,1040,1
EQY,60,6010,601010,60101070,6798,1
ERA,10,1010,101010,10101020,4522,1
ERF,10,1010,101020,10102020,1311,1
ERIC,45,4520,452010,45201020,3663,1
ERIE,40,4030,403010,40301040,6411,1
ERII,20,2010,201060,20106020,3559,1
ERJ,20,2010,201010,20101010,3721,1
EROC,10,1010,101020,10102020,1311,1
EROS,50,5020,502020,50202010,7812,1
ERS,20,2010,201070,20107010,5051,1
ERT,35,3520,352030,35203010,7372,1
ERYP,40,4010,401010,40101010,6020,1
ES.2,20,2020,202010,20201050,4955,1
ES,55,5510,551010,55101010,4931,1
ESA.,25,2530,253010,25301020,7011,1
ESA.U,10,1010,101020,10102020,1311,1
ESBF,40,4010,401020,40102010,6036,1
ESBK,40,4010,401020,40102010,6035,1
ESC,35,3510,351020,35102020,8300,1
ESCA,25,2520,252020,25202010,3949,1
ESCH,50,5010,501010,50101020,7385,1
ESE,20,2010,201060,20106020,3825,1
ESEA,20,2030,203030,20303010,4412,1
ESGR.,40,4030,403010,40301050,6799,1
ESGR,40,4030,403010,40301050,6331,1
ESGRP,10,1010,101020,10102020,1311,1
ESHR,45,4510,451020,45102010,7373,1
ESI,15,1510,151010,15101050,2890,1
ESIC,45,4510,451010,45101010,7370,1
ESIO,45,4520,452030,45203010,3690,1
ESL,20,2010,201010,20101010,3812,1
ESLT,20,2010,201010,20101010,7373,1
ESM.2,40,4010,401010,40101010,6020,1
ESM.4,20,2010,201060,20106020,3540,1
ESMK,15,1510,151040,15104050,3312,1
ESND,20,2020,202010,20201060,5045,1
ESNT,40,4010,401020,40102010,6351,1
ESON,35,3510,351010,35101010,3845,1
ESP,20,2010,201040,20104010,3679,1
ESPR.1,35,3520,352020,35202010,2834,1
ESPR,35,3520,352010,35201010,2836,1
ESQ,40,4010,401010,40101015,6020,1
ESRT,60,6010,601010,60101010,6798,1
ESRX,35,3510,351020,35102015,5912,1
ESS,60,6010,601010,60101060,6798,1
ESS.PH,40,4030,403010,40301050,6331,1
ESSA,40,4010,401020,40102010,6036,1
ESSIE,15,1510,151010,15101030,3523,1
ESST,45,4530,453010,45301020,3674,1
ESSXU,20,2010,201010,20101010,3728,1
EST.U,60,6010,601010,60101080,6798,1
EST.WS,60,6010,601010,60101080,6798,1
ESTA,35,3510,351010,35101020,3842,1
ESTC,45,4510,451030,45103010,7372,1
ESTE.1,10,1010,101020,10102020,1311,1
ESTE,10,1010,101020,10102020,1311,1
ESX,40,4010,401010,40101010,6035,1
ESXB,40,4010,401010,40101015,6020,1
ESYS,45,4520,452030,45203020,3672,1
ET.4,45,4510,451010,45101010,7370,1
ET,10,1010,101020,10102040,4922,1
ETEC.,45,4520,452050,45205010,3559,1
ETEK.,45,4520,452010,45201020,3674,1
ETFC,40,4020,402030,40203020,6211,1
ETFCP,60,6010,601010,60101070,6798,1
ETH,25,2520,252010,25201020,2510,1
ETI.P,50,5010,501020,50102010,4812,1
ETM,50,5020,502010,50201020,4832,1
ETN,20,2010,201040,20104010,3620,1
ETNB,35,3520,352010,35201010,2836,1
ETON,35,3520,352020,35202010,2836,1
ETP,10,1010,101020,10102040,4922,1
ETP.PC,60,6010,601010,60101040,6798,1
ETP.PD,60,6010,601010,60101040,6798,1
ETR,55,5510,551010,55101010,4911,1
ETR.PA,40,4020,402040,40204010,6798,1
ETRN,10,1010,101020,10102040,4922,1
ETS,45,4520,452010,45201020,3576,1
ETSY,25,2550,255020,25502020,7370,1
ETT,40,4040,404010,40401010,6798,1
ETTX,35,3520,352010,35201010,2836,1
ETW.1,30,3020,302010,30201020,4941,1
ETWC,35,3510,351030,35103010,7370,1
ETX.2,55,5510,551010,55101010,4911,1
ETX,40,4040,404020,40402010,6798,1
EURN,10,1010,101020,10102040,4412,1
