name,CSDCCCode,SecId,PerformanceId,MasterPortfolioId,ISIN,obsoletedate,obsoletetype
CCB Principal Net plus Ids Upg Eq,1396,F00000VVA5,0P00016458,,,,
CCB Principal New Economic Mix,1276,F00000VS5W,0P00015ZIQ,,,,
CCB Principal Optimizing Alloc Mixed Fd,530005,F0HKG06ZFY,0P000085UV,,,,
CCB Principal PF 1-3 Trs Bd Idx(LOF),501101,F00000YX0Y,0P0001AELL,,,,
CCB Principal PF 8-10 Trs Bd Idx(LOF),501105,F00000YX0X,0P0001AELK,,,,
CCB Principal Positive Allocation Bal Fd,530012,F00000SG45,0P00011RXR,,,,
CCB Principal Potential New Blue Chip Eq,756,F00000U3IR,0P00013W23,,,,
CCB Principal Precis manfctr,1397,F00000W0WX,0P00016BJQ,,,,
CCB Principal Reform Div Eq,592,F00000T4XU,0P00012NRY,,,,
CCB Principal Return Mix,1253,F00000VR6K,0P00015Y9V,,,,
CCB Principal RuiFeng TL Alloc A,3319,F00000XXNQ,0P00018X13,,,,
CCB Principal RuiFeng TL Alloc C,3320,F00000XXNR,0P00018X14,,,,
CCB Principal RuiFu Pure Bd,3590,F00000Y0M5,0P0001913X,,,,
CCB Principal RuiFu TianLi Alloc A,4182,F00000YVF1,0P0001ABLY,,,,
CCB Principal RuiFu TianLi Alloc C,4468,F00000YVF2,0P0001ABLZ,,,,
CCB Principal RuiXiang Pure Bd,3681,F00000Y48C,0P0001954E,,,,
CCB Principal Ruiying Flex Alloc Fd A,994,F00000V764,0P000156JJ,,,,
CCB Principal Ruiying Flex Alloc Fd C,995,F00000V765,0P000156JK,,,,
CCB Principal Security Strategy Sel Eq,1473,F00000VZJO,0P000169PX,,,,
CCB Principal Selected Gth Mixed Asset A,530003,F0HKG06YIO,0P00007KN1,,,,
CCB Principal Sino-Innovation Equity Fd,308,F00000QCPO,0P0000ZDIT,,,,
CCB Principal SSE Social Resp ETF Fdr,530010,F00000H5EB,0P0000NQ8V,,,,
CCB Principal Stable Fengli Bd A,1948,F00000WHGA,0P00016XU8,,,,
CCB Principal Stable Fengli Bd C,1949,F00000WHGB,0P00016XU9,,,,
CCB Principal Stable Income Bd A,875,F00000UP1V,0P00014M5H,,,,
CCB Principal Stable Income Bd C,876,F00000UP1W,0P00014M5I,,,,
CCB Principal Stable Value Mixed Fd,530016,F00000N9KE,0P0000UG6L,,,,
CCB Principal Stbl Return Flxbl Fd,1205,F00000VMUM,0P00015R11,,,,
CCB Principal Steady Growth Guarantee Fd,270,F00000Q88X,0P0000Z822,,,,
CCB Principal Strategic Select Alloc A,5596,F0000105RE,0P0001CR9O,,,,
CCB Principal Strategic Select Alloc C,5597,F0000105RF,0P0001CR9P,,,,
CCB Principal Sustain Enhanced Ret Bd A,435,F00000QSLO,0P000101H1,,,,
CCB Principal Sustain Enhanced Ret Bd C,723,F00000U8SX,0P0001421O,,,,
CCB Principal Sustain Proft Inc Stk Fd A,531008,F00000UH6S,0P00014BDD,,,,
CCB Principal Sustain Proft Inc Stk Fd C,530008,F000001ZM2,0P0000G5S8,,,,
CCB Principal SZSE Fdmtl 60 ETF Fdr A,530015,F00000MQTC,0P0000TSI3,,,,
CCB Principal SZSE Fdmtl 60 ETF Fdr C,6363,F0000111E4,0P0001EG9T,,,,
CCB Principal Unvarying Value Stock Fd,530001,F0HKG069PU,0P00007KKP,,,,
CCB Principal WDXinLi Bd A,3583,F00000YBG2,0P00019GDR,,,,
CCB Principal WDXinLi Bd C,3584,F00000YBG3,0P00019GDS,,,,
CCB Principal Xinan Mix,1304,F00000VS5X,0P00015ZIR,,,,
CCB Principal Xinfeng Return mix A,1408,F00000VWQT,0P0001660D,,,,
CCB Principal Xinfeng Return mix C,2141,F00000WJEP,0P000170NE,,,,
CCB Principal Xingli Alloc,2585,F000010O8V,0P0001DJCP,,,,
CCB Principal XinRong Mix,1498,F00000Y95J,0P00019C5C,,,,
CCB Principal XinRui Alloc,3831,F00000YF3R,0P00019LF8,,,,
CCB Principal XinWen Return Alloc A,4617,F00000ZMMK,0P0001BTEK,,,,
CCB Principal XinWen Return Alloc C,4618,F00000ZMML,0P0001BTEL,,,,
CCB Principal XinZe Return Alloc A,4668,F00000ZORA,0P0001BW1Q,,,,
CCB Principal XinZe Return Alloc C,4669,F00000ZORB,0P0001BW1R,,,,
CCB Principal Yuli Flxbl Alloc,2281,F00000ZZEJ,0P0001CIH6,,,,
CCB-Principal 14 Days Bond Fund A,530014,F00000OP7Y,0P0000WTPV,,,,
CCB-Principal 14 Days Bond Fund B,531014,F00000OP7Z,0P0000WTPW,,,,
CCB-Principal Absolute-return,150036,F00000MA3T,0P0000SR5J,,,,
