,USDSEK,USDNOK,USDJPY,USDCHF,USDCAD,NZDUSD,GBPUSD,EURUSD,AUDUSD,USDSGD,USDTHB,USDKRW,USDTWD,USDINR,USDIDR
2012-01-23,0.020941152,0.057779120999999996,0.002602472,0.044724515,-0.008126101,0.019187074,-0.016385146,-0.063956443,0.02773694,0.002760252,0.027388327,-0.012543773000000001,-0.006345304,0.02676399,0.012725111
2012-01-24,0.021489277999999997,0.049292503,0.0037789940000000004,0.035040732000000005,-0.001979022,0.01478141,-0.01294827,-0.058482917999999995,0.017644207,0.0058753469999999995,0.026771139,-0.003955982,-0.008037998000000001,0.020867008,0.012425634
2012-01-25,0.01332593,0.045087996,0.015899909,0.02415086,-0.012112923999999999,0.025585814,-0.00687329,-0.04955481,0.035317265,-0.004715498,0.017424976000000002,-0.01669484,-0.01825491,0.008475593,0.008225083000000001
2012-01-26,0.019405857,0.042249745,0.011334028000000001,0.03714543,-0.01290259,0.032144208,-0.008795242,-0.048361369,0.038870983,-0.016754091000000002,0.008048938,-0.022253527999999998,-0.020142885,0.000327163,-0.001922562
2012-01-27,0.038430941,0.055811516,0.010491803000000001,0.043158133,-0.001789976,0.018096182,-0.019028543000000002,-0.059440057000000004,0.019300941000000002,-0.008903948,0.012940796000000001,-0.009779865,-0.01727064,-0.0041011120000000005,0.002705869
2012-01-30,0.033416747999999996,0.052926604,0.007754995,0.037032842999999996,0.000797528,0.020027367,-0.016964006,-0.052449817,0.010902831000000002,-0.0059368319999999995,0.008752026,-0.001555224,-0.012704836,-0.0031476390000000003,0.010267658
2012-01-31,0.025981956,0.049766634000000004,0.002236254,0.040660592,-0.013508184,0.032860906,-0.018397256,-0.051670859000000006,0.024966262000000003,-0.010180728,0.006813756999999999,-0.007920286,-0.01753165,5e-05,0.009296365
2012-02-01,0.053104449000000005,0.07238645099999999,0.003687121,0.05215109,0.004706589000000001,0.019935612,-0.015749016,-0.065966266,0.008265248000000001,-0.001667064,0.010087862,0.010271091999999999,-0.015043362,-0.00394704,0.008699311999999999
2012-02-02,0.058318364000000004,0.073197344,0.003294242,0.063051556,0.006049606999999999,0.018824105,-0.015227795,-0.071408431,0.004499016,0.00313757,0.012111293,0.012479457,-0.013409576999999999,0.009252501,0.016846641000000002
2012-02-03,0.043189884000000005,0.061163582,-0.040549049,0.0510765,-0.001399021,0.026423015,-0.009765258,-0.061437347999999996,0.01567547,-0.0026376790000000004,0.006178861999999999,0.00656813,-0.015872485,0.00365928,0.01327733
