date,equity,bond
2017-04-02,3456.05,170.1456
2017-04-03,3456.05,170.1456
2017-04-04,3456.05,170.1456
2017-04-05,3503.89,170.1145
2017-04-06,3514.05,170.0871
2017-04-07,3517.46,170.1193
2017-04-08,3517.46,170.1193
2017-04-09,3517.46,170.1193
2017-04-10,3505.14,170.1024
2017-04-11,3517.33,170.1284
2017-04-12,3509.44,170.0259
2017-04-13,3514.57,170.1212
2017-04-14,3486.5,169.8487
2017-04-15,3486.5,169.8487
2017-04-16,3486.5,169.8487
2017-04-17,3479.94,169.4176
2017-04-18,3462.74,169.2392
2017-04-19,3445.88,169.2239
2017-04-20,3461.55,169.0728
2017-04-21,3466.79,168.7359
2017-04-22,3466.79,168.7359
2017-04-23,3466.79,168.7359
2017-04-24,3431.26,168.4406
2017-04-25,3440.97,168.6172
2017-04-26,3445.18,168.5653
2017-04-27,3446.72,168.631
2017-04-28,3439.75,168.6238
2017-04-29,3439.75,168.6238
2017-04-30,3439.75,168.6238
2017-05-01,3439.75,168.6238
2017-05-02,3426.58,168.4499
2017-05-03,3413.13,168.1519
2017-05-04,3404.39,167.9237
2017-05-05,3382.55,167.8832
2017-05-06,3382.55,167.8832
2017-05-07,3382.55,167.8832
2017-05-08,3358.81,167.5792
2017-05-09,3352.53,167.3119
2017-05-10,3337.7,166.8525
2017-05-11,3356.65,167.1294
2017-05-12,3385.38,166.9308
2017-05-13,3385.38,166.9308
2017-05-14,3385.38,166.9308
2017-05-15,3399.19,167.0708
2017-05-16,3428.65,167.0225
2017-05-17,3409.97,166.6788
2017-05-18,3398.11,166.7408
2017-05-19,3403.85,166.6677
2017-05-20,3403.85,166.6677
2017-05-21,3403.85,166.6677
2017-05-22,3411.24,166.4397
2017-05-23,3424.19,166.5135
2017-05-24,3424.17,166.6983
2017-05-25,3485.66,166.9184
2017-05-26,3480.43,166.8737
2017-05-27,3480.43,166.9624
2017-05-28,3480.43,166.9624
2017-05-29,3480.43,166.9624
2017-05-30,3480.43,166.9624
2017-05-31,3492.88,167.3676
2017-06-01,3497.74,167.3642
2017-06-02,3486.51,167.3494
2017-06-03,3486.51,167.3494
2017-06-04,3486.51,167.3494
2017-06-05,3468.75,167.5029
2017-06-06,3492.88,167.3989
2017-06-07,3533.87,167.3344
2017-06-08,3560.98,167.2721
2017-06-09,3576.17,167.429
2017-06-10,3576.17,167.429
2017-06-11,3576.17,167.429
2017-06-12,3574.39,167.9993
2017-06-13,3582.27,168.1222
2017-06-14,3535.3,168.3288
2017-06-15,3528.79,168.3743
2017-06-16,3518.76,168.014
2017-06-17,3518.76,168.014
2017-06-18,3518.76,168.014
2017-06-19,3553.67,168.5652
2017-06-20,3546.49,168.6767
2017-06-21,3587.95,168.3669
2017-06-22,3590.34,168.1293
2017-06-23,3622.88,168.2109
2017-06-24,3622.88,168.2109
2017-06-25,3622.88,168.2109
2017-06-26,3668.09,168.4794
2017-06-27,3674.72,168.6825
2017-06-28,3646.17,168.6351
2017-06-29,3668.83,168.6023
2017-06-30,3666.8,168.4213
2017-07-01,3666.8,168.4213
