,SPBDUB3T Index,SBMMTB3 Index
,PX_LAST,PX_LAST
date,,
2015-04-06,215.902,622.611
2015-04-07,215.902,622.6114
2015-04-08,215.902,622.6117
2015-04-09,215.902,622.6121
2015-04-10,215.902,622.6124
2015-04-11,215.902,622.6124
2015-04-12,215.902,622.6124
2015-04-13,215.902,622.6134
2015-04-14,215.902,622.6137
2015-04-15,215.901,622.6141
2015-04-16,215.901,622.6144
2015-04-17,215.902,622.6147
2015-04-18,215.902,622.6147
2015-04-19,215.902,622.6147
2015-04-20,215.902,622.6157
2015-04-21,215.903,622.6161
2015-04-22,215.903,622.6164
2015-04-23,215.904,622.6168
2015-04-24,215.904,622.6171
2015-04-25,215.904,622.6171
2015-04-26,215.904,622.6171
2015-04-27,215.904,622.618
2015-04-28,215.905,622.6184
2015-04-29,215.906,622.6187
2015-04-30,215.906,622.6191
2015-05-01,215.906,622.6194
2015-05-02,215.906,622.6194
2015-05-03,215.906,622.6194
2015-05-04,215.905,622.6202
2015-05-05,215.905,622.6205
2015-05-06,215.904,622.6208
2015-05-07,215.905,622.6211
2015-05-08,215.905,622.6214
2015-05-09,215.905,622.6214
2015-05-10,215.905,622.6214
2015-05-11,215.904,622.6223
2015-05-12,215.905,622.6226
2015-05-13,215.905,622.6228
2015-05-14,215.905,622.6231
2015-05-15,215.906,622.6234
2015-05-16,215.906,622.6234
2015-05-17,215.906,622.6234
2015-05-18,215.906,622.6243
2015-05-19,215.906,622.6246
