,portfolio_value_0.2,portfolio_value_0.3,portfolio_value_0.4,portfolio_value_0.5,portfolio_value_0.6,portfolio_value_0.7,portfolio_value_0.8
2017-01-05,1.19590212,1.20693837,1.21634234,1.22411371,1.22795112,1.23000879,1.23242243
2017-01-06,1.19396902,1.20446214,1.21331171,1.22053396,1.22384472,1.22536792,1.2272439
2017-01-09,1.19644942,1.20742814,1.21676713,1.22446334,1.22819085,1.23015868,1.23248367
2017-01-10,1.19639381,1.20720711,1.21638014,1.22391116,1.22748,1.22928308,1.23144124
2017-01-11,1.19390418,1.20374551,1.21194289,1.21849967,1.22112611,1.22197284,1.22316629
2017-01-12,1.19187277,1.20085067,1.2081831,1.21390728,1.21581574,1.21587063,1.21625905
2017-01-13,1.19084895,1.19950223,1.20652081,1.21197644,1.21374103,1.21355439,1.21368326
2017-01-16,1.18973355,1.19806676,1.20481356,1.21005473,1.21177578,1.21139693,1.21130093
2017-01-17,1.19040166,1.1992764,1.20654912,1.21230431,1.21448878,1.21461933,1.21504709
2017-01-18,1.19095083,1.20060966,1.20867774,1.21525299,1.21830246,1.2192616,1.22051792
2017-01-19,1.19000632,1.19947174,1.20735252,1.21372523,1.21653909,1.21728518,1.21832754
2017-01-20,1.19287607,1.20328363,1.21209237,1.21938524,1.22306372,1.22471296,1.22667319
2017-01-23,1.1925632,1.20321852,1.21225927,1.21978014,1.22365777,1.22553627,1.22773363
2017-01-24,1.19247981,1.20311778,1.21214144,1.21965813,1.22356413,1.22544652,1.22764429
2017-01-25,1.19310688,1.20421296,1.21370849,1.22169128,1.22602892,1.22836219,1.23101382
2017-01-26,1.19475965,1.2061276,1.2158758,1.22409144,1.22859986,1.23114867,1.23402489
2017-02-03,1.19194466,1.20285684,1.21213248,1.21983822,1.2237461,1.22577935,1.22815012
2017-02-06,1.19278375,1.20428349,1.21414836,1.22243087,1.22686552,1.2294599,1.23240008
2017-02-07,1.19164335,1.20307651,1.21286778,1.22107409,1.22542375,1.22794829,1.23082132
2017-02-08,1.19261425,1.20461102,1.2149678,1.22374209,1.22865241,1.23174292,1.23518743
2017-02-09,1.19412274,1.2064959,1.21721884,1.22636132,1.23163056,1.23508655,1.23890282
2017-02-10,1.19460732,1.2071426,1.21801982,1.22735155,1.2328903,1.23656003,1.24058606
2017-02-13,1.19796103,1.2114366,1.22325205,1.23351384,1.23993641,1.24451447,1.24946057
2017-02-14,1.19735601,1.21078719,1.22254031,1.23273426,1.23906529,1.24357868,1.24846611
2017-02-15,1.19518181,1.20817555,1.21950405,1.22930021,1.23532185,1.23946286,1.24396507
2017-02-16,1.19668335,1.21011073,1.22184951,1.23205721,1.23847398,1.2430312,1.24796156
2017-02-17,1.19566664,1.20864463,1.2199382,1.2296913,1.23564749,1.23974729,1.24421714
2017-02-20,1.20114277,1.21593978,1.22905968,1.24067366,1.24852873,1.25447782,1.26080423
2017-02-21,1.20341271,1.21855717,1.23200598,1.24392826,1.25202004,1.25825837,1.26488662
2017-02-22,1.2045973,1.22012961,1.23394946,1.24624907,1.25472065,1.26134438,1.26836703
2017-02-23,1.20518648,1.22089975,1.23492791,1.2473316,1.25563095,1.26225904,1.26929691
2017-02-24,1.20519029,1.22078026,1.23470078,1.24701026,1.25526377,1.26180372,1.26874527
2017-02-27,1.20245995,1.21696628,1.22978487,1.24099094,1.24816553,1.25362896,1.25949072
2017-02-28,1.20329234,1.21796548,1.23090828,1.24224596,1.2495538,1.25517019,1.26119982
2017-03-01,1.2034808,1.21841017,1.23160266,1.24319116,1.25074076,1.25660889,1.2628946
2017-03-02,1.20136854,1.21573596,1.22834672,1.23934973,1.24632034,1.2516269,1.25735557
2017-03-03,1.20233705,1.21696826,1.22981937,1.24103958,1.2481609,1.25368158,1.25964217
2017-03-06,1.20513514,1.22070435,1.2344707,1.24660033,1.25458852,1.26101524,1.26790223
2017-03-07,1.20665275,1.22269995,1.23698379,1.24962747,1.25811624,1.26502171,1.27237793
2017-03-08,1.20551123,1.22140053,1.23554288,1.24805782,1.25646313,1.26324996,1.27047892
2017-03-09,1.20296502,1.21834847,1.23198893,1.24400655,1.25194987,1.25826085,1.26500984
2017-03-10,1.2040093,1.21965381,1.23352176,1.24576371,1.25390863,1.26045456,1.2674542
2017-03-13,1.20727662,1.22393973,1.23881802,1.25208006,1.26124176,1.2688041,1.27683183
2017-03-14,1.20722874,1.22372095,1.23843188,1.25152273,1.26050533,1.26788914,1.27573458
2017-03-15,1.20800693,1.22511963,1.24046525,1.25417966,1.26374351,1.27173069,1.28018377
2017-03-16,1.20987023,1.22723133,1.24280116,1.2567492,1.26655229,1.27477952,1.28347955
2017-03-17,1.20694378,1.22339047,1.2380591,1.25108334,1.25993156,1.2672231,1.27497781
2017-03-20,1.20764331,1.22468142,1.23997666,1.25361388,1.26303596,1.2709118,1.27924861
2017-03-21,1.21106782,1.22959382,1.24639746,1.26151929,1.27234014,1.28166528,1.29146785
2017-03-22,1.21162057,1.23059899,1.24786609,1.26338613,1.27443255,1.28410376,1.294269
2017-03-23,1.21187672,1.23092335,1.24825189,1.26384201,1.27497641,1.28472695,1.29497262
2017-03-24,1.21499917,1.23439557,1.25206245,1.26801117,1.27954294,1.2896563,1.30026617
2017-03-27,1.21364278,1.23212841,1.24886824,1.26390255,1.27457324,1.28379768,1.2935117
2017-03-28,1.21298312,1.23127354,1.24782336,1.26266288,1.27313523,1.28216299,1.29167809
2017-03-29,1.2122362,1.23040553,1.24682672,1.26154783,1.27193587,1.28086535,1.29028358
2017-03-30,1.20900402,1.22634209,1.24195415,1.2558779,1.26552846,1.27367381,1.28228956
2017-03-31,1.2115492,1.22971631,1.24615348,1.26090346,1.27135742,1.28031757,1.28975713
2017-04-05,1.21539497,1.23451957,1.25188041,1.26757592,1.27898744,1.28890062,1.29930728
2017-04-06,1.21603189,1.23541705,1.25304216,1.26900456,1.28068296,1.29085967,1.30153054
2017-04-07,1.2160419,1.23532696,1.25283242,1.26867674,1.28023466,1.29030037,1.30086474
2017-04-10,1.21431684,1.23255964,1.24901944,1.26383911,1.27445515,1.28352237,1.29307354
2017-04-11,1.21449866,1.23251133,1.24871648,1.26329802,1.27371392,1.28256326,1.29189785
2017-04-12,1.2135489,1.23161739,1.24791862,1.26260002,1.27313407,1.28206487,1.29146675
2017-04-13,1.21544728,1.23403389,1.2508374,1.26598168,1.27685572,1.28621509,1.29606365
2017-04-14,1.21148465,1.22917996,1.24511304,1.25940033,1.26948214,1.27800287,1.28699448
2017-04-17,1.20944929,1.22758136,1.24396305,1.25869943,1.2692306,1.27821182,1.28766891
2017-04-18,1.21080171,1.22967909,1.24678866,1.26220234,1.27326178,1.28288957,1.29302026
2017-04-19,1.21016597,1.22907124,1.2462069,1.26161775,1.2726028,1.28221542,1.29233991
2017-04-20,1.21278629,1.23312784,1.25174436,1.26860589,1.28093756,1.29194363,1.30346785
2017-04-21,1.21167125,1.23181587,1.25024641,1.2669512,1.27920172,1.29006544,1.3014333
2017-04-24,1.20661251,1.22585673,1.24344224,1.25932402,1.27084687,1.28089651,1.29141825
2017-04-25,1.20991747,1.23019561,1.24883352,1.26577354,1.27835877,1.28945355,1.30102626
2017-04-26,1.20980894,1.22965739,1.24785691,1.2643669,1.27655113,1.28722596,1.29837423
2017-04-27,1.21100981,1.23125057,1.24985579,1.26674268,1.27922582,1.29024824,1.30175037
2017-04-28,1.20966715,1.22920678,1.24709877,1.26327854,1.27508315,1.28541351,1.2962182
2017-05-02,1.20884141,1.22839534,1.24630396,1.26248532,1.27425323,1.28457486,1.29537421
2017-05-03,1.20917071,1.22846133,1.246116,1.26203857,1.27354563,1.28359717,1.29412053
2017-05-04,1.20749344,1.22646626,1.24380356,1.25941257,1.27062282,1.28036973,1.29058442
2017-05-05,1.20561757,1.22423469,1.24124834,1.25653059,1.26743113,1.27684623,1.28671713
2017-05-08,1.20172003,1.21931169,1.2353282,1.24962656,1.25960416,1.26804202,1.27691028
2017-05-09,1.20086319,1.21851428,1.23458409,1.24894708,1.25901676,1.26753615,1.27648788
2017-05-10,1.19853624,1.21618166,1.23228869,1.24672422,1.25698225,1.26560092,1.27463454
2017-05-11,1.20072765,1.21934665,1.23642938,1.25184375,1.26306408,1.27265118,1.28266257
2017-05-12,1.20278871,1.22217534,1.24006639,1.25631854,1.26845015,1.27887298,1.28970892
2017-05-15,1.20574824,1.22604481,1.24487908,1.26204406,1.27498877,1.28626538,1.29795693
2017-05-16,1.20999042,1.23179875,1.25214328,1.27079119,1.28509992,1.29781119,1.31095742
2017-05-17,1.20756987,1.2283253,1.24759645,1.26516949,1.27841604,1.29006841,1.30215047
2017-05-18,1.20689528,1.22724336,1.24612621,1.26330604,1.27615685,1.28739973,1.29905996
2017-05-19,1.20805921,1.22884358,1.24819361,1.26585924,1.27924465,1.29096579,1.30309486
2017-05-22,1.20696892,1.22819888,1.24803176,1.26621375,1.28020638,1.2924608,1.30511089
2017-05-23,1.20691476,1.2286172,1.24898201,1.2677582,1.28251893,1.29538989,1.30863023
2017-05-24,1.20712272,1.22852044,1.24856966,1.26701024,1.28138346,1.29390479,1.30679798
2017-05-25,1.2101873,1.23246265,1.25343147,1.27288821,1.28852039,1.30209997,1.3160259
2017-05-26,1.21086985,1.23306271,1.2539493,1.27333365,1.2889262,1.30243997,1.31629785
2017-05-31,1.21227673,1.23456881,1.25555531,1.2750297,1.29067991,1.30426471,1.31819415
2017-06-01,1.21191792,1.2345039,1.25582346,1.27565326,1.29172162,1.3056616,1.31993167
