,MSEUACWF INDEX,LEGATRUU INDEX
,PX_LAST,PX_LAST
date,,
31/5/2016,402.574,468.0762
1/6/2016,402.183,469.3842
2/6/2016,402.487,470.5515
3/6/2016,403.869,475.8629
4/6/2016,403.869,475.8629
5/6/2016,403.869,475.8629
6/6/2016,405.914,475.8285
7/6/2016,408.257,476.6699
8/6/2016,409.663,478.0278
9/6/2016,407.096,477.8736
10/6/2016,401.366,477.4577
11/6/2016,401.366,477.4577
12/6/2016,401.366,477.4577
13/6/2016,396.411,477.843
14/6/2016,392.806,476.8624
15/6/2016,393.788,477.9008
16/6/2016,392.14,478.5634
17/6/2016,394.116,478.8214
18/6/2016,394.116,478.8214
19/6/2016,394.116,478.8214
20/6/2016,400.998,480.0727
21/6/2016,402.213,478.8859
22/6/2016,402.223,478.9683
23/6/2016,407.686,478.9164
24/6/2016,388.265,479.3002
25/6/2016,388.265,479.3002
26/6/2016,388.265,479.3002
27/6/2016,379.692,478.9731
28/6/2016,386.143,480.0509
29/6/2016,394.603,481.6349
30/6/2016,399.29,481.7451
1/7/2016,401.069,483.0124
2/7/2016,401.069,483.0124
3/7/2016,401.069,483.0124
4/7/2016,401.412,483.4769
5/7/2016,397.507,484.8606
6/7/2016,395.842,484.5308
7/7/2016,396.923,484.9061
8/7/2016,400.99,485.2697
9/7/2016,400.99,485.2697
10/7/2016,400.99,485.2697
11/7/2016,404.879,483.1448
12/7/2016,408.391,481.073
13/7/2016,409.303,482.8286
14/7/2016,411.696,481.2456
15/7/2016,411.218,478.8678
16/7/2016,411.218,478.8678
17/7/2016,411.218,478.8678
18/7/2016,412.06,479.0524
19/7/2016,410.833,477.9747
20/7/2016,412.824,477.3424
21/7/2016,412.431,477.4692
22/7/2016,412.675,477.0661
23/7/2016,412.675,477.0661
24/7/2016,412.675,477.0661
25/7/2016,412.01,477.3512
26/7/2016,412.536,478.6737
27/7/2016,412.78,479.1191
28/7/2016,413.121,481.1262
29/7/2016,416.088,485.3764
30/7/2016,416.088,485.3764
31/7/2016,416.088,485.3764
1/8/2016,415.653,484.3329
2/8/2016,412.953,485.0106
3/8/2016,411.855,483.9898
4/8/2016,413.17,484.7597
5/8/2016,415.582,482.4602
6/8/2016,415.582,482.4602
7/8/2016,415.582,482.4602
8/8/2016,416.79,481.9862
9/8/2016,418.865,483.9428
10/8/2016,418.802,486.4904
11/8/2016,420.832,485.8817
12/8/2016,421.021,486.8019
13/8/2016,421.021,486.8019
14/8/2016,421.021,486.8019
15/8/2016,422.03,486.2033
16/8/2016,420.182,487.0466
17/8/2016,420.036,487.5543
18/8/2016,421.495,489.384
19/8/2016,420.115,488.158
20/8/2016,420.115,488.158
21/8/2016,420.115,488.158
22/8/2016,419.971,488.8357
