date,HKD,CNY
2016-01-22,7.7966999999999995,6.5788
2016-01-25,7.7947,6.5793
2016-01-26,7.795,6.5826
2016-01-27,7.7958,6.578
2016-01-28,7.7926,6.5753
2016-01-29,7.7863,6.576
2016-02-01,7.7782,6.5784
2016-02-02,7.7986,6.5798
2016-02-03,7.7961,6.577
2016-02-04,7.7894,6.5695
2016-02-05,7.7921,6.5743
2016-02-08,7.7921,6.5743
2016-02-09,7.7979,6.5743
2016-02-10,7.7934,6.5743
2016-02-11,7.7905999999999995,6.5743
2016-02-12,7.7891,6.5743
2016-02-15,7.7849,6.4962
2016-02-16,7.7913,6.5169
2016-02-17,7.786,6.5285
2016-02-18,7.7816,6.5182
2016-02-19,7.7756,6.5222999999999995
2016-02-22,7.7712,6.5218
2016-02-23,7.7678,6.5272
2016-02-24,7.7691,6.5317
2016-02-25,7.7726,6.5335
2016-02-26,7.777,6.5404
2016-02-29,7.7762,6.552
2016-03-01,7.7717,6.5521
2016-03-02,7.7739,6.551
2016-03-03,7.7682,6.5347
2016-03-04,7.7623999999999995,6.508
2016-03-07,7.7639,6.5168
2016-03-08,7.7667,6.5047
2016-03-09,7.7664,6.513
2016-03-10,7.7623,6.5085
2016-03-11,7.7593,6.4945
2016-03-14,7.7589,6.5
2016-03-15,7.7612,6.5145
2016-03-16,7.7584,6.522
2016-03-17,7.7551,6.4773
2016-03-18,7.755,6.4716000000000005
2016-03-21,7.7528,6.4845
2016-03-22,7.7533,6.4902
2016-03-23,7.7545,6.5066
2016-03-24,7.7586,6.5147
2016-03-25,7.7574,6.516
2016-03-28,7.7574,6.5075
2016-03-29,7.7556,6.5078
2016-03-30,7.7535,6.4683
2016-03-31,7.7572,6.4536
2016-04-01,7.7543,6.4818
2016-04-04,7.7546,6.4818
2016-04-05,7.757,6.4771
2016-04-06,7.7565,6.4809
2016-04-07,7.7613,6.4625
2016-04-08,7.7581,6.4636
2016-04-11,7.7547,6.4592
2016-04-12,7.7544,6.4645
2016-04-13,7.7561,6.4784
2016-04-14,7.7565,6.4826
2016-04-15,7.7559000000000005,6.4755
2016-04-18,7.7551,6.4752
2016-04-19,7.7548,6.46
2016-04-20,7.7556,6.4684
2016-04-21,7.7578,6.4823
2016-04-22,7.7573,6.4995
2016-04-25,7.7559000000000005,6.4928
2016-04-26,7.7554,6.4935
2016-04-27,7.756,6.498
2016-04-28,7.7579,6.4759
2016-04-29,7.7572,6.478
2016-05-02,7.7585,6.478
2016-05-03,7.7623,6.4945
2016-05-04,7.7626,6.5100999999999996
2016-05-05,7.7620000000000005,6.5102
2016-05-06,7.7618,6.496
2016-05-09,7.764,6.5169
2016-05-10,7.7620000000000005,6.5208
2016-05-11,7.7607,6.4985
2016-05-12,7.7598,6.5167
2016-05-13,7.764,6.532
2016-05-16,7.7637,6.5205
2016-05-17,7.7627,6.5204
2016-05-18,7.7649,6.5386
2016-05-19,7.7674,6.5495
2016-05-20,7.7691,6.549
2016-05-23,7.7678,6.5557
2016-05-24,7.7687,6.5572
2016-05-25,7.7657,6.558
2016-05-26,7.7667,6.5585
2016-05-27,7.7661999999999995,6.5655
2016-05-30,7.7695,6.5833
2016-05-31,7.7712,6.5854
2016-06-01,7.7709,6.58
2016-06-02,7.7702,6.5845
2016-06-03,7.7683,6.5492
2016-06-06,7.7676,6.5637
2016-06-07,7.7657,6.5715
2016-06-08,7.7603,6.5624
2016-06-09,7.7616,6.5624
2016-06-10,7.7626,6.5624
2016-06-13,7.7631,6.5856
2016-06-14,7.7602,6.5969999999999995
2016-06-15,7.76,6.5818
2016-06-16,7.7592,6.5915
2016-06-17,7.7606,6.587
2016-06-20,7.7608,6.582
2016-06-21,7.7597000000000005,6.591
2016-06-22,7.7587,6.5784
2016-06-23,7.7576,6.5807
2016-06-24,7.7614,6.6218
2016-06-27,7.7612,6.6474
2016-06-28,7.7591,6.6481
2016-06-29,7.7594,6.6368
2016-06-30,7.7591,6.648
2016-07-01,7.7586,6.6597
2016-07-04,7.7587,6.6653
2016-07-05,7.7587,6.686
2016-07-06,7.7581,6.6886
2016-07-07,7.7583,6.682
2016-07-08,7.7579,6.6908
2016-07-11,7.758,6.696
2016-07-12,7.758,6.6885
2016-07-13,7.7566,6.6887
2016-07-14,7.7536000000000005,6.6835
2016-07-15,7.754,6.6935
2016-07-18,7.7544,6.7045
2016-07-19,7.7557,6.6963
2016-07-20,7.7559000000000005,6.6777999999999995
2016-07-21,7.7562,6.6754999999999995
2016-07-22,7.7577,6.6795
2016-07-25,7.7569,6.6799
2016-07-26,7.7571,6.672
2016-07-27,7.7567,6.67
2016-07-28,7.7562,6.6576
2016-07-29,7.7575,6.635
2016-08-01,7.7609,6.6439
2016-08-02,7.761,6.6272
2016-08-03,7.7588,6.6342
2016-08-04,7.7565,6.6418
2016-08-05,7.7551,6.6603
2016-08-08,7.757,6.6614
2016-08-09,7.7566,6.6556999999999995
2016-08-10,7.7564,6.636
2016-08-11,7.7566,6.6337
2016-08-12,7.7562,6.6362
2016-08-15,7.7556,6.638
2016-08-16,7.754,6.6254
2016-08-17,7.7544,6.6344
2016-08-18,7.7534,6.6312
2016-08-19,7.7533,6.6532
2016-08-22,7.7531,6.6507
2016-08-23,7.7533,6.6409
2016-08-24,7.7537,6.659
2016-08-25,7.755,6.6594999999999995
2016-08-26,7.757,6.6695
2016-08-29,7.7561,6.683
2016-08-30,7.7575,6.6807
2016-08-31,7.757,6.6793
2016-09-01,7.7578,6.675
2016-09-02,7.7553,6.6805
2016-09-05,7.7553,6.6771
2016-09-06,7.7553,6.67
2016-09-07,7.7558,6.6625
2016-09-08,7.7571,6.6669
2016-09-09,7.7571,6.6850000000000005
2016-09-12,7.7581,6.6802
2016-09-13,7.7584,6.6795
2016-09-14,7.7582,6.6747
2016-09-15,7.7586,6.6747
2016-09-16,7.7586,6.6747
2016-09-19,7.7579,6.6685
2016-09-20,7.7571,6.672
2016-09-21,7.7554,6.6688
2016-09-22,7.7555,6.6648
2016-09-23,7.7567,6.6693999999999996
2016-09-26,7.7553,6.6689
2016-09-27,7.7551,6.6701
2016-09-28,7.7538,6.6751000000000005
2016-09-29,7.7558,6.6672
2016-09-30,7.7564,6.6718
2016-10-03,7.7558,6.6718
2016-10-04,7.7561,6.6718
2016-10-05,7.7573,6.6718
2016-10-06,7.7573,6.6718
2016-10-07,7.7584,6.6718
2016-10-10,7.7585,6.7075
2016-10-11,7.7586,6.7219999999999995
2016-10-12,7.7573,6.7195
2016-10-13,7.7571,6.7274
2016-10-14,7.7586,6.7283
2016-10-17,7.7587,6.7375
2016-10-18,7.7593,6.7409
2016-10-19,7.7575,6.7378
2016-10-20,7.7582,6.7449
2016-10-21,7.7585,6.767
2016-10-24,7.7574,6.7752
2016-10-25,7.7566,6.7804
2016-10-26,7.7573,6.7712
2016-10-27,7.7552,6.7835
2016-10-28,7.755,6.7789
2016-10-31,7.7552,6.7758
2016-11-01,7.755,6.7657
2016-11-02,7.7553,6.757
2016-11-03,7.7551,6.765
2016-11-04,7.7559000000000005,6.7565
2016-11-07,7.7553,6.7766
2016-11-08,7.7547,6.787
2016-11-09,7.7558,6.7915
2016-11-10,7.7562,6.8059
2016-11-11,7.7584,6.812
2016-11-14,7.7584,6.86
2016-11-15,7.7577,6.859
2016-11-16,7.7577,6.8804
2016-11-17,7.7573,6.8781
