Date,000016.SH,000905.SH,CBA00101.CS,CCFI.WI,CCCI.FMM,H11025.CSI,885009.WI
2001-07-18,,,,389.9413,,,
2001-07-19,,,,386.6051,,,
2001-07-20,,,,381.4629,,,
2001-07-23,,,,378.8914,,,
2001-07-24,,,,377.4661,,,
2001-07-25,,,,371.8277,,,
2001-07-26,,,,374.4412,,,
2001-07-27,,,,375.9737,,,
2001-07-30,,,,372.6561,,,
2001-07-31,,,,370.8607,,,
2001-08-01,,,,372.1149,,,
2001-08-02,,,,377.605,,,
2001-08-03,,,,374.6442,,,
2001-08-06,,,,373.2189,,,
2001-08-07,,,,369.8959,,,
2001-08-08,,,,368.7893,,,
2001-08-09,,,,365.5965,,,
2001-08-10,,,,367.4894,,,
2001-08-13,,,,364.616,,,
2001-08-14,,,,363.599,,,
2001-08-15,,,,365.1055,,,
2001-08-16,,,,363.9121,,,
2001-08-17,,,,370.6454,,,
2001-08-20,,,,373.4142,,,
2001-08-21,,,,372.0297,,,
2001-08-22,,,,369.0122,,,
2001-08-23,,,,373.5115,,,
2001-08-24,,,,370.6389,,,
2001-08-27,,,,372.8979,,,
2001-08-28,,,,377.8201,,,
2001-08-29,,,,373.3799,,,
2001-08-30,,,,376.1812,,,
2001-08-31,,,,370.6692,,,
2001-09-03,,,,369.8117,,,
2001-09-04,,,,365.2158,,,
2001-09-05,,,,365.6796,,,
2001-09-06,,,,366.9729,,,
2001-09-07,,,,364.2415,,,
2001-09-10,,,,361.4963,,,
2001-09-11,,,,360.7681,,,
2001-09-12,,,,361.4037,,,
2001-09-13,,,,360.3815,,,
2001-09-14,,,,358.1284,,,
2001-09-17,,,,362.579,,,
2001-09-18,,,,362.3203,,,
2001-09-19,,,,361.1187,,,
2001-09-20,,,,358.7226,,,
2001-09-21,,,,362.5203,,,
2001-09-24,,,,363.6513,,,
2001-09-25,,,,362.321,,,
2001-09-26,,,,361.3217,,,
2001-09-27,,,,362.536,,,
2001-09-28,,,,362.1396,,,
2001-10-08,,,,357.4101,,,
2001-10-09,,,,352.6307,,,
2001-10-10,,,,350.8909,,,
2001-10-11,,,,348.7762,,,
2001-10-12,,,,350.6507,,,
2001-10-15,,,,349.0615,,,
2001-10-16,,,,347.4027,,,
2001-10-17,,,,349.5008,,,
2001-10-18,,,,347.4204,,,
2001-10-19,,,,342.2162,,,
2001-10-22,,,,339.2486,,,
2001-10-23,,,,341.3194,,,
2001-10-24,,,,340.1977,,,
2001-10-25,,,,340.4581,,,
2001-10-26,,,,342.6685,,,
2001-10-29,,,,342.8675,,,
2001-10-30,,,,341.1113,,,
2001-10-31,,,,340.7475,,,
2001-11-01,,,,337.5888,,,
2001-11-02,,,,336.1349,,,
2001-11-05,,,,335.549,,,
2001-11-06,,,,335.0542,,,
2001-11-07,,,,333.0734,,,
2001-11-08,,,,332.033,,,
2001-11-09,,,,335.5067,,,
2001-11-12,,,,343.5672,,,
2001-11-13,,,,345.6127,,,
2001-11-14,,,,353.9721,,,
2001-11-15,,,,349.5843,,,
2001-11-16,,,,350.5831,,,
2001-11-19,,,,356.2815,,,
2001-11-20,,,,352.685,,,
2001-11-21,,,,352.4841,,,
2001-11-22,,,,353.1399,,,
2001-11-23,,,,350.643,,,
2001-11-26,,,,351.9442,,,
2001-11-27,,,,359.4105,,,
2001-11-28,,,,363.719,,,
2001-11-29,,,,366.8416,,,
