MSCI Index Code,BBG Ticker,Bloomberg Index Name,Size,Style,Variant,Currency,Extra Info
105790,NAVLHK,MSCI Daily TR Net Value Hong Kong Local,Standard,Value,Net,Local,
105790,NAVUHK,MSCI Daily TR Net Value Hong Kong USD,Standard,Value,Net,USD,
105791,GDLGIE,MSCI Daily TR Gross Growth Ireland Local,Standard,Growth,Gross,Local,
105791,GDUGIE,MSCI Daily TR Gross Growth Ireland USD,Standard,Growth,Gross,USD,
105791,MGLDIE,MSCI Growth Ireland Local,Standard,Growth,Price,Local,
105791,MGUDIE,MSCI Growth Ireland USD,Standard,Growth,Price,USD,
105791,NDUGIE,MSCI Daily TR Net Growth Ireland USD,Standard,Growth,Net,USD,
105791,NLDGIE,MSCI Daily TR Net Growth Ireland Local,Standard,Growth,Net,Local,
105792,GDLVIE,MSCI Daily TR Gross Value Ireland Local,Standard,Value,Gross,Local,
105792,GDUVIE,MSCI Daily TR Gross Value Ireland USD,Standard,Value,Gross,USD,
105792,MVLDIE,MSCI Value Ireland Local,Standard,Value,Price,Local,
105792,MVUDIE,MSCI Value Ireland USD,Standard,Value,Price,USD,
105792,NDLVIE,MSCI Daily TR Net Value Ireland Local,Standard,Value,Net,Local,
105792,NDUVIE,MSCI Daily TR Net Value Ireland USD,Standard,Value,Net,USD,
105793,GDLGIT,MSCI Daily TR Gross Growth Italy Local,Standard,Growth,Gross,Local,
105793,GDUGIT,MSCI Daily TR Gross Growth Italy USD,Standard,Growth,Gross,USD,
105793,MGLDIT,MSCI Growth Italy Local,Standard,Growth,Price,Local,
105793,MGUDIT,MSCI Growth Italy USD,Standard,Growth,Price,USD,
105793,NDUGIT,MSCI Daily TR Net Growth Italy USD,Standard,Growth,Net,USD,
105793,NLDGIT,MSCI Daily TR Net Growth Italy Local,Standard,Growth,Net,Local,
105794,GDLVIT,MSCI Daily TR Gross Value Italy Local,Standard,Value,Gross,Local,
105794,GDUVIT,MSCI Daily TR Gross Value Italy USD,Standard,Value,Gross,USD,
105794,MVLDIT,MSCI Value Italy Local,Standard,Value,Price,Local,
105794,MVUDIT,MSCI Value Italy USD,Standard,Value,Price,USD,
105794,NDLVIT,MSCI Daily TR Net Value Italy Local,Standard,Value,Net,Local,
105794,NDUVIT,MSCI Daily TR Net Value Italy USD,Standard,Value,Net,USD,
105795,DLGAJN,MSCI Daily TR Growth Gross Japan Local,Standard,Growth,Gross,Local,
105795,DUGAJN,MSCI Daily TR Growth Gross Japan USD,Standard,Growth,Gross,USD,
105795,MGLAJN,MSCI Growth Japan Local,Standard,Growth,Price,Local,
105795,MGUAJN,MSCI Growth Japan USD,Standard,Growth,Price,USD,
105795,NAGLJN,MSCI Daily TR Net Growth Japan Local,Standard,Growth,Net,Local,
105795,NAGUJN,MSCI Daily TR Net Growth Japan USD,Standard,Growth,Net,USD,
105796,DLVAJN,MSCI Daily TR Value Gross Japan Local,Standard,Value,Gross,Local,
105796,DUVAJN,MSCI Daily TR Value Gross Japan USD,Standard,Value,Gross,USD,
105796,MVLAJN,MSCI Value Japan Local,Standard,Value,Price,Local,
105796,MVUAJN,MSCI Value Japan USD,Standard,Value,Price,USD,
105796,NAVLJN,MSCI Daily TR Net Value Japan Local,Standard,Value,Net,Local,
105796,NAVUJN,MSCI Daily TR Net Value Japan USD,Standard,Value,Net,USD,
105801,GDLGNE,MSCI Daily TR Gross Growth Netherlands Local,Standard,Growth,Gross,Local,
105801,GDUGNE,MSCI Daily TR Gross Growth Netherlands USD,Standard,Growth,Gross,USD,
105801,MGLDNE,MSCI Growth Netherlands Local,Standard,Growth,Price,Local,
105801,MGUDNE,MSCI Growth Netherlands USD,Standard,Growth,Price,USD,
105801,NDUGNE,MSCI Daily TR Net Growth Netherlands USD,Standard,Growth,Net,USD,
105801,NLDGNE,MSCI Daily TR Net Growth Netherlands Local,Standard,Growth,Net,Local,
105802,GDLVNE,MSCI Daily TR Gross Value Netherlands Local,Standard,Value,Gross,Local,
105802,GDUVNE,MSCI Daily TR Gross Value Netherlands USD,Standard,Value,Gross,USD,
105802,MVLDNE,MSCI Value Netherlands Local,Standard,Value,Price,Local,
105802,MVUDNE,MSCI Value Netherlands USD,Standard,Value,Price,USD,
105802,NDLVNE,MSCI Daily TR Net Value Netherlands Local,Standard,Value,Net,Local,
105802,NDUVNE,MSCI Daily TR Net Value Netherlands USD,Standard,Value,Net,USD,
105803,DLGANZ,MSCI Daily TR Growth Gross New Zealand Local,Standard,Growth,Gross,Local,
105803,DUGANZ,MSCI Daily TR Growth Gross New Zealand USD,Standard,Growth,Gross,USD,
105803,MGLANZ,MSCI Growth New Zealand Local,Standard,Growth,Price,Local,
105803,MGUANZ,MSCI Growth New Zealand USD,Standard,Growth,Price,USD,
105803,NAGLNZ,MSCI Daily TR Net Growth New Zealand Local,Standard,Growth,Net,Local,
105803,NAGUNZ,MSCI Daily TR Net Growth New Zealand USD,Standard,Growth,Net,USD,
105804,DLVANZ,MSCI Daily TR Value Gross New Zealand Local,Standard,Value,Gross,Local,
105804,DUVANZ,MSCI Daily TR Value Gross New Zealand USD,Standard,Value,Gross,USD,
105804,MVLANZ,MSCI Value New Zealand Local,Standard,Value,Price,Local,
105804,MVUANZ,MSCI Value New Zealand USD,Standard,Value,Price,USD,
105804,NAVLNZ,MSCI Daily TR Net Value New Zealand Local,Standard,Value,Net,Local,
105804,NAVUNZ,MSCI Daily TR Net Value New Zealand USD,Standard,Value,Net,USD,
105807,GDLGNO,MSCI Daily TR Gross Growth Norway Local,Standard,Growth,Gross,Local,
105807,GDUGNO,MSCI Daily TR Gross Growth Norway USD,Standard,Growth,Gross,USD,
105807,MGLDNO,MSCI Growth Norway Local,Standard,Growth,Price,Local,
105807,MGUDNO,MSCI Growth Norway USD,Standard,Growth,Price,USD,
105807,NDUGNO,MSCI Daily TR Net Growth Norway USD,Standard,Growth,Net,USD,
105807,NLDGNO,MSCI Daily TR Net Growth Norway Local,Standard,Growth,Net,Local,
105808,GDLVNO,MSCI Daily TR Gross Value Norway Local,Standard,Value,Gross,Local,
105808,GDUVNO,MSCI Daily TR Gross Value Norway USD,Standard,Value,Gross,USD,
105808,MVLDNO,MSCI Value Norway Local,Standard,Value,Price,Local,
105808,MVUDNO,MSCI Value Norway USD,Standard,Value,Price,USD,
105808,NDLVNO,MSCI Daily TR Net Value Norway Local,Standard,Value,Net,Local,
105808,NDUVNO,MSCI Daily TR Net Value Norway USD,Standard,Value,Net,USD,
105809,DLGASGF,MSCI Daily TR Growth Gross Singapore Free Local,Standard,Growth,Gross,Local,
105809,DUGASGF,MSCI Daily TR Growth Gross Singapore Free USD,Standard,Growth,Gross,USD,
105809,MGLASGF,MSCI Growth Singapore Free Local,Standard,Growth,Price,Local,
105809,MGUASGF,MSCI Growth Singapore Free USD,Standard,Growth,Price,USD,
105809,NAGLSGF,MSCI Daily TR Net Growth Singapore Free Local,Standard,Growth,Net,Local,
105809,NAGUSGF,MSCI Daily TR Net Growth Singapore Free USD,Standard,Growth,Net,USD,
105810,DLVASGF,MSCI Daily TR Value Gross Singapore Free Local,Standard,Value,Gross,Local,
105810,DUVASGF,MSCI Daily TR Value Gross Singapore Free USD,Standard,Value,Gross,USD,
