,HK_10_3081,HK_10_3081
2017-04-20,10000.0000,31.0500
2017-04-21,10000.0000,31.1000
2017-04-24,10000.0000,30.9000
2017-04-25,10000.0000,30.9000
2017-04-26,10000.0000,30.7500
2017-04-27,10000.0000,30.7000
2017-04-28,10000.0000,30.7000
2017-05-02,10000.0000,30.4500
2017-05-04,10000.0000,30.0000
2017-05-05,10000.0000,29.9500
2017-05-08,10000.0000,29.9000
2017-05-09,10000.0000,29.8000
2017-05-10,10000.0000,29.7000
2017-05-11,10000.0000,29.7000
2017-05-12,10000.0000,29.8500
2017-05-15,10000.0000,29.9500
2017-05-16,10000.0000,29.9500
2017-05-17,10000.0000,30.3000
2017-05-18,10000.0000,30.5500
2017-05-19,10000.0000,30.3000
2017-05-22,10000.0000,30.5500
2017-05-23,10000.0000,30.6500
2017-05-24,10000.0000,30.4500
2017-05-25,10000.0000,30.6000
2017-05-26,10000.0000,30.7500
2017-05-29,10000.0000,30.8000
2017-05-31,10000.0000,30.7000
2017-06-01,10000.0000,30.8000
2017-06-02,10000.0000,30.7000
2017-06-05,10000.0000,31.2000
2017-06-06,10000.0000,31.4500
2017-06-07,10000.0000,31.4500
2017-06-08,10000.0000,31.2500
2017-06-09,10000.0000,30.9000
2017-06-12,10000.0000,30.7500
2017-06-13,10000.0000,30.8000
2017-06-14,10000.0000,30.8500
2017-06-15,10000.0000,30.6500
2017-06-16,10000.0000,30.5500
2017-06-19,10000.0000,30.4000
2017-06-20,10000.0000,30.3500
2017-06-21,10000.0000,30.3000
2017-06-22,10000.0000,30.5000
2017-06-23,10000.0000,30.4000
2017-06-26,10000.0000,30.4000
2017-06-27,10000.0000,30.4000
2017-06-28,10000.0000,30.4000
2017-06-29,10000.0000,30.4000
2017-06-30,10000.0000,30.3000
2017-07-03,10000.0000,30.1500
2017-07-04,10000.0000,29.9000
2017-07-05,10000.0000,29.8500
2017-07-06,10000.0000,29.8500
2017-07-07,10000.0000,29.7500
2017-07-10,10000.0000,29.4000
2017-07-11,10000.0000,29.5000
2017-07-12,10000.0000,29.7000
2017-07-13,10000.0000,29.8000
2017-07-14,10000.0000,29.6000
2017-07-17,10000.0000,30.0500
2017-07-18,10000.0000,30.2500
2017-07-19,10000.0000,30.2500
2017-07-20,10000.0000,30.3000
2017-07-21,10000.0000,30.4500
