,SmartGlobal Max-Growth,Benchmark-Growth
2017/8/17,1.200597754,1.165242153
2017/8/18,1.201830899,1.162905036
2017/8/21,1.202636738,1.164185295
2017/8/22,1.208360633,1.168771043
2017/8/23,1.208993994,1.168853918
2017/8/24,1.20820308,1.168166128
2017/8/25,1.212742512,1.170550513
2017/8/28,1.213889268,1.171368987
2017/8/29,1.212560763,1.170939802
2017/8/30,1.214423709,1.172233102
2017/8/31,1.220544242,1.176955458
2017/9/1,1.22297586,1.178564497
2017/9/5,1.218539267,1.176074205
2017/9/6,1.221479139,1.176654689
2017/9/7,1.223919529,1.180069369
2017/9/8,1.222484679,1.180006165
2017/9/11,1.229121879,1.185421205
2017/9/12,1.231862478,1.18712119
2017/9/13,1.230591409,1.186038903
2017/9/14,1.23123575,1.185075482
2017/9/15,1.2328501,1.186724617
2017/9/18,1.234426209,1.188179092
2017/9/19,1.235222674,1.189743892
2017/9/20,1.235244247,1.190249804
2017/9/21,1.233183989,1.187131976
2017/9/22,1.233940692,1.188446474
2017/9/25,1.23146375,1.186355258
2017/9/26,1.230921225,1.18359119
2017/9/27,1.233078456,1.183541746
2017/9/28,1.234712912,1.184845549
2017/9/29,1.238452732,1.188395009
2017/10/2,1.240866155,1.189881007
2017/10/3,1.244265946,1.192964035
2017/10/4,1.244873024,1.19377995
2017/10/5,1.247160639,1.19522878
2017/10/6,1.245861596,1.194118493
2017/10/9,1.245861596,1.19359521
2017/10/10,1.249124356,1.198117921
2017/10/11,1.250950364,1.19955371
2017/10/12,1.250790865,1.200015899
2017/10/13,1.253828654,1.202771898
2017/10/16,1.253534544,1.20337284
2017/10/17,1.252493537,1.20220569
2017/10/18,1.253325314,1.202503384
2017/10/19,1.252194485,1.203009654
2017/10/20,1.25430565,1.202954262
2017/10/23,1.250972937,1.201158136
2017/10/24,1.252541604,1.200840445
2017/10/25,1.248557405,1.197470846
2017/10/26,1.248975465,1.197540738
2017/10/27,1.255832682,1.201411267
2017/10/30,1.254164583,1.203144535
2017/10/31,1.257117194,1.204080809
2017/11/1,1.258387146,1.20636939
2017/11/2,1.259493908,1.207514174
2017/11/3,1.259905622,1.208274124
2017/11/6,1.263576105,1.209667571
2017/11/7,1.260060231,1.21012048
2017/11/8,1.261405632,1.211041458
2017/11/9,1.25743544,1.207674417
2017/11/10,1.256186228,1.205036073
2017/11/13,1.255324969,1.203109085
2017/11/14,1.252752493,1.201788671
2017/11/15,1.248536865,1.198298173
2017/11/16,1.257447637,1.204095443
2017/11/17,1.257536693,1.204276739
2017/11/20,1.259081309,1.204888409
2017/11/21,1.266213837,1.210359504
2017/11/22,1.267656219,1.21278852
2017/11/24,1.269523948,1.215516498
2017/11/27,1.265877788,1.213650559
2017/11/28,1.272860592,1.217401705
2017/11/29,1.270015072,1.21611046
2017/11/30,1.272887384,1.217531627
2017/12/1,1.271192044,1.215594448
2017/12/4,1.269478578,1.216056795
2017/12/5,1.266787719,1.214078812
2017/12/6,1.263942644,1.211382694
2017/12/7,1.266851653,1.212282474
2017/12/8,1.271654687,1.216480031
2017/12/11,1.274247296,1.219821902
2017/12/12,1.273189122,1.21976698
2017/12/13,1.276136861,1.221900277
2017/12/14,1.271773699,1.220022083
2017/12/15,1.276416956,1.222440158
2017/12/18,1.28374431,1.229052234
2017/12/19,1.280631309,1.225085497
2017/12/20,1.281224306,1.22406178
2017/12/21,1.28465828,1.226518728
2017/12/22,1.286056192,1.226585388
2017/12/26,1.286690206,1.226841693
2017/12/27,1.287002727,1.229905991
2017/12/28,1.289410671,1.231662008
2017/12/29,1.288392394,1.23147684
2018/1/2,1.296323154,1.236188524
2018/1/3,1.302075895,1.240454256
2018/1/4,1.306843101,1.246806076
2018/1/5,1.311891123,1.25180184
2018/1/8,1.312995186,1.252781859
2018/1/9,1.312803453,1.25268536
2018/1/10,1.310985986,1.252254099
2018/1/11,1.319427945,1.256001003
2018/1/12,1.325927023,1.26142483
2018/1/16,1.321871693,1.263532889
