,SPX Index,NDX Index,INDU Index,ACDER Index,DAX Index,NKY Index,HSI Index,SHSZ300 Index,SENSEX Index,UKX Index,LBUSTRUU Index,IBOXHY Index,IDCOTCPR Index,IDCOTSPR Index,LBUTTRUU Index,GOLDLNAM Index,CL1 Comdty
2015/3/5,2101.04,4452.057,18135.72,1256.8,11504.01,18751.84,24193.04,3496.34,29448.95,6961.14,1929.05,237.5316,101.3637,100.4895,281.9585,1199.75,50.76
2015/3/6,2071.26,4399.231,17856.78,1239.11,11550.97,18971,24164,3478.52,29448.95,6911.8,1917.72,236.9812,100.7181,100.4762,279.2357,1196.5,49.61
2015/3/9,2079.43,4412.989,17995.72,1234.29,11582.11,18790.55,24123.05,3537.75,28844.78,6876.47,1921.59,236.4904,100.9183,100.4728,278.7394,1173.75,50
2015/3/10,2044.16,4329.082,17662.94,1207.56,11500.38,18665.11,23896.98,3520.61,28709.87,6702.84,1926.59,235.6198,101.2564,100.4806,279.1537,1161,48.29
2015/3/11,2040.24,4305.381,17635.39,1210.07,11805.99,18723.52,23717.97,3524.65,28659.17,6721.51,1928.09,235.6366,101.3375,100.4784,279.3977,1158.75,48.17
2015/3/12,2065.95,4336.228,17895.22,1214.95,11799.39,18991.11,23797.96,3592.84,28930.41,6761.07,1929.46,235.8362,101.4436,100.4709,279.2512,1161.25,47.05
2015/3/13,2053.4,4314.9,17749.31,1207.73,11901.61,19254.25,23823.21,3617.66,28503.3,6740.58,1928,235.1589,101.4078,100.4719,278.2959,1156.5,44.84
2015/3/16,2081.19,4370.468,17977.42,1224.92,12167.72,19246.06,23949.55,3705.67,28437.71,6804.08,1928.78,234.7851,101.4582,100.4564,277.8572,1157,43.88
2015/3/17,2074.28,4375.625,17849.08,1219.25,11980.85,19437,23901.49,3757.12,28736.38,6837.61,1931.26,234.2093,101.6479,100.4492,278.3884,1154.75,43.46
2015/3/18,2099.5,4422.502,18076.19,1227.63,11922.77,19544.48,24120.08,3846.05,28622.12,6945.2,1941.3,234.0022,102.2172,100.4668,282.5837,1149,44.66
2015/3/19,2089.27,4426.825,17959.03,1232.99,11899.4,19476.56,24468.89,3839.74,28469.67,6962.32,1939.22,235.0449,102.0797,100.4582,282.8267,1164,43.96
2015/3/20,2108.1,4458.539,18127.65,1263.17,12039.37,19560.22,24375.24,3892.57,28261.08,7022.51,1943.29,235.1346,102.3302,100.4539,283.503,1171.75,45.72
2015/3/23,2104.42,4445.545,18116.04,1270.68,11895.84,19754.36,24494.51,3972.06,28192.02,7037.67,1944.74,235.4693,102.3685,100.4549,283.3026,1181.4,47.45
2015/3/24,2091.5,4430.985,18011.14,1272.27,12005.69,19713.45,24399.6,3973.05,28161.72,7019.68,1948.11,235.7976,102.551,100.4531,284.6497,1193.25,47.51
2015/3/25,2061.05,4329.287,17718.54,1267.87,11865.32,19746.2,24528.23,3940.41,28111.83,6990.97,1944.65,236.0577,102.3716,100.4561,284.563,1192.55,49.21
2015/3/26,2056.15,4315.258,17678.23,1249.22,11843.68,19471.12,24497.08,3950,27457.58,6895.33,1937.23,235.8787,101.9305,100.4394,282.9261,1209.4,51.43
2015/3/27,2061.02,4332.861,17712.66,1249.09,11868.33,19285.63,24486.2,3971.7,27458.64,6855.02,1943.39,235.8852,102.2781,100.4486,283.2043,1198,48.87
2015/3/30,2086.24,4382.819,17976.31,1255.51,12086.01,19411.4,24855.12,4088.18,27975.86,6891.43,1942.62,236.2395,102.1786,100.4507,282.2687,1187.4,48.68
2015/3/31,2067.89,4333.688,17776.12,1237.61,11966.17,19206.99,24900.89,4051.2,27957.49,6773.04,1945.63,236.4077,102.344,100.4431,282.9236,1179.25,47.6
2015/4/1,2059.69,4311.257,17698.18,1243.52,12001.38,19034.84,25082.75,4123.9,28260.14,6809.5,1951.56,236.3351,102.6496,100.4393,285.1617,1181.25,50.09
2015/4/2,2066.96,4316.006,17763.24,1256.32,11967.39,19312.79,25275.64,4124.78,28260.14,6833.46,1948.32,236.4645,102.4561,100.4387,284.3108,1201.5,49.14
2015/4/3,2066.96,4316.006,17763.24,1256.32,11967.39,19435.08,25275.64,4170.54,28260.14,6833.46,1954.21,236.4645,102.8239,100.4479,286.2429,1201.5,49.14
2015/4/6,2080.62,4350.979,17880.85,1271.16,11967.39,19397.98,25275.64,4170.54,28504.46,6833.46,1949.24,237.1183,102.4643,100.4471,285.2095,1201.5,52.14
2015/4/7,2076.33,4344.08,17875.42,1274.79,12123.52,19640.54,25275.64,4260.04,28516.59,6961.77,1950.82,237.7579,102.5026,100.4539,285.6514,1208.5,53.98
2015/4/8,2081.9,4375.96,17902.51,1267.39,12035.86,19789.81,26236.86,4295.8,28707.75,6937.41,1951.44,238.2895,102.5184,100.447,285.1513,1211.1,50.42
