,Dymon-AQUMON,Dymon-AQUMON (VaR-adjusted),PLMAX US Equity,MERKX US Equity,ICPHX US Equity
2018/6/5,1.307469494,2.151856402,1.028571429,0.857781753,0.836686391
2018/6/6,1.307627093,2.152521474,1.033766234,0.859570662,0.837869822
2018/6/7,1.306001898,2.143819229,1.027272727,0.861359571,0.830769231
2018/6/8,1.307935617,2.156320739,1.02987013,0.860465116,0.837869822
2018/6/11,1.3079672,2.15648189,1.025974026,0.861359571,0.835502959
2018/6/12,1.308310667,2.157900296,1.023376623,0.859570662,0.836686391
2018/6/13,1.309136553,2.161966423,1.023376623,0.861359571,0.834319527
2018/6/14,1.310284494,2.167696656,1.015584416,0.851520572,0.834319527
2018/6/15,1.309065114,2.159124077,1.011688312,0.848837209,0.836686391
2018/6/18,1.310641922,2.172864654,1.01038961,0.847942755,0.839053254
2018/6/19,1.315462909,2.211646072,1.007792208,0.844364937,0.840236686
2018/6/20,1.316477871,2.218848716,1.007792208,0.844364937,0.841420118
2018/6/21,1.317719802,2.227176114,1.007792208,0.846153846,0.837869822
2018/6/22,1.318753948,2.236438236,1.012987013,0.848837209,0.840236686
2018/6/25,1.318998277,2.238422658,1.011688312,0.848837209,0.839053254
2018/6/26,1.31932247,2.240881068,1.009090909,0.846153846,0.840236686
2018/6/27,1.318962014,2.237904461,1.002597403,0.841681574,0.837869822
2018/6/28,1.318330614,2.232899218,1.005194805,0.841681574,0.840236686
2018/6/29,1.321060125,2.25584984,1.009090909,0.847048301,0.835502959
2018/7/2,1.321797131,2.262475908,1.003896104,0.842576029,0.835502959
2018/7/3,1.322027695,2.263953215,1.007792208,0.847942755,0.840236686
2018/7/4,1.3214913,2.260447516,1.007792208,0.847942755,0.840236686
2018/7/5,1.321588859,2.261065368,1.012987013,0.850626118,0.84260355
2018/7/6,1.319696767,2.249284668,1.015584416,0.853309481,0.843786982
2018/7/9,1.316515741,2.226280629,1.018181818,0.853309481,0.843786982
2018/7/10,1.315874759,2.22103506,1.022077922,0.853309481,0.850887574
2018/7/11,1.319765308,2.246799546,1.01038961,0.846153846,0.852071006
2018/7/12,1.320102093,2.248714213,1.014285714,0.847048301,0.855621302
2018/7/13,1.320609632,2.251308597,1.012987013,0.846153846,0.856804734
2018/7/16,1.320545014,2.250925798,1.015584416,0.847942755,0.856804734
2018/7/17,1.32041525,2.250266502,1.014285714,0.844364937,0.859171598
2018/7/18,1.322787097,2.261226188,1.012987013,0.843470483,0.857988166
2018/7/19,1.322760657,2.261079908,1.005194805,0.839892665,0.855621302
2018/7/20,1.322847495,2.261792122,1.011688312,0.846153846,0.853254438
2018/7/23,1.321271376,2.254381687,1.011688312,0.844364937,0.855621302
2018/7/24,1.321213777,2.253946114,1.012987013,0.845259392,0.856804734
2018/7/25,1.32121083,2.25392046,1.019480519,0.849731664,0.859171598
2018/7/26,1.319435249,2.24186266,1.014285714,0.844364937,0.861538462
2018/7/27,1.320587392,2.249267904,1.016883117,0.845259392,0.862721893
2018/7/30,1.320231232,2.24654263,1.019480519,0.847942755,0.863905325
2018/7/31,1.321699153,2.253744991,1.020779221,0.847048301,0.862721893
2018/8/1,1.322538181,2.258720393,1.019480519,0.845259392,0.863905325
2018/8/2,1.324330453,2.265989299,1.012987013,0.84078712,0.866272189
2018/8/3,1.323824866,2.263322424,1.015584416,0.84078712,0.868639053
2018/8/6,1.324379545,2.266347671,1.011688312,0.838998211,0.868639053
2018/8/7,1.324332858,2.266126244,1.015584416,0.84078712,0.867455621
2018/8/8,1.324334309,2.266134726,1.012987013,0.841681574,0.865088757
2018/8/9,1.327927365,2.287125713,1.005194805,0.837209302,0.863905325
2018/8/10,1.328402064,2.289345016,0.990909091,0.830053667,0.86035503
2018/8/13,1.323799618,2.268919446,0.979220779,0.828264758,0.853254438
2018/8/14,1.32710816,2.283203088,0.985714286,0.82647585,0.86035503
2018/8/15,1.327434346,2.284533641,0.981818182,0.823792487,0.85443787
2018/8/16,1.328089007,2.288051307,0.987012987,0.824686941,0.857988166
2018/8/17,1.326061463,2.27658065,0.98961039,0.829159213,0.85443787
2018/8/20,1.327402715,2.284765457,0.98961039,0.830948122,0.852071006
2018/8/21,1.328612763,2.289774207,0.992207792,0.835420394,0.84852071
2018/8/22,1.325961037,2.279314958,0.992207792,0.838103757,0.849704142
2018/8/23,1.326461714,2.281264417,0.985714286,0.831842576,0.84852071
2018/8/24,1.325792916,2.278647304,0.993506494,0.838103757,0.84852071
2018/8/27,1.327242205,2.285464026,0.994805195,0.84078712,0.84852071
2018/8/28,1.326738725,2.283289745,0.990909091,0.84078712,0.84260355
2018/8/29,1.328879445,2.294950412,0.985714286,0.84078712,0.841420118
2018/8/30,1.327001313,2.284821173,0.976623377,0.838998211,0.833136095
2018/8/31,1.327003047,2.284829646,0.981818182,0.834525939,0.840236686
2018/9/3,1.32789971,2.288802969,0.981818182,0.834525939,0.840236686
2018/9/4,1.326516442,2.282887866,0.972727273,0.83273703,0.833136095
2018/9/5,1.322487189,2.258815206,0.974025974,0.834525939,0.831952663
2018/9/6,1.323448712,2.263011091,0.975324675,0.833631485,0.833136095
2018/9/7,1.324938954,2.269085162,0.974025974,0.830948122,0.837869822
2018/9/10,1.323802439,2.263451139,0.971428571,0.83273703,0.834319527
2018/9/11,1.323489034,2.260929723,0.972727273,0.834525939,0.834319527
2018/9/12,1.322726254,2.254932177,0.979220779,0.839892665,0.836686391
2018/9/13,1.324568238,2.266583802,0.984415584,0.841681574,0.837869822
2018/9/14,1.327477551,2.288126508,0.981818182,0.837209302,0.840236686
2018/9/17,1.325649502,2.26859819,0.981818182,0.841681574,0.839053254
2018/9/18,1.327663369,2.283911742,0.983116883,0.842576029,0.840236686
2018/9/19,1.32893272,2.292500878,0.987012987,0.844364937,0.841420118
2018/9/20,1.330815748,2.304500367,0.992207792,0.848837209,0.841420118
2018/9/21,1.335122001,2.332135055,0.992207792,0.847048301,0.846153846
2018/9/24,1.33650844,2.340750182,0.98961039,0.846153846,0.84260355
2018/9/25,1.337073234,2.344682502,0.98961039,0.847048301,0.841420118
2018/9/26,1.336693737,2.341571233,0.993506494,0.845259392,0.844970414
2018/9/27,1.337025985,2.346004488,0.993506494,0.84078712,0.852071006
2018/9/28,1.337325236,2.350943881,0.996103896,0.84078712,0.850887574
2018/10/1,1.335439983,2.328028162,0.993506494,0.84078712,0.853254438
2018/10/2,1.335564695,2.329519921,0.992207792,0.839892665,0.855621302
2018/10/3,1.335558567,2.329448997,0.988311688,0.836314848,0.857988166
2018/10/4,1.331229759,2.286649877,0.981818182,0.834525939,0.85443787
2018/10/5,1.329764691,2.270353331,0.985714286,0.834525939,0.857988166
2018/10/8,1.328361255,2.259018192,0.984415584,0.83273703,0.859171598
2018/10/9,1.328051775,2.25560987,0.985714286,0.83273703,0.859171598
